Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Algeria,production,bentonite_and_fuller's_earth,Bentonite                                         ,33708.0,25806.0,31019.0,20833.0,20215.0,17088.0,16723.0,17657.0,15655.0,15491.0
Algeria,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,7840.0,4526.0,3656.0,3229.0,4550.0,4061.0,2803.0,3960.0,3942.0,2489.0
Argentina,production,bentonite_and_fuller's_earth,Bentonite                                         ,107035.0,107782.0,97531.0,96706.0,113407.0,111011.0,134588.0,113572.0,131320.0,128809.0
Argentina,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,2000.0,2000.0,1500.0,1600.0,1600.0,1600.0,1500.0,1500.0,1500.0,1500.0
Armenia,production,bentonite_and_fuller's_earth,Bentonite                                         ,,,40000.0,20000.0,10000.0,5000.0,5000.0,3000.0,3000.0,3493.0
Australia,production,bentonite_and_fuller's_earth,Bentonite                                         ,48000.0,58000.0,60300.0,66000.0,70000.0,239231.0,79157.0,73148.0,104458.0,179804.0
Australia,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,20000.0,15000.0,15000.0,20632.0,19412.0,18159.0,17173.0,28262.0,15670.0,10240.0
Azerbaijan,production,bentonite_and_fuller's_earth,Bentonite                                         ,,,150000.0,100000.0,80000.0,60000.0,65000.0,70000.0,35000.0,1000.0
Bosnia & Herzegovina,production,bentonite_and_fuller's_earth,Bentonite                                         ,,,1000.0,800.0,800.0,800.0,800.0,10000.0,10000.0,10000.0
Brazil,production,bentonite_and_fuller's_earth,Bentonite                                         ,105809.0,140051.0,219050.0,164452.0,168484.0,166675.0,168633.0,117156.0,264303.0,296489.0
Bulgaria,production,bentonite_and_fuller's_earth,Bentonite                                         ,,,,78000.0,76300.0,125800.0,202000.0,170700.0,176110.0,242725.0
Burma,production,bentonite_and_fuller's_earth,Bentonite                                         ,416.0,684.0,,200.0,1081.0,4769.0,4908.0,4908.0,3871.0,1066.0
Canada,production,bentonite_and_fuller's_earth,Bentonite                                         ,7100.0,1000.0,4900.0,10500.0,13900.0,12400.0,15300.0,18900.0,,
Chile,production,bentonite_and_fuller's_earth,Bentonite                                         ,,,,,,,,717.0,721.0,1104.0
China,production,bentonite_and_fuller's_earth,Bentonite                                         ,,,,,,,,,1330400.0,766860.0
Colombia,production,bentonite_and_fuller's_earth,Bentonite                                         ,3100.0,3178.0,3258.0,,1018.0,9000.0,,8640.0,8500.0,8500.0
Croatia,production,bentonite_and_fuller's_earth,Bentonite                                         ,,,10000.0,10000.0,10391.0,7327.0,9728.0,7331.0,7581.0,8441.0
Cyprus,production,bentonite_and_fuller's_earth,Bentonite                                         ,81800.0,58400.0,58840.0,60000.0,50000.0,51200.0,70927.0,101000.0,140000.0,177000.0
Czech Republic,production,bentonite_and_fuller's_earth,Bentonite                                         ,,,0.0,63000.0,65000.0,54000.0,59000.0,110000.0,125000.0,160000.0
Czechoslovakia,production,bentonite_and_fuller's_earth,Bentonite                                         ,143130.0,84918.0,,,,,,,,
Denmark,production,bentonite_and_fuller's_earth,Bentonite                                         ,,,,,5596.0,6695.0,8050.0,3000.0,9000.0,
Egypt,production,bentonite_and_fuller's_earth,Bentonite                                         ,4904.0,5916.0,4215.0,6013.0,2379.0,4625.0,2210.0,1267.0,1545.0,
France,production,bentonite_and_fuller's_earth,Bentonite                                         ,10000.0,10000.0,6000.0,7000.0,,,,,,
Georgia,production,bentonite_and_fuller's_earth,Bentonite                                         ,,,125000.0,80000.0,30000.0,15000.0,13000.0,12000.0,11000.0,9891.0
German Federal Republic,production,bentonite_and_fuller's_earth,Bentonite                                         ,223000.0,,,,,,,,,
German Federal Republic,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,653000.0,,,,,,,,,
Germany,production,bentonite_and_fuller's_earth,Bentonite                                         ,,224000.0,581169.0,473102.0,498849.0,529446.0,491346.0,511190.0,508738.0,476580.0
Germany,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,,708000.0,673000.0,670000.0,498000.0,500000.0,,,,
Greece,production,bentonite_and_fuller's_earth,Bentonite                                         ,592684.0,600286.0,600083.0,677578.0,697773.0,1115119.0,973517.0,942555.0,1148408.0,1049657.0
Guatemala,production,bentonite_and_fuller's_earth,Bentonite                                         ,9000.0,12000.0,7002.0,4198.0,4410.0,5839.0,3755.0,4000.0,2278.0,4301.0
Hungary,production,bentonite_and_fuller's_earth,Bentonite                                         ,25000.0,18000.0,23000.0,9400.0,14700.0,15000.0,40630.0,19553.0,26724.0,61928.0
India,production,bentonite_and_fuller's_earth,Bentonite                                         ,242000.0,291000.0,296000.0,230000.0,325000.0,430000.0,439000.0,446000.0,413160.0,456386.0
India,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,20000.0,31000.0,38000.0,87000.0,101000.0,109000.0,29000.0,27000.0,70313.0,138287.0
Indonesia,production,bentonite_and_fuller's_earth,Bentonite                                         ,5914.0,21512.0,17960.0,13707.0,14409.0,26057.0,26000.0,25000.0,3736.0,5213.0
Iran,production,bentonite_and_fuller's_earth,Bentonite                                         ,51096.0,40452.0,62000.0,53667.0,71759.0,54798.0,84404.0,109520.0,118290.0,129561.0
Italy,production,bentonite_and_fuller's_earth,Bentonite                                         ,228153.0,402478.0,150503.0,326992.0,374491.0,590845.0,471535.0,511760.0,580209.0,562674.0
Italy,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,45800.0,23400.0,30000.0,20000.0,23500.0,33600.0,26455.0,22025.0,29470.0,59903.0
Japan,production,bentonite_and_fuller's_earth,Bentonite                                         ,549414.0,554145.0,534445.0,515307.0,484115.0,478056.0,468728.0,495646.0,443566.0,428247.0
Japan,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,,,,,,86864.0,89885.0,,,134890.0
Korea (Rep. of),production,bentonite_and_fuller's_earth,Bentonite                                         ,28900.0,35100.0,37100.0,48623.0,121262.0,66157.0,93864.0,142027.0,59765.0,112258.0
Korea (Rep. of),production,bentonite_and_fuller's_earth,Fuller's earth                                    ,,,,18918.0,23852.0,27563.0,21820.0,24829.0,28805.0,35246.0
Mexico,production,bentonite_and_fuller's_earth,Bentonite                                         ,144895.0,145347.0,135993.0,94584.0,92476.0,72599.0,69810.0,111503.0,185729.0,208611.0
Mexico,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,29863.0,41078.0,41111.0,36068.0,21377.0,15755.0,41800.0,51430.0,48016.0,47522.0
Morocco,production,bentonite_and_fuller's_earth,Bentonite                                         ,11000.0,7000.0,7273.0,10811.0,24919.0,29308.0,39680.0,49633.0,33311.0,36528.0
Morocco,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,45230.0,37552.0,38098.0,38680.0,22782.0,15027.0,17223.0,24465.0,30650.0,21956.0
Mozambique,production,bentonite_and_fuller's_earth,Bentonite                                         ,0.0,660.0,,0.0,3349.0,6566.0,11867.0,13782.0,11133.0,11187.0
New Zealand,production,bentonite_and_fuller's_earth,Bentonite                                         ,1393.0,0.0,0.0,1613.0,930.0,3699.0,13734.0,12802.0,15465.0,12258.0
Nicaragua,production,bentonite_and_fuller's_earth,Bentonite                                         ,2082.0,2055.0,1270.0,980.0,694.0,621.0,1361.0,1724.0,1406.0,5280.0
North Macedonia,production,bentonite_and_fuller's_earth,Bentonite                                         ,,,40000.0,35000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0
Pakistan,production,bentonite_and_fuller's_earth,Bentonite                                         ,4213.0,5106.0,6057.0,7991.0,12459.0,7802.0,8769.0,10169.0,14776.0,15349.0
Pakistan,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,16489.0,22075.0,22042.0,35191.0,16702.0,14844.0,11864.0,12307.0,14659.0,15565.0
Peru,production,bentonite_and_fuller's_earth,Bentonite                                         ,45000.0,55300.0,14210.0,10250.0,27682.0,26961.0,18592.0,20171.0,19563.0,19659.0
