Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Argentina,production,beryl,,31.0,7.0,6.0,24.0,72.0,31.0,50.0,46.0,39.0,89.0
Brazil,production,beryl,,500.0,811.0,1063.0,943.0,1021.0,878.0,812.0,904.0,913.0,800.0
China,production,beryl,,,,,,,,,1350.0,1350.0,1350.0
Madagascar,production,beryl,,6.0,7.0,68.0,70.0,46.0,130.0,0.0,0.0,15.0,30.0
Mozambique,production,beryl,,6.0,7.0,8.0,6.0,7.0,3.0,4.0,,,
Namibia,production,beryl,,,,,,,,,,,
Portugal,production,beryl,,20.0,18.0,12.0,3.0,10.0,2.0,0.0,35.0,4.0,4.0
Rwanda,production,beryl,,108.0,59.0,69.0,32.0,44.0,27.0,0.0,,,
South Africa,production,beryl,,0.0,122.0,58.0,21.0,1.0,5.0,3.0,,,
Soviet Union,production,beryl,,1800.0,1800.0,1850.0,1900.0,1900.0,1900.0,2000.0,2000.0,2000.0,2000.0
USA,production,beryl,,,,4945.0,6046.0,5470.0,5205.0,5927.0,5499.0,5313.0,4592.0
Zambia,production,beryl,,,,,,,,1.0,1131.0,1343.0,880.0
Zimbabwe,production,beryl,,9.0,42.0,52.0,48.0,19.0,38.0,103.0,85.0,32.0,46.0
