Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Australia,production,bismuth_mine,,,,,,1170.0,883.0,769.0,932.0,1054.0,1000.0
Bolivia,production,bismuth_mine,,,,,,614.0,603.0,612.0,680.0,482.0,10.0
Canada,production,bismuth_mine,,,,,,111.0,157.0,130.0,165.0,145.0,137.0
China,production,bismuth_mine,,,,,,250.0,250.0,220.0,225.0,240.0,260.0
France,production,bismuth_mine,,,,,,57.0,73.0,100.0,73.0,79.0,95.0
German Federal Republic,production,bismuth_mine,,,,,,10.0,11.0,10.0,10.0,10.0,
Italy,production,bismuth_mine,,,,,,0.0,0.0,0.0,8.0,9.0,19.0
Japan,production,bismuth_mine,,,,,,816.0,651.0,682.0,698.0,623.0,458.0
Korea (Rep. of),production,bismuth_mine,,,,,,131.0,113.0,174.0,134.0,122.0,87.0
Mexico,production,bismuth_mine,,,,,,718.0,445.0,557.0,729.0,978.0,754.0
Peru,production,bismuth_mine,,,,,,665.0,505.0,521.0,516.0,610.0,526.0
Romania,production,bismuth_mine,,,,,,80.0,80.0,80.0,80.0,80.0,80.0
Soviet Union,production,bismuth_mine,,,,,,60.0,60.0,60.0,65.0,70.0,73.0
Sweden,production,bismuth_mine,,,,,,15.0,15.0,,15.0,,
USA,production,bismuth_mine,,,,,,400.0,400.0,400.0,400.0,400.0,400.0
Uganda,production,bismuth_mine,,,,,,4.0,4.0,,,,
Yugoslavia,production,bismuth_mine,,,,,,100.0,55.0,78.0,74.0,13.0,23.0
