Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Argentina,production,borates,,144020.0,115644.0,124955.0,146349.0,215021.0,244933.0,342210.0,422556.0,279272.0,565647.0
Bolivia,production,borates,,3076.0,7932.0,18131.0,11990.0,10433.0,6891.0,9231.0,12469.0,15930.0,15362.0
Chile,production,borates,,131753.0,97135.0,202716.0,117072.0,85935.0,211312.0,149008.0,170605.0,280140.0,324691.0
China,production,borates,,75000.0,93000.0,126800.0,155400.0,188200.0,294600.0,,248300.0,247100.0,289400.0
Finland,production,borates,,11790.0,2952.0,,,,,,,,
Germany,production,borates,,,,2000.0,2000.0,2000.0,,,,,
Iran,production,borates,,,,,1000.0,1000.0,2480.0,3433.0,2323.0,1700.0,1920.0
Kazakhstan,production,borates,,,,110000.0,80000.0,70000.0,50000.0,40000.0,20000.0,13100.0,30000.0
Peru,production,borates,,19917.0,26390.0,26613.0,36472.0,40991.0,40581.0,39982.0,46979.0,22002.0,14716.0
Russia,production,borates,,,,950000.0,710000.0,750000.0,1010000.0,1020000.0,1000000.0,1000000.0,1000000.0
Soviet Union,production,borates,,180000.0,160000.0,,,,,,,,
Turkey,production,borates,,1198730.0,1120810.0,1038054.0,1124484.0,1139980.0,1143994.0,1446697.0,1568571.0,1547000.0,1504000.0
USA,production,borates,,1094000.0,1240000.0,1009000.0,1055000.0,1110000.0,1190000.0,1150000.0,1190000.0,1170000.0,1220000.0
