Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
China,production,bromine,,,,16650000.0,24600000.0,31400000.0,32700000.0,41400000.0,50100000.0,40000000.0,42000000.0
France,production,bromine,,3100000.0,3200000.0,3200000.0,2290000.0,2190000.0,2260000.0,7400000.0,8800000.0,8600000.0,8063000.0
German Federal Republic,production,bromine,,1500000.0,,,,,,,,,
Germany,production,bromine,,,1500000.0,750000.0,750000.0,750000.0,750000.0,750000.0,700000.0,600000.0,500000.0
India,production,bromine,,1505000.0,2047000.0,2039000.0,2320000.0,2248250.0,1800240.0,2524430.0,2509190.0,1477000.0,886700.0
Israel,production,bromine,,130000000.0,135000000.0,130000000.0,130000000.0,141000000.0,151000000.0,154000000.0,184000000.0,185000000.0,181000000.0
Italy,production,bromine,,400000.0,400000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0
Japan,production,bromine,,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,20000000.0,20000000.0,20000000.0
Jordan,production,bromine,,,,,,,,,,0.0,0.0
Russia,production,bromine,,,,390000.0,320000.0,270000.0,120000.0,70000.0,60000.0,60000.0,60000.0
Soviet Union,production,bromine,,25000000.0,24000000.0,,,,,,,,
Spain,production,bromine,,300000.0,300000.0,250000.0,200000.0,200000.0,200000.0,100000.0,100000.0,100000.0,100000.0
USA,production,bromine,,177000000.0,170000000.0,171000000.0,177000000.0,195000000.0,218000000.0,227000000.0,247000000.0,230000000.0,239000000.0
Ukraine,production,bromine,,,,4070000.0,3500000.0,2300000.0,1743000.0,1642000.0,956000.0,1866000.0,2559000.0
United Kingdom,production,bromine,,26800000.0,29323000.0,29903000.0,27423000.0,33800000.0,26200000.0,30600000.0,35600000.0,35900000.0,24800000.0
