Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Algeria,production,cadmium,,,,,,,,29.0,133.0,34.0,64.0
Argentina,production,cadmium,,,,,,,,35.0,40.0,22.0,36.0
Australia,production,cadmium,,500.0,559.0,708.0,676.0,720.0,549.0,649.0,671.0,747.0,804.0
Austria,production,cadmium,,24.0,25.0,26.0,29.0,31.0,30.0,29.0,26.0,33.0,34.0
Belgium,production,cadmium,,1092.0,948.0,432.0,1128.0,1044.0,972.0,1175.0,1434.0,1164.0,1440.0
Bolivia,production,cadmium,,60.0,86.0,51.0,56.0,110.0,,,,,
Brazil,production,cadmium,,,,,,,,19.0,10.0,10.0,21.0
Bulgaria,production,cadmium,,200.0,200.0,200.0,200.0,200.0,220.0,220.0,200.0,210.0,210.0
Canada,production,cadmium,,1954.0,1843.0,1021.0,1399.0,1153.0,1143.0,1388.0,1369.0,1265.0,1455.0
China,production,cadmium,,80.0,90.0,100.0,100.0,110.0,110.0,200.0,200.0,220.0,250.0
Finland,production,cadmium,,89.0,120.0,175.0,179.0,156.0,217.0,426.0,527.0,611.0,590.0
France,production,cadmium,,508.0,579.0,572.0,606.0,643.0,602.0,532.0,790.0,694.0,689.0
German Democratic Rep,production,cadmium,,15.0,15.0,15.0,15.0,15.0,18.0,18.0,18.0,18.0,15.0
German Federal Republic,production,cadmium,,1035.0,981.0,914.0,1221.0,1338.0,1018.0,1275.0,1336.0,1182.0,1266.0
India,production,cadmium,,34.0,31.0,35.0,33.0,59.0,53.0,34.0,44.0,113.0,166.0
Italy,production,cadmium,,425.0,356.0,416.0,397.0,505.0,411.0,436.0,449.0,378.0,526.0
Japan,production,cadmium,,2540.0,2675.0,3029.0,3170.0,3027.0,2657.0,2500.0,2844.0,2531.0,2598.0
Korea (Rep. of),production,cadmium,,,,,,,,0.0,20.0,40.0,50.0
"Korea, Dem. P.R. of",production,cadmium,,90.0,100.0,100.0,100.0,110.0,150.0,150.0,150.0,150.0,150.0
Mexico,production,cadmium,,1967.0,1662.0,186.0,182.0,527.0,586.0,710.0,908.0,897.0,830.0
Namibia,production,cadmium,,205.0,157.0,142.0,104.0,114.0,118.0,118.0,88.0,79.0,81.0
Netherlands,production,cadmium,,111.0,123.0,122.0,62.0,75.0,272.0,398.0,302.0,402.0,416.0
New Zealand,production,cadmium,,10.0,14.0,,,,,,,,
Norway,production,cadmium,,98.0,99.0,89.0,88.0,90.0,47.0,80.0,97.0,120.0,115.0
Peru,production,cadmium,,482.0,449.0,210.0,232.0,182.0,160.0,174.0,182.0,169.0,190.0
Poland,production,cadmium,,420.0,400.0,350.0,350.0,350.0,370.0,700.0,754.0,761.0,773.0
Romania,production,cadmium,,90.0,90.0,90.0,90.0,90.0,90.0,100.0,90.0,90.0,90.0
Soviet Union,production,cadmium,,2300.0,2400.0,2600.0,2800.0,2900.0,2950.0,2900.0,2900.0,3000.0,3000.0
Spain,production,cadmium,,111.0,102.0,111.0,136.0,178.0,205.0,246.0,303.0,253.0,222.0
Turkey,production,cadmium,,,,,,,,0.0,20.0,15.0,12.0
USA,production,cadmium,,4293.0,3597.0,3760.0,3403.0,3024.0,1989.0,2047.0,1999.0,1653.0,1823.0
United Kingdom,production,cadmium,,318.0,262.0,240.0,307.0,273.0,275.0,190.0,295.0,291.0,424.0
Yugoslavia,production,cadmium,,150.0,140.0,133.0,136.0,140.0,150.0,160.0,189.0,186.0,289.0
Zaire,production,cadmium,,317.0,262.0,296.0,278.0,272.0,264.0,252.0,246.0,186.0,212.0
Zambia,production,cadmium,,12.0,10.0,16.0,15.0,13.0,6.0,7.0,,,
