Country,Activity,Commodity,Sub-commodity,2020
Argentina,production,cadmium,,46.0
Brazil,production,cadmium,,25.0
Bulgaria,production,cadmium,,315.0
Canada,production,cadmium,,140.0
China,production,cadmium,,10300.0
Germany,production,cadmium,,450.0
India,production,cadmium,,0.0
Japan,production,cadmium,,1800.0
Kazakhstan,production,cadmium,,1500.0
Korea (Rep. of),production,cadmium,,4500.0
"Korea, Dem. P.R. of",production,cadmium,,200.0
Mexico,production,cadmium,,978.0
Netherlands,production,cadmium,,1100.0
Norway,production,cadmium,,340.0
Peru,production,cadmium,,687.0
Poland,production,cadmium,,200.0
Russia,production,cadmium,,1400.0
USA,production,cadmium,,550.0
