Country,Activity,Commodity,Sub-commodity,2020
Austria,production,cement__clinker,"Cement, clinker",19630.0
Belgium,production,cement__clinker,"Cement, clinker",2394779.0
Bulgaria,production,cement__clinker,"Cement, clinker",80000.0
Cyprus,production,cement__clinker,"Cement, clinker",2001957.0
Czech Republic,production,cement__clinker,"Cement, clinker",3556702.0
Estonia,production,cement__clinker,"Cement, clinker",52000.0
France,production,cement__clinker,"Cement, clinker",13000000.0
Germany,production,cement__clinker,"Cement, clinker",23464980.0
Greece,production,cement__clinker,"Cement, clinker",6130855.0
Hungary,production,cement__clinker,"Cement, clinker",400000.0
Italy,production,cement__clinker,"Cement, clinker",12928011.0
Latvia,production,cement__clinker,"Cement, clinker",1500000.0
Luxembourg,production,cement__clinker,"Cement, clinker",700000.0
Norway,production,cement__clinker,"Cement, clinker",1389000.0
Poland,production,cement__clinker,"Cement, clinker",14361461.0
Portugal,production,cement__clinker,"Cement, clinker",4568932.0
Romania,production,cement__clinker,"Cement, clinker",7541962.0
Serbia,production,cement__clinker,"Cement, clinker",1300000.0
Slovakia,production,cement__clinker,"Cement, clinker",2000000.0
Spain,production,cement__clinker,"Cement, clinker",15651702.0
Sweden,production,cement__clinker,"Cement, clinker",2397000.0
Turkey,production,cement__clinker,"Cement, clinker",71767003.0
United Kingdom,production,cement__clinker,"Cement, clinker",6941000.0
