Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Austria,production,cement_finished,"Cement, finished",3776000.0,3863000.0,3967000.0,4000000.0,4040000.0,4676768.0,5293370.0,5518303.0,6131257.0,4847862.0
Belgium,production,cement_finished,"Cement, finished",7510000.0,7241000.0,7103000.0,6553000.0,6216000.0,6587000.0,6965000.0,6930000.0,7135000.0,6113000.0
Bulgaria,production,cement_finished,"Cement, finished",2209000.0,2088000.0,2137000.0,2410000.0,2920000.0,3559420.0,4003664.0,4290000.0,4900336.0,2660176.0
Cyprus,production,cement_finished,"Cement, finished",1398000.0,1368800.0,1438160.0,1636879.0,1688917.0,1804645.0,1786488.0,1872531.0,1913620.0,1480843.0
Czech Republic,production,cement_finished,"Cement, finished",4092820.0,3590689.0,3249155.0,3502103.0,3709000.0,3850000.0,4105000.0,4767000.0,4710000.0,3637000.0
Denmark,production,cement_finished,"Cement, finished",2536080.0,2575512.0,2544868.0,2580427.0,2892831.0,2880554.0,2937132.0,2871402.0,2538822.0,1578614.0
Estonia,production,cement_finished,"Cement, finished",329100.0,404600.0,465900.0,506200.0,614600.0,726000.0,848900.0,937400.0,808000.0,326200.0
Finland,production,cement_finished,"Cement, finished",1421959.0,1324705.0,1198423.0,1186000.0,1295000.0,1347000.0,1684507.0,1771000.0,1638000.0,1041866.0
France,production,cement_finished,"Cement, finished",19720000.0,19839000.0,19437000.0,19655000.0,20962000.0,21277000.0,22268000.0,22268000.0,21443000.0,18300000.0
Germany,production,cement_finished,"Cement, finished",35200000.0,32600000.0,31200000.0,32700000.0,31900000.0,30600000.0,33630000.0,33382000.0,33581000.0,30441000.0
Greece,production,cement_finished,"Cement, finished",15597959.0,15562654.0,14980698.0,18741977.0,14800861.0,15191761.0,15723088.0,14559293.0,14013312.0,11160205.0
Hungary,production,cement_finished,"Cement, finished",3326000.0,3452000.0,3510000.0,3573000.0,3349000.0,3371000.0,3724153.0,3551746.0,3544000.0,2809000.0
"Ireland, Republic of",production,cement_finished,"Cement, finished",2620000.0,2600000.0,2500000.0,,,4900000.0,4700000.0,4700000.0,3910000.0,2720000.0
Italy,production,cement_finished,"Cement, finished",39388765.0,40190597.0,41722254.0,43580047.0,45342868.0,46400000.0,47400000.0,45590422.0,42863063.0,33611625.0
Latvia,production,cement_finished,"Cement, finished",300000.0,300000.0,260397.0,295205.0,283647.0,280000.0,280000.0,300000.0,310000.0,650000.0
Lithuania,production,cement_finished,"Cement, finished",573000.0,529193.0,605784.0,596857.0,753069.0,832076.0,1065367.0,1105365.0,1075581.0,583067.0
Luxembourg,production,cement_finished,"Cement, finished",751000.0,726000.0,729000.0,709000.0,797000.0,767000.0,796000.0,908000.0,907500.0,929820.0
Netherlands,production,cement_finished,"Cement, finished",3500000.0,3380000.0,3080000.0,2450000.0,2380000.0,2496000.0,2790000.0,2700000.0,2700000.0,2700000.0
North Macedonia,production,cement_finished,"Cement, finished",,,,,,827371.0,867349.0,902131.0,861904.0,854949.0
Norway,production,cement_finished,"Cement, finished",1851000.0,1870000.0,1631000.0,1650000.0,1420000.0,1613000.0,1695000.0,1700000.0,1799774.0,1434439.0
Poland,production,cement_finished,"Cement, finished",15046351.0,12069941.0,11206439.0,11653448.0,12566000.0,12646223.0,14688353.0,17120000.0,17206735.0,15536984.0
Portugal,production,cement_finished,"Cement, finished",10343068.0,10162310.0,9760964.0,8485826.0,8839048.0,8426830.0,8326687.0,9178735.0,8405420.0,6862969.0
Romania,production,cement_finished,"Cement, finished",6058000.0,5702000.0,5679776.0,5991962.0,6238584.0,7032100.0,8198090.0,9844706.0,10461456.0,7897656.0
Slovakia,production,cement_finished,"Cement, finished",3044923.0,3122665.0,3140581.0,3147478.0,3158308.0,3498685.0,3592509.0,3718410.0,4157356.0,3011460.0
Slovenia,production,cement_finished,"Cement, finished",1300000.0,1237000.0,1178000.0,1370000.0,1186000.0,1114000.0,1269000.0,1300000.0,1300000.0,1000000.0
Spain,production,cement_finished,"Cement, finished",38115621.0,40512090.0,42417253.0,44746757.0,46595560.0,50300000.0,54032770.0,54720445.0,42088110.0,29504574.0
Sweden,production,cement_finished,"Cement, finished",2612901.0,2644365.0,2764954.0,2544647.0,2604270.0,2737320.0,2971417.0,2616362.0,2940840.0,2144271.0
Switzerland,production,cement_finished,"Cement, finished",3720000.0,3920000.0,3771000.0,3613000.0,3954816.0,4267854.0,4231294.0,4252574.0,4238311.0,4333096.0
Turkey,production,cement_finished,"Cement, finished",35825000.0,30125000.0,32576701.0,35076902.0,38019112.0,41100274.0,47906365.0,50995107.0,54027283.0,55741176.0
United Kingdom,production,cement_finished,"Cement, finished",12452000.0,11090000.0,11089000.0,11215000.0,11405000.0,11216000.0,11469000.0,11887000.0,10071000.0,7623000.0
