Country,Activity,Commodity,Sub-commodity,2020
Austria,production,cement_finished,"Cement, finished",4508448.0
Belgium,production,cement_finished,"Cement, finished",6800000.0
Bulgaria,production,cement_finished,"Cement, finished",2175279.0
Croatia,production,cement_finished,"Cement, finished",5455445.0
Cyprus,production,cement_finished,"Cement, finished",1496494.0
Czech Republic,production,cement_finished,"Cement, finished",4513409.0
Denmark,production,cement_finished,"Cement, finished",2497680.0
Estonia,production,cement_finished,"Cement, finished",258400.0
Finland,production,cement_finished,"Cement, finished",1400000.0
France,production,cement_finished,"Cement, finished",17000000.0
Germany,production,cement_finished,"Cement, finished",35485000.0
Greece,production,cement_finished,"Cement, finished",5272020.0
Hungary,production,cement_finished,"Cement, finished",1000000.0
"Ireland, Republic of",production,cement_finished,"Cement, finished",1800000.0
Italy,production,cement_finished,"Cement, finished",19818320.0
Latvia,production,cement_finished,"Cement, finished",1000000.0
Lithuania,production,cement_finished,"Cement, finished",1220837.0
Luxembourg,production,cement_finished,"Cement, finished",1000000.0
Netherlands,production,cement_finished,"Cement, finished",2142000.0
North Macedonia,production,cement_finished,"Cement, finished",927566.0
Norway,production,cement_finished,"Cement, finished",1737000.0
Poland,production,cement_finished,"Cement, finished",19048709.0
Portugal,production,cement_finished,"Cement, finished",4498364.0
Romania,production,cement_finished,"Cement, finished",10539046.0
Serbia,production,cement_finished,"Cement, finished",2364000.0
Slovakia,production,cement_finished,"Cement, finished",4071834.0
Slovenia,production,cement_finished,"Cement, finished",700000.0
Spain,production,cement_finished,"Cement, finished",16166950.0
Sweden,production,cement_finished,"Cement, finished",2515000.0
Switzerland,production,cement_finished,"Cement, finished",4150000.0
Turkey,production,cement_finished,"Cement, finished",72299054.0
United Kingdom,production,cement_finished,"Cement, finished",8046000.0
