Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,production,chromium_ores_and_concentrates,,5345.0,5682.0,6136.0,6364.0,6591.0,6818.0,7273.0,6491.0,6491.0,6000.0
Albania,production,chromium_ores_and_concentrates,,120400.0,85890.0,72600.0,98000.0,160300.0,170000.0,187070.0,194760.0,220536.0,288759.0
Australia,production,chromium_ores_and_concentrates,,74260.0,15750.0,57142.0,168200.0,275700.0,225700.0,267800.0,295000.0,142000.0,182000.0
Brazil,production,chromium_ores_and_concentrates,,600000.0,419049.0,283991.0,376862.0,593476.0,616534.0,562739.0,627772.0,664000.0,365210.0
Burma,production,chromium_ores_and_concentrates,,3000.0,3000.0,3000.0,3000.0,360.0,410.0,,,,
China,production,chromium_ores_and_concentrates,,208000.0,181900.0,164200.0,197800.0,230000.0,220000.0,220000.0,220000.0,220000.0,220000.0
Cuba,production,chromium_ores_and_concentrates,,32400.0,26000.0,21150.0,27600.0,42487.0,14792.0,5047.0,,,
Finland,production,chromium_ores_and_concentrates,,628414.0,575126.0,566090.0,549000.0,580000.0,572000.0,549000.0,556000.0,614000.0,247000.0
India,production,chromium_ores_and_concentrates,,1971806.0,1548900.0,3068631.0,2904809.0,3621394.0,3714284.0,5295551.0,4872847.0,4073479.0,3425580.0
Iran,production,chromium_ores_and_concentrates,,145007.0,178120.0,232068.0,150316.0,134872.0,224911.0,236397.0,139114.0,268586.0,274511.0
Kazakhstan,production,chromium_ores_and_concentrates,,2606600.0,2045700.0,2369500.0,2927900.0,3287100.0,3581242.0,3366078.0,4590000.0,4207000.0,4678000.0
Kosovo,production,chromium_ores_and_concentrates,,,,,,,0.0,0.0,,0.0,0.0
Madagascar,production,chromium_ores_and_concentrates,,131293.0,60923.0,10737.0,45040.0,77386.0,93384.0,116290.0,77700.0,112600.0,131800.0
Oman,production,chromium_ores_and_concentrates,,15100.0,30100.0,27400.0,13800.0,28700.0,34000.0,276300.0,407822.0,859748.0,636482.0
Pakistan,production,chromium_ores_and_concentrates,,24473.0,21535.0,16679.0,30657.0,29230.0,56359.0,64572.0,300000.0,390000.0,300000.0
Philippines,production,chromium_ores_and_concentrates,,20920.0,27926.0,22000.0,33778.0,42139.0,36070.0,46728.0,31593.0,15268.0,14322.0
Russia,production,chromium_ores_and_concentrates,,79000.0,117700.0,71000.0,169200.0,447300.0,772000.0,966095.0,582200.0,747000.0,347000.0
South Africa,production,chromium_ores_and_concentrates,,6662000.0,5502010.0,6435746.0,7405391.0,7676799.0,7502762.0,7418326.0,9646958.0,9682640.0,6864938.0
Sudan,production,chromium_ores_and_concentrates,,28500.0,20500.0,14000.0,37000.0,26000.0,21654.0,24200.0,37656.0,27094.0,14087.0
Turkey,production,chromium_ores_and_concentrates,,545725.0,454549.0,326390.0,229294.0,506421.0,858729.0,1059901.0,1678932.0,1885712.0,1770029.0
United Arab Emirates,production,chromium_ores_and_concentrates,,30000.0,10000.0,0.0,0.0,7089.0,0.0,0.0,23000.0,31000.0,
Vietnam,production,chromium_ores_and_concentrates,,76300.0,70300.0,66300.0,91000.0,82000.0,5700.0,3400.0,103800.0,55100.0,37100.0
Zimbabwe,production,chromium_ores_and_concentrates,,668043.0,780150.0,725822.0,572558.0,668391.0,667199.0,700001.0,614559.0,442584.0,193674.0
