Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,production,coal,Coal                                              ,724900.0,1479600.0,1239900.0,1347000.0,1517400.0,1364800.0,1698200.0,2191400.0,2444600.0,2139200.0
Albania,production,coal,Bituminous,,,,,,,,,,
Albania,production,coal,Lignite                                           ,3000.0,100.0,0.0,0.0,0.0,69000.0,4000.0,46000.0,98000.0,31000.0
Argentina,production,coal,Bituminous,140000.0,178000.0,246000.0,183000.0,57000.0,22000.0,17000.0,14000.0,17000.0,16000.0
Australia,production,coal,Bituminous,362927000.0,352044000.0,381045000.0,411313000.0,441520000.0,439979000.0,443449000.0,435889000.0,457325000.0,462994000.0
Australia,production,coal,Brown coal                                        ,68751000.0,66733000.0,69124000.0,59854000.0,58001000.0,60957000.0,59757000.0,56095000.0,45062000.0,42256000.0
Australia,production,coal,Coking coal,,,,,,,,,,
Bangladesh,production,coal,Coal                                              ,730866.0,666635.0,861072.0,854804.0,942796.0,675776.0,1021638.0,1160658.0,923276.0,805696.0
Bhutan,production,coal,Coal                                              ,87814.0,148244.0,98731.0,77744.0,121891.0,85164.0,117783.0,161527.0,186824.0,184785.0
Bosnia & Herzegovina,production,coal,Brown coal & lignite                              ,10976163.0,12738225.0,12311623.0,11764827.0,11673320.0,12111830.0,13488147.0,14033504.0,14378767.0,13376548.0
Botswana,production,coal,Coal                                              ,988240.0,787729.0,1454724.0,1495653.0,1711555.0,2065778.0,1873547.0,2215782.0,2482313.0,2110891.0
Brazil,production,coal,Bituminous & lignite                              ,5611467.0,5985489.0,6440998.0,8009895.0,7723299.0,8028585.0,7005281.0,4818058.0,5017000.0,5963000.0
Bulgaria,production,coal,Anthracite & Bituminous,,0.0,0.0,0.0,16500.0,0.0,10.0,0.0,0.0,0.0
Bulgaria,production,coal,Brown coal                                        ,2321200.0,2743500.0,2556700.0,2301500.0,2228800.0,2165100.0,2140000.0,2451500.0,1300000.0,1300000.0
Bulgaria,production,coal,Lignite                                           ,27148300.0,34496200.0,31040700.0,26459300.0,29127500.0,33773000.0,29294200.0,32136500.0,29000000.0,29000000.0
Burma,production,coal,Coal                                              ,235743.0,355693.0,471022.0,380272.0,386732.0,373596.0,506262.0,677774.0,1200619.0,1941558.0
Canada,production,coal,Bituminous,33704000.0,34621000.0,35374000.0,,,,,,,
Canada,production,coal,Coal                                              ,,,,68909000.0,69036000.0,61931000.0,61461000.0,60866000.0,54600000.0,51801000.0
Canada,production,coal,Lignite                                           ,10264000.0,9731000.0,9496000.0,,,,,,,
Canada,production,coal,Sub-bituminous                                    ,23927000.0,22762000.0,21625000.0,,,,,,,
Chile,production,coal,Bituminous,106018.0,131430.0,141120.0,144313.0,194747.0,157017.0,114887.0,70281.0,38021.0,41385.0
Chile,production,coal,Lignite                                           ,512775.0,522672.0,570594.0,2758131.0,3973438.0,3004709.0,2410284.0,2425109.0,2256656.0,1565169.0
China,production,coal,Coal                                              ,3428000000.0,3764000000.0,3945128000.0,3974322000.0,3874000000.0,3747000000.0,3411000000.0,3524000000.0,3698000000.0,3846000000.0
Colombia,production,coal,Anthracite                                        ,2030.0,1492.0,589.0,3200.0,5622.0,7133.0,29721.0,25051.0,26000.0,25400.0
Colombia,production,coal,Coking coal,4571000.0,4418980.0,4906137.0,4892932.0,5104123.0,4823869.0,4411104.0,5981970.0,4900000.0,4860000.0
Colombia,production,coal,Other bituminous coal,69777000.0,81382757.0,84799802.0,81040114.0,83677949.0,81723769.0,86582319.0,84542025.0,81000000.0,79860000.0
"Congo, Democratic Republic",production,coal,Bituminous,133400.0,143335.0,0.0,4000.0,5600.0,6900.0,8200.0,8000.0,8000.0,8000.0
Czech Republic,production,coal,Bituminous,11193000.0,10967000.0,10796000.0,8610000.0,8341000.0,7640000.0,6074000.0,4870000.0,4110000.0,3150000.0
Czech Republic,production,coal,Brown coal                                        ,43931000.0,46848000.0,43710000.0,40585000.0,38348000.0,38251000.0,38646000.0,39310000.0,39187000.0,37465000.0
Egypt,production,coal,Coal                                              ,109884.0,233283.0,315953.0,6385.0,9387.0,,,,,
Eswatini (Swaziland),production,coal,Anthracite                                        ,145903.0,121050.0,152284.0,257090.0,177931.0,141733.0,158418.0,202277.0,144375.0,109926.0
Ethiopia,production,coal,Lignite                                           ,20000.0,20000.0,20000.0,20000.0,27000.0,34131.0,14582.0,35000.0,2767.0,2800.0
Georgia,production,coal,Coal                                              ,267664.0,352872.0,424998.0,404187.0,299314.0,305870.0,296500.0,268113.0,137912.0,15900.0
Germany,production,coal,Anthracite & Bituminous,14110000.0,12960000.0,11558000.0,8260000.0,8340000.0,6650000.0,4079000.0,3840000.0,2762000.0,0.0
Germany,production,coal,Brown coal                                        ,169402544.0,176502048.0,185432000.0,182995337.0,178154848.0,178065353.0,171546550.0,171286000.0,166258371.0,131314116.0
Greece,production,coal,Lignite                                           ,53600000.0,58400000.0,62368800.0,55500000.0,50411000.0,46308120.0,32674790.0,37802600.0,36574360.0,26000000.0
Hungary,production,coal,Bituminous,,,0.0,0.0,11.0,5687.0,748.0,789.0,2083.0,6095.0
Hungary,production,coal,Brown coal                                        ,813403.0,699129.0,875944.0,718700.0,635700.0,162490.0,68061.0,83341.0,53606.0,50742.0
Hungary,production,coal,Coal                                              ,,,,,,,,,,
Hungary,production,coal,Lignite                                           ,8202859.0,8800783.0,8438000.0,8834000.0,8918000.0,9095000.0,9164000.0,7890000.0,7843000.0,6790000.0
India,production,coal,Bituminous,532694000.0,539950000.0,556402000.0,565765000.0,609179000.0,639230000.0,657868000.0,675400000.0,728718000.0,729023000.0
India,production,coal,Lignite                                           ,37733000.0,42332000.0,46453000.0,44271000.0,48270000.0,43842000.0,45230000.0,46644000.0,44282000.0,42185000.0
Indonesia,production,coal,Anthracite & Bituminous,275164196.0,353270937.0,386077357.0,474371369.0,458096707.0,461566080.0,456197775.0,461248184.0,557772940.0,616159594.0
Iran,production,coal,Bituminous,2500000.0,2499495.0,831000.0,1183000.0,1375000.0,1339000.0,1340000.0,1496000.0,1650000.0,1600000.0
Kazakhstan,production,coal,Bituminous,103646000.0,108081000.0,112780000.0,113349000.0,107669100.0,101792500.0,97308600.0,101797300.0,107576600.0,104809100.0
Kazakhstan,production,coal,Lignite                                           ,7283000.0,8368000.0,7748000.0,6511000.0,6893500.0,5525700.0,5750400.0,6094500.0,6560800.0,5928900.0
Korea (Rep. of),production,coal,Anthracite                                        ,2083972.0,2084474.0,2094000.0,1814000.0,1748000.0,1764000.0,1727000.0,1485000.0,1201920.0,1084000.0
"Korea, Dem. P.R. of",production,coal,Coal                                              ,41000000.0,25500000.0,25800000.0,27861000.0,27081000.0,31115000.0,35741000.0,21738000.0,18250000.0,18000000.0
Kosovo,production,coal,Lignite                                           ,7958090.0,8212103.0,8028397.0,8219393.0,7204211.0,8240694.0,8800848.0,7574697.0,7169767.0,8063051.0
Kyrgyzstan,production,coal,Coal                                              ,575000.0,830700.0,1163900.0,1407900.0,1777400.0,1928700.0,1851300.0,1870400.0,2395200.0,2606000.0
Laos,production,coal,Anthracite                                        ,501600.0,511700.0,331400.0,104260.0,105564.0,106028.0,138809.0,133284.0,142994.0,161494.0
Laos,production,coal,Lignite                                           ,211700.0,166600.0,510100.0,403925.0,26320.0,4464068.0,13097121.0,13439492.0,15903277.0,15263562.0
Malawi,production,coal,Coal                                              ,79186.0,83146.0,70552.0,67024.0,63673.0,58774.0,43338.0,45230.0,49753.0,54728.0
Malaysia,production,coal,Coal                                              ,2397340.0,2915788.0,2951124.0,2907963.0,2667764.0,2559444.0,2414765.0,2988212.0,2652813.0,3459122.0
Mexico,production,coal,Bituminous,16318120.0,20967630.0,16276556.0,15717587.0,15874413.0,15716400.0,13676593.0,12748000.0,12000000.0,1000000.0
Mongolia,production,coal,Brown coal & lignite                              ,25161900.0,32994400.0,31139000.0,33341000.0,24449000.0,23979000.0,,,,
Mongolia,production,coal,Coal                                              ,,,,,,,35522300.0,48145100.0,51401300.0,55799400.0
Montenegro,production,coal,Brown coal                                        ,,,,,0.0,17900.0,47800.0,55200.0,56758.0,43477.0
Montenegro,production,coal,Lignite                                           ,1937847.0,1972671.0,1706302.0,1692535.0,1655045.0,1752758.0,1349729.0,1419655.0,1539118.0,1561712.0
Mozambique,production,coal,Bituminous,38260.0,648220.0,4900000.0,5500000.0,8500000.0,8600000.0,5500000.0,11260000.0,12926416.0,10339536.0
Nepal,production,coal,Sub-bituminous                                    ,11799.0,13165.0,10904.0,14084.0,8151.0,6754.0,1722.0,7270.0,11522.0,61179.0
New Zealand,production,coal,Bituminous,2597400.0,2330400.0,2276300.0,2279300.0,1935881.0,1400886.0,1205388.0,1212126.0,1318966.0,1291197.0
New Zealand,production,coal,Lignite                                           ,294900.0,320100.0,325900.0,290400.0,316692.0,324086.0,313035.0,319487.0,307378.0,287830.0
New Zealand,production,coal,Sub-bituminous                                    ,2438200.0,2294200.0,2324000.0,2055700.0,1731874.0,1665676.0,1348199.0,1386950.0,1604454.0,1454956.0
Niger,production,coal,Coal                                              ,246558.0,246016.0,235072.0,241792.0,255936.0,221024.0,246631.0,233792.0,221580.0,225920.0
Nigeria,production,coal,Bituminous,,,,,,,51000.0,56000.0,53000.0,60000.0
Nigeria,production,coal,Sub-bituminous                                    ,35713.0,13427.0,62410.0,40360.0,46000.0,47000.0,,,,
North Macedonia,production,coal,Lignite                                           ,6583074.0,7902084.0,7309546.0,6633560.0,6469819.0,5927749.0,5130055.0,5056918.0,4946486.0,5066083.0
Norway,production,coal,Bituminous,1685000.0,1640000.0,1325000.0,2135000.0,1701000.0,1203000.0,962000.0,134000.0,142500.0,107900.0
Pakistan,production,coal,Coal                                              ,3535828.0,3291617.0,3178986.0,2813079.0,3340192.0,3407659.0,3749312.0,3953992.0,4470000.0,5371865.0
Peru,production,coal,Anthracite & Bituminous,91960.0,164392.0,226908.0,211885.0,229213.0,251788.0,266208.0,301050.0,216581.0,181010.0
Philippines,production,coal,Bituminous,6650357.0,6881474.0,7348647.0,7100033.0,7601260.0,7377639.0,11211254.0,11932328.0,11755360.0,13751291.0
Poland,production,coal,Bituminous,76727802.0,76447604.0,79854904.0,,,,,,,
Poland,production,coal,Coking coal,,,,12115000.0,12288000.0,12985000.0,13204000.0,12482000.0,12047000.0,12071000.0
Poland,production,coal,Lignite                                           ,56510125.0,62841269.0,64297772.0,66139000.0,64002000.0,63135000.0,60273000.0,63060000.0,61144000.0,52855000.0
Poland,production,coal,Other bituminous coal,,,,64941000.0,60983000.0,59701000.0,57580000.0,53493000.0,51767000.0,50031000.0
Romania,production,coal,Anthracite & Bituminous,0.0,2121574.0,1876062.0,1839667.0,1619347.0,1418596.0,1068507.0,784433.0,538092.0,410765.0
Romania,production,coal,Brown coal                                        ,62448.0,46071.0,17700.0,,,,,,,
