Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Albania,production,cobalt_mine,,586.0,500.0,,,,,,,,
Australia,production,cobalt_mine,,1870.0,1670.0,1270.0,1159.0,1394.0,2100.0,1609.0,1996.0,2138.0,1802.0
Botswana,production,cobalt_mine,,205.0,208.0,208.0,205.0,225.0,271.0,406.0,334.0,335.0,332.0
Brazil,production,cobalt_mine,,600.0,900.0,1000.0,1200.0,1300.0,1100.0,1000.0,1500.0,2500.0,2900.0
Canada,production,cobalt_mine,,5470.0,5274.0,5102.0,5108.0,4265.0,5339.0,5714.0,5709.0,5861.0,5323.0
China,production,cobalt_mine,,325.0,233.0,255.0,240.0,270.0,981.0,192.0,200.0,40.0,100.0
"Congo, Democratic Republic",production,cobalt_mine,,,,8547.0,2092.0,3274.0,3967.0,4041.0,4000.0,5000.0,6000.0
Cuba,production,cobalt_mine,,1743.0,1331.0,1360.0,1258.0,1141.0,1854.0,2300.0,2500.0,2700.0,2600.0
Finland,production,cobalt_mine,,273.0,234.0,216.0,167.0,121.0,,,,,
Indonesia,production,cobalt_mine,,,700.0,700.0,800.0,800.0,814.0,800.0,650.0,650.0,650.0
Morocco,production,cobalt_mine,,103.0,295.0,425.0,405.0,427.0,548.0,540.0,780.0,287.0,882.0
New Caledonia,production,cobalt_mine,,2551.0,2990.0,3000.0,2407.0,2756.0,2601.0,2356.0,2964.0,3036.0,2803.0
Russia,production,cobalt_mine,,,,7057.0,5298.0,4330.0,4200.0,4200.0,4000.0,3700.0,4000.0
South Africa,production,cobalt_mine,,249.0,209.0,234.0,243.0,258.0,190.0,244.0,316.0,296.0,306.0
Soviet Union,production,cobalt_mine,,6000.0,5200.0,,,,,,,,
Zaire,production,cobalt_mine,,9981.0,8620.0,,,,,,,,
Zambia,production,cobalt_mine,,4614.0,4817.0,4610.0,4211.0,2480.0,2934.0,4799.0,3949.0,5011.0,3946.0
Zimbabwe,production,cobalt_mine,,121.0,118.0,100.0,113.0,126.0,109.0,106.0,126.0,100.0,129.0
