Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,production,cobalt_refined,,4117.0,4722.0,4769.0,4981.0,5419.0,5150.0,3200.0,3042.0,3244.0,3700.0
Belgium,production,cobalt_refined,,2600.0,3187.0,4200.0,5415.0,5850.0,6306.0,6329.0,6987.0,6360.0,6500.0
Brazil,production,cobalt_refined,,1369.0,1614.0,1750.0,1871.0,1350.0,1300.0,400.0,185.0,8.0,0.0
Canada,production,cobalt_refined,,4711.0,6038.0,5994.0,5602.0,5491.0,6126.0,6302.0,5152.0,6349.0,6075.0
China,production,cobalt_refined,,35929.0,34969.0,29784.0,36062.0,39292.0,48719.0,45046.0,69600.0,78360.0,86000.0
"Congo, Democratic Republic",production,cobalt_refined,,4182.0,3083.0,2999.0,2777.0,2859.0,3195.0,82.0,120.0,68.0,0.0
Finland,production,cobalt_refined,,9429.0,10627.0,10562.0,10798.0,12551.0,9615.0,12393.0,13585.0,14295.0,14283.0
France,production,cobalt_refined,,302.0,354.0,326.0,308.0,219.0,133.0,119.0,277.0,48.0,0.0
India,production,cobalt_refined,,1187.0,1299.0,800.0,295.0,100.0,150.0,100.0,100.0,0.0,0.0
Japan,production,cobalt_refined,,1935.0,2007.0,2542.0,2747.0,3654.0,4259.0,4305.0,4159.0,3669.0,3680.0
Madagascar,production,cobalt_refined,,0.0,0.0,493.0,2083.0,2915.0,3464.0,3273.0,3053.0,2850.0,2897.0
Morocco,production,cobalt_refined,,1582.0,1518.0,1314.0,1353.0,1391.0,1982.0,2081.0,1924.0,1806.0,2397.0
New Caledonia,production,cobalt_refined,,,,151.0,503.0,435.0,1568.0,2531.0,2302.0,1662.0,1240.0
Norway,production,cobalt_refined,,3208.0,3067.0,2969.0,3348.0,3582.0,3117.0,3541.0,3473.0,4166.0,4354.0
Russia,production,cobalt_refined,,2460.0,2337.0,2186.0,2368.0,2302.0,2040.0,3092.0,2077.0,1800.0,1900.0
South Africa,production,cobalt_refined,,840.0,862.0,1102.0,1294.0,1332.0,1362.0,1101.0,1062.0,1007.0,1027.0
Uganda,production,cobalt_refined,,568.0,673.0,556.0,291.0,,,,,,
Zambia,production,cobalt_refined,,5134.0,5956.0,5665.0,5658.0,4562.0,2979.0,4725.0,2520.0,1613.0,1271.0
