Country,Activity,Commodity,Sub-commodity,2020
Australia,production,cobalt_refined,,3300.0
Belgium,production,cobalt_refined,,6500.0
Brazil,production,cobalt_refined,,0.0
Canada,production,cobalt_refined,,5965.0
China,production,cobalt_refined,,86000.0
"Congo, Democratic Republic",production,cobalt_refined,,0.0
Finland,production,cobalt_refined,,15148.0
France,production,cobalt_refined,,0.0
India,production,cobalt_refined,,0.0
Japan,production,cobalt_refined,,3467.0
Madagascar,production,cobalt_refined,,963.0
Morocco,production,cobalt_refined,,2416.0
New Caledonia,production,cobalt_refined,,681.0
Norway,production,cobalt_refined,,4384.0
Russia,production,cobalt_refined,,1800.0
South Africa,production,cobalt_refined,,897.0
Zambia,production,cobalt_refined,,0.0
