Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Albania,production,copper_mine,,,0.0,0.0,0.0,642.0,1696.0,1140.0,2384.0,3633.0,2600.0
Argentina,production,copper_mine,,145197.0,191667.0,204027.0,199020.0,177143.0,187317.0,180144.0,180223.0,156900.0,143084.0
Armenia,production,copper_mine,,12234.0,16460.0,16641.0,18068.0,17700.0,16400.0,17930.0,17629.0,18754.0,23233.0
Australia,production,copper_mine,,832000.0,896000.0,879000.0,830000.0,854000.0,928217.0,878874.0,862535.0,878940.0,855892.0
Azerbaijan,production,copper_mine,,,,,,,,,,,0.0
Bolivia,production,copper_mine,,110.0,18.0,120.0,344.0,576.0,35.0,218.0,606.0,567.0,620.0
Botswana,production,copper_mine,,18722.0,19209.0,21590.0,24289.0,21195.0,26704.0,24255.0,19996.0,23146.0,24382.0
Brazil,production,copper_mine,,31786.0,32734.0,32711.0,26275.0,103153.0,133325.0,147836.0,205728.0,218295.0,211692.0
Bulgaria,production,copper_mine,,93200.0,97100.0,84400.0,91600.0,79600.0,112536.0,123571.0,116157.0,107195.0,110652.0
Burma,production,copper_mine,,26711.0,25800.0,27500.0,27900.0,31800.0,34500.0,19500.0,15100.0,6900.0,9800.0
Canada,production,copper_mine,,633855.0,633531.0,603498.0,557082.0,562795.0,595383.0,603295.0,596249.0,607957.0,484605.0
Chile,production,copper_mine,,4602000.0,4739000.0,4580600.0,4904200.0,5412500.0,5320500.0,5360800.0,5557000.0,5327600.0,5394400.0
China,production,copper_mine,,592600.0,587000.0,578100.0,614400.0,754200.0,776000.0,889000.0,946200.0,1092700.0,1062000.0
Colombia,production,copper_mine,,2018.0,2000.0,1700.0,1500.0,1600.0,1800.0,600.0,840.0,1050.0,1140.0
"Congo, Democratic Republic",production,copper_mine,,33000.0,37845.0,27359.0,16359.0,18995.0,97500.0,142300.0,144600.0,239200.0,299300.0
Cuba,production,copper_mine,,1346.0,1000.0,,,,,,,,
Cyprus,production,copper_mine,,5200.0,4600.0,3700.0,2500.0,0.0,0.0,900.0,3012.0,2986.0,2380.0
Dominican Republic,production,copper_mine,,,,,,,,,0.0,2109.0,12937.0
Ecuador,production,copper_mine,,,,,,,,,,,300.0
Eritrea,production,copper_mine,,,,,,,,,,,0.0
Finland,production,copper_mine,,11500.0,11600.0,14400.0,14900.0,15500.0,15000.0,13000.0,13600.0,13300.0,14600.0
Georgia,production,copper_mine,,9000.0,11500.0,13000.0,14700.0,12000.0,9500.0,14600.0,11300.0,18700.0,16600.0
India,production,copper_mine,,37511.0,38177.0,32780.0,29529.0,30072.0,28640.0,30051.0,32726.0,30528.0,28491.0
Indonesia,production,copper_mine,,1012000.0,1048700.0,1171726.0,1005837.0,840318.0,1063849.0,817796.0,796899.0,650100.0,995500.0
Iran,production,copper_mine,,147200.0,146300.0,140700.0,146100.0,153000.0,149900.0,216200.0,244200.0,248100.0,262500.0
Japan,production,copper_mine,,1211.0,744.0,1519.0,1000.0,1000.0,1000.0,300.0,,,
Kazakhstan,production,copper_mine,,430200.0,469500.0,473700.0,484500.0,461800.0,401700.0,446300.0,444000.0,467000.0,406100.0
"Korea, Dem. P.R. of",production,copper_mine,,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,2400.0,3700.0
Laos,production,copper_mine,,,0.0,0.0,0.0,1700.0,30480.0,60803.0,62541.0,89004.0,121581.0
Malaysia,production,copper_mine,,,,,,,,0.0,0.0,0.0,240.0
Mauritania,production,copper_mine,,,,,,,,5031.0,28755.0,33073.0,36608.0
Mexico,production,copper_mine,,364566.0,371123.0,329574.0,355653.0,405539.0,429042.0,334129.0,337527.0,246593.0,240648.0
Mongolia,production,copper_mine,,125868.0,133500.0,131700.0,130300.0,132250.0,128960.0,132075.0,132565.0,129600.0,132300.0
Morocco,production,copper_mine,,6528.0,5357.0,4994.0,4818.0,2900.0,3200.0,4600.0,5592.0,5929.0,11830.0
Namibia,production,copper_mine,,5070.0,15003.0,18040.0,16175.0,11174.0,10157.0,6262.0,5800.0,8800.0,0.0
North Macedonia,production,copper_mine,,8886.0,5253.0,4739.0,618.0,0.0,4799.0,7054.0,7029.0,8051.0,7440.0
Oman,production,copper_mine,,,,,0.0,0.0,0.0,0.0,7395.0,14826.0,15563.0
Pakistan,production,copper_mine,,0.0,0.0,0.0,5400.0,14700.0,17700.0,18700.0,18800.0,18700.0,19600.0
Papua New Guinea,production,copper_mine,,203061.0,203762.0,211315.0,202300.0,173370.0,192978.0,194355.0,169184.0,159650.0,166669.0
Peru,production,copper_mine,,553924.0,722035.0,842783.0,842578.0,1035574.0,1009898.0,1048472.0,1190274.0,1267867.0,1276249.0
Philippines,production,copper_mine,,31900.0,20321.0,18365.0,20414.0,15984.0,16320.0,17161.0,22862.0,21235.0,49060.0
Poland,production,copper_mine,,454100.0,474000.0,502800.0,503544.0,530768.0,511799.0,497200.0,451900.0,429687.0,439365.0
Portugal,production,copper_mine,,76300.0,82965.0,77227.0,77581.0,95700.0,89541.0,78660.0,90247.0,89026.0,86462.0
Romania,production,copper_mine,,16099.0,19185.0,19323.0,23389.0,20380.0,16286.0,12535.0,2213.0,308.0,3129.0
Russia,production,copper_mine,,530000.0,540000.0,662100.0,650000.0,630000.0,640000.0,675000.0,690000.0,705000.0,675700.0
Saudi Arabia,production,copper_mine,,837.0,1000.0,600.0,627.0,652.0,668.0,730.0,737.0,1465.0,1719.0
Serbia,production,copper_mine,,,,0.0,0.0,0.0,0.0,11100.0,16500.0,17600.0,19400.0
Serbia and Montenegro,production,copper_mine,,46000.0,31000.0,23100.0,15500.0,13800.0,11600.0,,,,
Slovakia,production,copper_mine,,,,,,,,,,,14.0
South Africa,production,copper_mine,,147600.0,141900.0,90000.0,89338.0,85710.0,88600.0,89500.0,97000.0,108700.0,107600.0
