Country,Activity,Commodity,Sub-commodity,2020
Albania,production,copper_mine,,3070.0
Argentina,production,copper_mine,,0.0
Armenia,production,copper_mine,,90154.0
Australia,production,copper_mine,,879522.0
Azerbaijan,production,copper_mine,,2591.0
Bolivia,production,copper_mine,,2822.0
Botswana,production,copper_mine,,0.0
Brazil,production,copper_mine,,352600.0
Bulgaria,production,copper_mine,,72500.0
Burma,production,copper_mine,,186000.0
Canada,production,copper_mine,,584608.0
Chile,production,copper_mine,,5733100.0
China,production,copper_mine,,1723100.0
Colombia,production,copper_mine,,9356.0
"Congo, Democratic Republic",production,copper_mine,,1587459.0
Cyprus,production,copper_mine,,0.0
Dominican Republic,production,copper_mine,,2193.0
Ecuador,production,copper_mine,,2170.0
Eritrea,production,copper_mine,,21725.0
Finland,production,copper_mine,,35494.0
Georgia,production,copper_mine,,10036.0
India,production,copper_mine,,22800.0
Indonesia,production,copper_mine,,507000.0
Iran,production,copper_mine,,315000.0
Kazakhstan,production,copper_mine,,551800.0
"Korea, Dem. P.R. of",production,copper_mine,,2000.0
Kyrgyzstan,production,copper_mine,,5100.0
Laos,production,copper_mine,,91300.0
Mauritania,production,copper_mine,,28491.0
Mexico,production,copper_mine,,732863.0
Mongolia,production,copper_mine,,290900.0
Morocco,production,copper_mine,,34000.0
Namibia,production,copper_mine,,10853.0
North Macedonia,production,copper_mine,,12582.0
Pakistan,production,copper_mine,,13200.0
Panama,production,copper_mine,,205548.0
Papua New Guinea,production,copper_mine,,82500.0
Peru,production,copper_mine,,2150126.0
Philippines,production,copper_mine,,60856.0
Poland,production,copper_mine,,442000.0
Portugal,production,copper_mine,,32032.0
Romania,production,copper_mine,,9100.0
Russia,production,copper_mine,,924100.0
Saudi Arabia,production,copper_mine,,75400.0
Serbia,production,copper_mine,,52000.0
Slovakia,production,copper_mine,,20.0
South Africa,production,copper_mine,,29068.0
Spain,production,copper_mine,,179814.0
Sweden,production,copper_mine,,100065.0
Tajikistan,production,copper_mine,,0.0
Tanzania,production,copper_mine,,12000.0
Turkey,production,copper_mine,,107000.0
USA,production,copper_mine,,1200000.0
Uzbekistan,production,copper_mine,,142800.0
Vietnam,production,copper_mine,,37994.0
Zambia,production,copper_mine,,869061.0
Zimbabwe,production,copper_mine,,7900.0
