Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Albania,production,copper_refined,,10900.0,4400.0,1200.0,,,,,,,
Argentina,production,copper_refined,,15000.0,15000.0,16000.0,15000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0
Australia,production,copper_refined,,274000.0,272000.0,316000.0,334000.0,356000.0,290000.0,335000.0,301000.0,304000.0,437000.0
Austria,production,copper_refined,,49703.0,52837.0,54680.0,53036.0,51590.0,53408.0,69120.0,74093.0,74786.0,74075.0
Belgium,production,copper_refined,,331857.0,297593.0,367300.0,378890.0,375200.0,376000.0,386000.0,373000.0,368000.0,388000.0
Brazil,production,copper_refined,,152117.0,141443.0,156775.0,161102.0,170073.0,164996.0,172075.0,177060.0,167205.0,193014.0
Bulgaria,production,copper_refined,,24333.0,27700.0,18008.0,26347.0,26482.0,25468.0,22300.0,34500.0,32100.0,21000.0
Burma,production,copper_refined,,,,,,,0.0,0.0,0.0,9730.0,27853.0
Canada,production,copper_refined,,515835.0,538339.0,539302.0,561580.0,549869.0,572616.0,559200.0,560582.0,562261.0,548563.0
Chile,production,copper_refined,,1191600.0,1228300.0,1242300.0,1268200.0,1277400.0,1491500.0,1748200.0,2116600.0,2334900.0,2666400.0
China,production,copper_refined,,558000.0,560000.0,659200.0,730332.0,736106.0,1079700.0,1120500.0,1179400.0,1211300.0,1174200.0
"Congo, Democratic Republic",production,copper_refined,,,,57200.0,40000.0,29300.0,33088.0,42200.0,39600.0,35000.0,29000.0
Cyprus,production,copper_refined,,,,,,,0.0,1688.0,4045.0,4920.0,5260.0
Czechoslovakia,production,copper_refined,,24606.0,25273.0,25000.0,,,,,,,
Egypt,production,copper_refined,,4000.0,4000.0,4000.0,,,,,,,
Finland,production,copper_refined,,69030.0,64908.0,71352.0,73373.0,69187.0,73665.0,110715.0,116328.0,122894.0,114700.0
France,production,copper_refined,,44034.0,43570.0,43200.0,44120.0,41730.0,42500.0,39100.0,35600.0,22400.0,2000.0
German Democratic Rep,production,copper_refined,,55700.0,,,,,,,,,
German Federal Republic,production,copper_refined,,476200.0,,,,,,,,,
Germany,production,copper_refined,,,521500.0,581400.0,631900.0,591860.0,616390.0,670800.0,673712.0,695869.0,695626.0
Hungary,production,copper_refined,,12817.0,9341.0,4100.0,,,,,,,
India,production,copper_refined,,46400.0,47222.0,45255.0,36815.0,49034.0,39569.0,39303.0,65900.0,134000.0,226999.0
Indonesia,production,copper_refined,,,,,,,0.0,0.0,0.0,0.0,90800.0
Iran,production,copper_refined,,47800.0,79700.0,101800.0,101479.0,133149.0,121631.0,135340.0,138406.0,150048.0,154232.0
Italy,production,copper_refined,,83000.0,83400.0,76000.0,90300.0,84000.0,98000.0,85800.0,85700.0,29100.0,28500.0
Japan,production,copper_refined,,1007976.0,1076283.0,1160859.0,1188776.0,1119168.0,1187959.0,1251373.0,1278699.0,1277352.0,1341549.0
Kazakhstan,production,copper_refined,,,,340000.0,317485.0,278461.0,255559.0,267144.0,301056.0,324763.0,361890.0
Korea (Rep. of),production,copper_refined,,192196.0,200763.0,209757.0,219519.0,221977.0,233171.0,244434.0,263000.0,373211.0,448034.0
"Korea, Dem. P.R. of",production,copper_refined,,30000.0,30000.0,28000.0,20000.0,30000.0,10000.0,10000.0,10000.0,10000.0,15000.0
Mexico,production,copper_refined,,157108.0,171866.0,203006.0,124531.0,228500.0,258200.0,240500.0,300500.0,356800.0,344200.0
Norway,production,copper_refined,,33514.0,38447.0,39259.0,37206.0,39415.0,34332.0,33937.0,32900.0,31700.0,33300.0
Oman,production,copper_refined,,12015.0,11413.0,11383.0,20500.0,24200.0,21300.0,20420.0,23635.0,24360.0,17171.0
Peru,production,copper_refined,,181790.0,246198.0,251141.0,259700.0,265413.0,295143.0,338061.0,395073.0,411429.0,436339.0
Philippines,production,copper_refined,,125938.0,115471.0,145674.0,165954.0,154713.0,158109.0,155800.0,146600.0,152400.0,148000.0
Poland,production,copper_refined,,346000.0,378500.0,387010.0,404170.0,405093.0,405700.0,424708.0,440644.0,446837.0,470494.0
Romania,production,copper_refined,,24700.0,25700.0,26500.0,25000.0,22113.0,22013.0,28323.0,22912.0,21008.0,20983.0
Russia,production,copper_refined,,,,575400.0,562200.0,500000.0,550000.0,599000.0,639900.0,655900.0,780000.0
Serbia and Montenegro,production,copper_refined,,,,114763.0,51000.0,72100.0,78451.0,104000.0,113534.0,94396.0,49902.0
Slovakia,production,copper_refined,,,,0.0,23200.0,23000.0,21400.0,28100.0,30300.0,19900.0,1988.0
South Africa,production,copper_refined,,133000.0,127200.0,120100.0,127900.0,129600.0,131700.0,116000.0,126500.0,123100.0,116400.0
Soviet Union,production,copper_refined,,1160000.0,1040000.0,,,,,,,,
Spain,production,copper_refined,,170567.0,189850.0,179117.0,179230.0,188307.0,164213.0,263989.0,292000.0,303076.0,304617.0
Sweden,production,copper_refined,,97278.0,96554.0,101634.0,102231.0,102819.0,110939.0,126379.0,128414.0,125355.0,113960.0
Taiwan,production,copper_refined,,16090.0,0.0,,,,,,,,
Turkey,production,copper_refined,,85200.0,80700.0,100100.0,92700.0,82700.0,100300.0,100712.0,114600.0,91900.0,60500.0
USA,production,copper_refined,,2017390.0,1995194.0,2143815.0,2252487.0,2230000.0,2279900.0,2352400.0,2465400.0,2489200.0,2118700.0
Ukraine,production,copper_refined,,,,,,,,,,,0.0
United Kingdom,production,copper_refined,,121634.0,70060.0,42067.0,46578.0,46664.0,51867.0,56615.0,60402.0,53774.0,50334.0
Uzbekistan,production,copper_refined,,,,70000.0,65000.0,90000.0,95000.0,100000.0,115000.0,89900.0,72000.0
Yugoslavia,production,copper_refined,,151395.0,122200.0,,,,,,,,
Zaire,production,copper_refined,,173175.0,120000.0,,,,,,,,
Zambia,production,copper_refined,,426243.0,394900.0,441554.0,403448.0,360384.0,307181.0,317066.0,333200.0,302600.0,268400.0
Zimbabwe,production,copper_refined,,24400.0,23800.0,22400.0,18900.0,18200.0,24000.0,22000.0,16100.0,10000.0,14500.0
