Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Albania,production,copper_smelter,,11500.0,10000.0,12000.0,12000.0,12600.0,11000.0,13000.0,13000.0,14000.0,15600.0
Australia,production,copper_smelter,,174920.0,172181.0,175536.0,173619.0,179822.0,167669.0,169622.0,172873.0,177669.0,203000.0
Belgium,production,copper_smelter,,700.0,3100.0,2500.0,2800.0,500.0,900.0,900.0,100.0,200.0,0.0
Brazil,production,copper_smelter,,0.0,0.0,4812.0,63083.0,61334.0,93880.0,115990.0,146969.0,147880.0,153378.0
Bulgaria,production,copper_smelter,,59000.0,62000.0,62000.0,60000.0,70000.0,50000.0,60000.0,49800.0,57400.0,59200.0
Canada,production,copper_smelter,,492700.0,479000.0,380798.0,405723.0,469977.0,489649.0,450219.0,473979.0,478321.0,462324.0
Chile,production,copper_smelter,,953100.0,953800.0,1046800.0,1058900.0,1098300.0,1088500.0,1123900.0,1106900.0,1189400.0,1266600.0
China,production,copper_smelter,,175000.0,190000.0,205000.0,195000.0,220000.0,265000.0,350000.0,417000.0,425000.0,557000.0
Czechoslovakia,production,copper_smelter,,30966.0,30180.0,30317.0,33019.0,33000.0,33400.0,31686.0,34415.0,34792.0,36832.0
Finland,production,copper_smelter,,47846.0,54747.0,66333.0,74455.0,83266.0,71285.0,90085.0,101955.0,95745.0,99147.0
German Democratic Rep,production,copper_smelter,,16000.0,16000.0,17000.0,17000.0,14000.0,63500.0,23800.0,23300.0,22700.0,20100.0
German Federal Republic,production,copper_smelter,,153900.0,163100.0,161800.0,159100.0,148800.0,152400.0,161900.0,168900.0,162500.0,176900.0
Hungary,production,copper_smelter,,2069.0,2351.0,2639.0,2765.0,3050.0,3318.0,3552.0,3524.0,3593.0,4287.0
India,production,copper_smelter,,28489.0,25856.0,32585.0,33992.0,40400.0,33557.0,39291.0,32923.0,44284.0,42456.0
Iran,production,copper_smelter,,,,18000.0,8500.0,47900.0,40000.0,50000.0,40000.0,52000.0,76000.0
Japan,production,copper_smelter,,929300.0,980100.0,1046300.0,1061929.0,928974.0,932560.0,962128.0,980191.0,994045.0,1005534.0
Korea (Rep. of),production,copper_smelter,,64100.0,108200.0,119400.0,124000.0,100200.0,112700.0,123200.0,143800.0,123500.0,159600.0
"Korea, Dem. P.R. of",production,copper_smelter,,23000.0,24000.0,30000.0,30000.0,25000.0,30000.0,30000.0,30000.0,29000.0,30000.0
Mexico,production,copper_smelter,,85610.0,69199.0,77373.0,91994.0,80304.0,75758.0,84978.0,133850.0,166631.0,183356.0
Namibia,production,copper_smelter,,40000.0,39700.0,49500.0,54200.0,48600.0,47611.0,50145.0,37653.0,42163.0,37978.0
Norway,production,copper_smelter,,33690.0,31951.0,24358.0,25658.0,36821.0,37828.0,35202.0,30101.0,31730.0,34980.0
Oman,production,copper_smelter,,,,,,21300.0,18800.0,19600.0,20600.0,21700.0,19600.0
Peru,production,copper_smelter,,348600.0,302300.0,323200.0,295900.0,331136.0,354021.0,313700.0,311800.0,239151.0,309348.0
Philippines,production,copper_smelter,,,,0.0,57600.0,109200.0,133826.0,143678.0,164476.0,159218.0,156268.0
Poland,production,copper_smelter,,367000.0,326000.0,360000.0,357000.0,365000.0,380000.0,366400.0,367300.0,469560.0,460519.0
Portugal,production,copper_smelter,,3200.0,3200.0,1300.0,400.0,1300.0,1000.0,1000.0,200.0,,
Romania,production,copper_smelter,,40675.0,39450.0,40000.0,40200.0,38000.0,39871.0,40977.0,37970.0,38697.0,39397.0
South Africa,production,copper_smelter,,185800.0,185400.0,191800.0,192300.0,180800.0,168400.0,184000.0,189800.0,180600.0,184800.0
Soviet Union,production,copper_smelter,,1130000.0,1150000.0,1130000.0,1120000.0,1120000.0,1140000.0,1155000.0,1140000.0,1110000.0,1075000.0
Spain,production,copper_smelter,,103058.0,107900.0,109000.0,84000.0,88200.0,88000.0,103500.0,104700.0,115000.0,120000.0
Sweden,production,copper_smelter,,45749.0,60576.0,72504.0,78756.0,79775.0,74668.0,83358.0,92909.0,93653.0,69977.0
Taiwan,production,copper_smelter,,17000.0,53100.0,47500.0,37900.0,61700.0,60600.0,63800.0,61500.0,56400.0,61900.0
Turkey,production,copper_smelter,,16320.0,27263.0,25683.0,19113.0,32023.0,33884.0,35466.0,19247.0,12910.0,21129.0
USA,production,copper_smelter,,1008397.0,1316756.0,975695.0,927739.0,1014124.0,940681.0,908087.0,972141.0,1042961.0,1120445.0
Yugoslavia,production,copper_smelter,,93745.0,92505.0,84013.0,86833.0,84657.0,137073.0,127236.0,103399.0,106457.0,101606.0
Zaire,production,copper_smelter,,428071.0,471224.0,469406.0,468658.0,465549.0,471536.0,476000.0,472303.0,439500.0,424500.0
Zambia,production,copper_smelter,,601348.0,560616.0,584790.0,562722.0,531945.0,544176.0,514090.0,523226.0,466756.0,485199.0
Zimbabwe,production,copper_smelter,,26300.0,30100.0,30500.0,31200.0,24200.0,24400.0,29600.0,30000.0,27500.0,23100.0
