Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,production,diamond,,8362139.0,8328519.0,8330996.0,8601696.0,8791340.0,9018942.0,9021767.0,9438802.0,8408688.0,9149746.0
Australia,production,diamond,,9997752.0,7561487.0,8625996.0,11481749.0,9288118.0,13560795.0,13958000.0,17135000.0,14008054.0,12154544.0
Botswana,production,diamond,,22019000.0,22903000.0,20478000.0,22597000.0,24658000.0,20824000.0,20954000.0,22900000.0,27373000.0,23687000.0
Brazil,production,diamond,,25394.0,45536.0,46292.0,49166.0,56923.0,31826.0,183500.0,254896.0,250940.0,165992.0
Cameroon,production,diamond,,6000.0,6000.0,5000.0,5000.0,6000.0,4500.0,3000.0,3500.0,3600.0,3500.0
Canada,production,diamond,,11773000.0,10795000.0,10529215.0,10561600.0,12082000.0,11677472.0,11103500.0,23198761.0,22789001.0,18491388.0
Central African Republic,production,diamond,,301558.0,323576.0,365917.0,,,,10654.0,47637.0,13572.0,26235.0
China,production,diamond,,17227.0,201.0,1855.0,1050.0,0.0,0.0,127.0,230.0,99.0,51.0
Congo,production,diamond,,381242.0,76548.0,51588.0,56495.0,53163.0,40057.0,12107.0,46758.0,47579.0,2963.0
"Congo, Democratic Republic",production,diamond,,16964000.0,19249057.0,19154000.0,16653000.0,14689000.0,14284000.0,15523000.0,18891800.0,15131210.0,13469699.0
Gabon,production,diamond,,,,,,,,,,,
Ghana,production,diamond,,308679.0,283369.0,215118.0,159074.0,241235.0,174364.0,143005.0,86925.0,57531.0,33789.0
Guinea,production,diamond,,374096.0,235400.0,266800.0,202365.0,164059.0,166880.0,112796.0,181450.0,292707.0,229180.0
Guyana,production,diamond,,49920.0,52273.0,40763.0,63961.0,99950.0,118451.0,139890.0,52161.0,62111.0,54993.0
India,production,diamond,,11222.0,18490.0,31988.0,37517.0,36107.0,36044.0,36491.0,39699.0,38437.0,28816.0
Ivory Coast,production,diamond,,0.0,0.0,0.0,0.0,1074.0,14925.0,20235.0,7361.0,5678.0,3990.0
Lesotho,production,diamond,,108827.0,224180.0,478926.0,414013.0,346017.0,304232.0,342014.0,1126409.0,1294283.0,1113526.0
Liberia,production,diamond,,22018.0,39866.0,34271.0,47819.0,74882.0,65996.0,60367.0,60636.0,75554.0,55936.0
Namibia,production,diamond,,1521625.0,1344932.0,1665684.0,1776260.0,1897872.0,1774509.0,1584168.0,1815709.0,2091781.0,1745281.0
Russia,production,diamond,,34856600.0,35139800.0,34927650.0,37884140.0,38303500.0,41912390.0,40322030.0,42614780.0,43161058.0,45271212.0
Sierra Leone,production,diamond,,437552.0,355890.0,532560.0,604740.0,594422.0,1000089.0,549502.0,288260.0,739600.0,824430.0
South Africa,production,diamond,,8870967.0,7046644.0,7245403.0,8168113.0,8060373.0,8232627.0,8450758.0,9685235.0,9911460.0,7177435.0
Tanzania,production,diamond,,80498.0,40691.0,127174.0,179633.0,252875.0,216491.0,216032.0,304456.0,381302.0,416750.0
Togo,production,diamond,,96.0,71.0,456.0,24.0,23.0,46.0,0.0,2.0,0.0,16.0
Venezuela,production,diamond,,2099.0,,,,,,,,,
Zimbabwe,production,diamond,,8435224.0,8502648.0,12060163.0,10411818.0,4771637.0,3490881.0,2102873.0,2507862.0,3252418.0,2119189.0
