Country,Activity,Commodity,Sub-commodity,2020
Angola,production,diamond,,7734281.0
Australia,production,diamond,,9980000.0
Botswana,production,diamond,,16868000.0
Brazil,production,diamond,,124548.0
Cameroon,production,diamond,,4200.0
Canada,production,diamond,,15035711.0
Central African Republic,production,diamond,,55926.0
China,production,diamond,,21.0
Congo,production,diamond,,11157.0
"Congo, Democratic Republic",production,diamond,,10782600.0
Ghana,production,diamond,,25292.0
Guinea,production,diamond,,128575.0
Guyana,production,diamond,,19240.0
India,production,diamond,,13917.0
Ivory Coast,production,diamond,,4015.0
Lesotho,production,diamond,,481243.0
Liberia,production,diamond,,54599.0
Namibia,production,diamond,,1484290.0
Russia,production,diamond,,31186551.0
Sierra Leone,production,diamond,,669000.0
South Africa,production,diamond,,8478398.0
Tanzania,production,diamond,,147191.0
Togo,production,diamond,,0.0
Zimbabwe,production,diamond,,2670458.0
