Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Algeria,production,diatomite,,4620.0,3629.0,2671.0,3471.0,2845.0,3294.0,3173.0,2332.0,2133.0,2563.0
Argentina,production,diatomite,,4254.0,6132.0,5363.0,3096.0,6260.0,4938.0,8647.0,9449.0,25430.0,34056.0
Australia,production,diatomite,,10000.0,11000.0,11000.0,11000.0,11000.0,13361.0,12966.0,12643.0,14433.0,25330.0
Brazil,production,diatomite,,18565.0,13566.0,15691.0,27298.0,21809.0,17074.0,15189.0,14215.0,13557.0,9223.0
Canada,production,diatomite,,4000.0,2500.0,1800.0,600.0,1000.0,1000.0,1000.0,1000.0,1000.0,
Chile,production,diatomite,,3877.0,5557.0,5897.0,5774.0,10129.0,11451.0,11592.0,11825.0,14868.0,14477.0
China,production,diatomite,,,,,,,,,,114600.0,82170.0
Colombia,production,diatomite,,3100.0,3890.0,4356.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
Costa Rica,production,diatomite,,6000.0,7100.0,7500.0,7300.0,500.0,500.0,900.0,500.0,16255.0,18000.0
Czech Republic,production,diatomite,,,,0.0,39000.0,40000.0,29000.0,35000.0,42000.0,7000.0,7400.0
Denmark,production,diatomite,Moler                                             ,97000.0,95000.0,95000.0,95000.0,143000.0,156000.0,152000.0,207000.0,213000.0,164000.0
Denmark,production,diatomite,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,
France,production,diatomite,,250000.0,90000.0,90000.0,85000.0,90000.0,90000.0,80000.0,80000.0,80000.0,80000.0
German Federal Republic,production,diatomite,,49800.0,,,,,,,,,
Germany,production,diatomite,,,44300.0,51721.0,51745.0,42646.0,43021.0,47728.0,50475.0,,
Hungary,production,diatomite,,,,,,,,2990.0,2885.0,2368.0,1240.0
Iceland,production,diatomite,,24856.0,23016.0,19946.0,17743.0,25197.0,28142.0,25607.0,27482.0,25734.0,28299.0
Iran,production,diatomite,,,,,,,,,,600.0,4350.0
Italy,production,diatomite,,25000.0,23000.0,26000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
Japan,production,diatomite,,,,,,183779.0,176956.0,194115.0,158622.0,136399.0,132090.0
Kenya,production,diatomite,,750.0,2395.0,2142.0,829.0,592.0,577.0,415.0,297.0,468.0,507.0
Korea (Rep. of),production,diatomite,,55445.0,91126.0,76775.0,67324.0,82738.0,81303.0,69543.0,53538.0,37649.0,30222.0
Mexico,production,diatomite,,51084.0,45966.0,46443.0,46077.0,52100.0,50200.0,52200.0,59463.0,66812.0,65146.0
North Macedonia,production,diatomite,,,,,,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Peru,production,diatomite,,20000.0,25500.0,25000.0,35100.0,35100.0,35100.0,35100.0,35100.0,35100.0,35000.0
Poland,production,diatomite,,,,1700.0,1500.0,2700.0,2200.0,1700.0,1200.0,1530.0,1240.0
Portugal,production,diatomite,,2270.0,2410.0,1850.0,1860.0,2150.0,1780.0,1550.0,1540.0,2265.0,772.0
Romania,production,diatomite,,40000.0,30000.0,14530.0,9972.0,34858.0,49790.0,56906.0,23880.0,34600.0,11592.0
Saudi Arabia,production,diatomite,,,,,,,,,,1000.0,1000.0
South Africa,production,diatomite,,2798.0,2352.0,576.0,,,,,,,
Soviet Union,production,diatomite,,250000.0,220000.0,190000.0,150000.0,120000.0,110000.0,100000.0,90000.0,80000.0,80000.0
Spain,production,diatomite,,108000.0,60000.0,40659.0,66302.0,34248.0,44623.0,39115.0,43207.0,57105.0,51897.0
Thailand,production,diatomite,,4593.0,7328.0,10425.0,8290.0,5874.0,5591.0,1576.0,91.0,912.0,2332.0
Turkey,production,diatomite,,,,,,,,,1000.0,3643.0,5926.0
USA,production,diatomite,,631000.0,610000.0,595000.0,649000.0,646000.0,722000.0,729000.0,773000.0,725000.0,747000.0
United Kingdom,production,diatomite,,240.0,220.0,120.0,220.0,180.0,0.0,0.0,0.0,0.0,
Yugoslavia,production,diatomite,,6119.0,4000.0,,,,,,,,
