Country,Activity,Commodity,Sub-commodity,2020
Algeria,production,diatomite,,2500.0
Argentina,production,diatomite,,98575.0
Armenia,production,diatomite,,20000.0
Australia,production,diatomite,,10.0
Brazil,production,diatomite,,16000.0
Chile,production,diatomite,,21477.0
China,production,diatomite,,150000.0
Costa Rica,production,diatomite,,3763.0
Czech Republic,production,diatomite,,46000.0
Denmark,production,diatomite,Moler                                             ,115000.0
Ethiopia,production,diatomite,,5000.0
France,production,diatomite,,90000.0
Germany,production,diatomite,,51511.0
Hungary,production,diatomite,,850.0
Iran,production,diatomite,,0.0
Japan,production,diatomite,,40000.0
Kenya,production,diatomite,,928.0
Korea (Rep. of),production,diatomite,,65240.0
Mexico,production,diatomite,,144102.0
Mozambique,production,diatomite,,70000.0
New Zealand,production,diatomite,,44000.0
Peru,production,diatomite,,85406.0
Poland,production,diatomite,,810.0
Russia,production,diatomite,,51000.0
Spain,production,diatomite,,59250.0
Turkey,production,diatomite,,100327.0
USA,production,diatomite,,770000.0
