Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Argentina,production,feldspar,,29536.0,36726.0,62187.0,30420.0,56953.0,63845.0,68224.0,42921.0,41824.0,33550.0
Australia,production,feldspar,,3535.0,3253.0,3133.0,2804.0,4145.0,3054.0,4519.0,1877.0,3185.0,3869.0
Austria,production,feldspar,,1206.0,2656.0,3076.0,2050.0,0.0,0.0,3800.0,3645.0,2886.0,6594.0
Brazil,production,feldspar,,43088.0,44669.0,67373.0,90581.0,97292.0,66376.0,84134.0,96187.0,103597.0,369949.0
Burma,production,feldspar,,812.0,695.0,914.0,311.0,660.0,864.0,1709.0,2091.0,1438.0,3007.0
Canada,production,feldspar,,9667.0,9774.0,,,,,,,,
Chile,production,feldspar,,3600.0,900.0,2196.0,530.0,2806.0,3414.0,823.0,2452.0,903.0,133.0
Colombia,production,feldspar,,23152.0,24836.0,28619.0,30000.0,28700.0,30000.0,30000.0,26508.0,26455.0,29200.0
Egypt,production,feldspar,,1787.0,3171.0,3234.0,3033.0,2228.0,850.0,2128.0,2526.0,1433.0,3271.0
Finland,production,feldspar,,62126.0,64062.0,59858.0,58318.0,63557.0,68577.0,71559.0,63896.0,61893.0,71297.0
France,production,feldspar,,236000.0,192000.0,147000.0,237360.0,105562.0,192001.0,201855.0,192000.0,211000.0,195000.0
German Federal Republic,production,feldspar,,408809.0,353693.0,349446.0,355791.0,374844.0,395883.0,419976.0,393793.0,385590.0,372754.0
Guatemala,production,feldspar,,,,,,,,,,,11951.0
Hong Kong,production,feldspar,,1621.0,1145.0,1149.0,1340.0,5566.0,2059.0,2299.0,3378.0,3157.0,742.0
India,production,feldspar,,29625.0,44236.0,52801.0,42802.0,54496.0,42572.0,55307.0,54710.0,51675.0,54264.0
Iran,production,feldspar,,,,,,,,,,,3000.0
Italy,production,feldspar,,194673.0,212068.0,190366.0,191441.0,241577.0,185209.0,182605.0,213593.0,251083.0,294648.0
Japan,production,feldspar,,58381.0,52474.0,62335.0,48728.0,551921.0,360466.0,393698.0,365445.0,415950.0,441285.0
Kenya,production,feldspar,,895.0,2650.0,1962.0,1461.0,2842.0,1616.0,1115.0,1869.0,949.0,868.0
Korea (Rep. of),production,feldspar,,28021.0,16887.0,14689.0,28460.0,24617.0,20138.0,26208.0,49374.0,69200.0,36238.0
Mexico,production,feldspar,,82823.0,99342.0,98363.0,97107.0,185304.0,143808.0,73239.0,114319.0,109808.0,110869.0
Mozambique,production,feldspar,,,,295.0,830.0,840.0,850.0,850.0,900.0,900.0,
Nigeria,production,feldspar,,,,4318.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Norway,production,feldspar,,152145.0,202783.0,221696.0,256707.0,168116.0,44957.0,37690.0,70799.0,59522.0,87888.0
Pakistan,production,feldspar,,138.0,305.0,240.0,1192.0,3396.0,2636.0,2795.0,3951.0,4833.0,14703.0
Peru,production,feldspar,,2863.0,1435.0,1931.0,2485.0,4088.0,3905.0,4000.0,2184.0,2461.0,2176.0
Philippines,production,feldspar,,20616.0,39358.0,46061.0,24998.0,10245.0,3907.0,15240.0,16073.0,18073.0,19064.0
Poland,production,feldspar,,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,113436.0,114530.0,106977.0,88367.0
Portugal,production,feldspar,,30809.0,18771.0,18011.0,24018.0,29900.0,16374.0,13323.0,15246.0,21582.0,38315.0
Romania,production,feldspar,,,,,,58200.0,58000.0,58000.0,60000.0,60000.0,60000.0
South Africa,production,feldspar,,18896.0,12240.0,25322.0,31692.0,39540.0,30354.0,46138.0,51230.0,52545.0,47416.0
Soviet Union,production,feldspar,,249000.0,249000.0,260000.0,270000.0,275000.0,280000.0,280000.0,290000.0,300000.0,310000.0
Spain,production,feldspar,,55084.0,61732.0,62987.0,58575.0,72296.0,86275.0,90964.0,93222.0,116283.0,115685.0
Sri Lanka,production,feldspar,,1293.0,248.0,579.0,625.0,779.0,1270.0,3198.0,3679.0,3160.0,3790.0
Sweden,production,feldspar,,31900.0,27706.0,34091.0,27955.0,31964.0,44742.0,44746.0,52167.0,53845.0,58655.0
Taiwan,production,feldspar,,,,,,,,12567.0,16219.0,15757.0,24403.0
Thailand,production,feldspar,,0.0,0.0,1500.0,4510.0,6998.0,13025.0,12257.0,17619.0,32583.0,26428.0
Turkey,production,feldspar,,,,,,0.0,0.0,57800.0,0.0,2691.0,6669.0
USA,production,feldspar,,658674.0,673868.0,676952.0,718400.0,691931.0,607721.0,671030.0,665900.0,666800.0,671000.0
United Kingdom,production,feldspar,,33667.0,62861.0,53151.0,48815.0,,,,,,
Uruguay,production,feldspar,,1105.0,1208.0,971.0,205.0,1757.0,1759.0,1145.0,1625.0,2572.0,3886.0
Venezuela,production,feldspar,,,,,,,,28000.0,52000.0,6000.0,37000.0
Yugoslavia,production,feldspar,,49504.0,53617.0,35000.0,48000.0,50000.0,52000.0,52000.0,56146.0,48013.0,56160.0
Zambia,production,feldspar,,,,,12.0,1256.0,851.0,517.0,832.0,789.0,91.0
Zimbabwe,production,feldspar,,,,,,,1499.0,3029.0,896.0,726.0,1085.0
