Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Albania,production,ferro-alloys,Ferro-chrome,3500.0,28000.0,30000.0,35000.0,40000.0,11900.0,46000.0,46000.0,38700.0,38800.0
Argentina,production,ferro-alloys,Ferro-manganese,20479.0,25451.0,30586.0,28724.0,28016.0,23663.0,19782.0,21407.0,19737.0,24441.0
Argentina,production,ferro-alloys,Ferro-silico-manganese,11875.0,12780.0,15679.0,13523.0,13336.0,7493.0,12977.0,11746.0,11610.0,21160.0
Argentina,production,ferro-alloys,Ferro-silicon,11953.0,9932.0,8850.0,12296.0,16884.0,18790.0,22979.0,23998.0,30539.0,35667.0
Argentina,production,ferro-alloys,Other ferro-alloys,2084.0,1523.0,2089.0,4005.0,5217.0,4892.0,5272.0,6790.0,5952.0,5805.0
Argentina,production,ferro-alloys,Silicon metal,,,,,5000.0,5000.0,5000.0,13900.0,15800.0,10000.0
Australia,production,ferro-alloys,Ferro-manganese,94146.0,67563.0,54717.0,53463.0,70883.0,69000.0,61000.0,51000.0,58000.0,67000.0
Australia,production,ferro-alloys,Ferro-silico-manganese,18376.0,29916.0,29548.0,19810.0,31795.0,27000.0,23000.0,43000.0,44000.0,55000.0
Australia,production,ferro-alloys,Ferro-silicon,18435.0,18313.0,19678.0,18669.0,18313.0,18700.0,19000.0,18000.0,18000.0,20000.0
Australia,production,ferro-alloys,Silicon metal,,,,,,,,,8000.0,9000.0
Austria,production,ferro-alloys,Ferro-alloys,10000.0,12000.0,14000.0,14000.0,13000.0,13000.0,12000.0,15000.0,20000.0,15000.0
Belgium,production,ferro-alloys,Ferro-manganese,85000.0,90000.0,90000.0,87000.0,95000.0,90000.0,87000.0,90000.0,95000.0,95000.0
Brazil,production,ferro-alloys,Ferro-calcium-silicon,8025.0,7481.0,9657.0,7400.0,17755.0,22179.0,23715.0,25673.0,31519.0,33020.0
Brazil,production,ferro-alloys,Ferro-chrome,93443.0,118781.0,96646.0,77326.0,125125.0,127288.0,109392.0,105394.0,130024.0,113267.0
Brazil,production,ferro-alloys,Ferro-manganese,140496.0,107872.0,122898.0,103271.0,106459.0,134835.0,164093.0,155252.0,180588.0,180668.0
Brazil,production,ferro-alloys,Ferro-molybdenum,802.0,797.0,337.0,126.0,437.0,509.0,511.0,422.0,427.0,332.0
Brazil,production,ferro-alloys,Ferro-nickel,11280.0,10744.0,10597.0,30012.0,33661.0,33467.0,34296.0,35496.0,33930.0,34997.0
Brazil,production,ferro-alloys,Ferro-niobium,17530.0,14632.0,11506.0,9665.0,16522.0,17676.0,17391.0,10880.0,19106.0,16378.0
Brazil,production,ferro-alloys,Ferro-phosphorus,,346.0,1122.0,1211.0,926.0,1310.0,1496.0,1784.0,1469.0,1928.0
Brazil,production,ferro-alloys,Ferro-silico-chrome,8086.0,8654.0,2598.0,5526.0,7628.0,8875.0,9512.0,8079.0,9177.0,8938.0
Brazil,production,ferro-alloys,Ferro-silico-magnesium,13734.0,11001.0,11186.0,10711.0,15429.0,14876.0,13053.0,17575.0,17000.0,15864.0
Brazil,production,ferro-alloys,Ferro-silico-manganese,134243.0,142743.0,162643.0,178266.0,185631.0,180271.0,177568.0,188022.0,193490.0,208262.0
