Country,Activity,Commodity,Sub-commodity,2020
Albania,production,ferro-alloys,Ferro-chrome                                      ,53543.0
Argentina,production,ferro-alloys,Ferro-silico-manganese                            ,10000.0
Argentina,production,ferro-alloys,Ferro-silicon                                     ,11000.0
Armenia,production,ferro-alloys,Ferro-molybdenum                                  ,6718.0
Australia,production,ferro-alloys,Ferro-manganese & ferro-silico-manganese          ,270000.0
Australia,production,ferro-alloys,Silicon metal                                     ,45000.0
Austria,production,ferro-alloys,Ferro-molybdenum                                  ,3000.0
Austria,production,ferro-alloys,Ferro-nickel                                      ,2500.0
Austria,production,ferro-alloys,Ferro-vanadium                                    ,7000.0
Bahrain,production,ferro-alloys,Ferro-silico-manganese                            ,0.0
Bhutan,production,ferro-alloys,Ferro-silicon                                     ,103500.0
Bosnia & Herzegovina,production,ferro-alloys,Ferro-alloys                                      ,14641.0
Brazil,production,ferro-alloys,Ferro-chrome                                      ,254346.0
Brazil,production,ferro-alloys,Ferro-manganese                                   ,150000.0
Brazil,production,ferro-alloys,Ferro-nickel                                      ,46000.0
Brazil,production,ferro-alloys,Ferro-niobium                                     ,60000.0
Brazil,production,ferro-alloys,Ferro-silico-magnesium                            ,20000.0
Brazil,production,ferro-alloys,Ferro-silicon                                     ,100000.0
Brazil,production,ferro-alloys,Other ferro-alloys                                ,40000.0
Brazil,production,ferro-alloys,Silicon metal                                     ,340000.0
Burma,production,ferro-alloys,Ferro-nickel                                      ,46000.0
Canada,production,ferro-alloys,Ferro-niobium                                     ,7500.0
Canada,production,ferro-alloys,Ferro-silicon                                     ,34000.0
Canada,production,ferro-alloys,Ferro-vanadium                                    ,1200.0
Canada,production,ferro-alloys,Silicon metal                                     ,25000.0
Chile,production,ferro-alloys,Ferro-molybdenum                                  ,14500.0
China,production,ferro-alloys,Ferro-alloys                                      ,36000000.0
China,production,ferro-alloys,Silicon metal                                     ,2400000.0
Colombia,production,ferro-alloys,Ferro-nickel                                      ,111000.0
Czech Republic,production,ferro-alloys,Ferro-vanadium                                    ,5600.0
Dominican Republic,production,ferro-alloys,Ferro-nickel                                      ,59211.0
Egypt,production,ferro-alloys,Ferro-silicon                                     ,60000.0
Egypt,production,ferro-alloys,Other ferro-alloys                                ,20000.0
