Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,production,fluorspar,,,,,0.0,4700.0,4108.0,4000.0,4000.0,4000.0,4000.0
Argentina,production,fluorspar,,17657.0,25099.0,35874.0,37967.0,30000.0,58556.0,14222.0,13696.0,7924.0,1500.0
Brazil,production,fluorspar,,24447.0,25040.0,24148.0,27712.0,20600.0,23623.0,18260.0,24000.0,26000.0,18000.0
Bulgaria,production,fluorspar,,10.0,31800.0,69700.0,82500.0,130800.0,146500.0,4400.0,0.0,0.0,0.0
China,production,fluorspar,,4780000.0,6550000.0,5200000.0,4800000.0,4310000.0,3820000.0,3470000.0,3700000.0,4000000.0,4300000.0
Colombia,production,fluorspar,,,,,3.0,10.0,47.0,75.0,57.0,46.0,0.0
Egypt,production,fluorspar,,5953.0,3808.0,2000.0,850.0,0.0,25902.0,1000.0,1000.0,1000.0,1000.0
Germany,production,fluorspar,,59086.0,65619.0,54202.0,48744.0,58100.0,49801.0,52552.0,45375.0,49197.0,79959.0
India,production,fluorspar,,7544.0,5010.0,3092.0,2487.0,2946.0,2333.0,1175.0,1314.0,1079.0,1315.0
Iran,production,fluorspar,,70000.0,55976.0,60000.0,56298.0,54370.0,57232.0,122427.0,36511.0,89102.0,49705.0
Kazakhstan,production,fluorspar,,66000.0,66000.0,66000.0,110000.0,100000.0,100000.0,100000.0,100000.0,100000.0,87800.0
Kenya,production,fluorspar,,40800.0,95100.0,91000.0,71987.0,97156.0,70096.0,42656.0,6945.0,0.0,0.0
"Korea, Dem. P.R. of",production,fluorspar,,12500.0,,,,5000.0,3000.0,5000.0,7000.0,7000.0,7000.0
Kyrgyzstan,production,fluorspar,,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
Mexico,production,fluorspar,,1067386.0,1206907.0,1237091.0,1210477.0,1109721.0,624574.0,655555.0,741678.0,1182058.0,1231465.0
Mongolia,production,fluorspar,,367000.0,404000.0,428900.0,161700.0,303000.0,183500.0,167700.0,108900.0,101200.0,156100.0
Morocco,production,fluorspar,,89680.0,79207.0,79300.0,81200.0,79840.0,80890.0,73920.0,75509.0,87874.0,73240.0
Namibia,production,fluorspar,,104494.0,94032.0,74157.0,65259.0,28955.0,0.0,1495.0,0.0,0.0,0.0
Pakistan,production,fluorspar,,222.0,3156.0,6866.0,13344.0,7500.0,5962.0,9494.0,2263.0,2777.0,4208.0
Russia,production,fluorspar,,67000.0,120000.0,130000.0,56200.0,8200.0,2000.0,3000.0,2700.0,6000.0,4000.0
South Africa,production,fluorspar,,157000.0,195502.0,170338.0,157776.0,180000.0,135000.0,165000.0,257000.0,242000.0,210000.0
Spain,production,fluorspar,,132341.0,117063.0,113570.0,128512.0,135293.0,157486.0,162989.0,154931.0,176188.0,145185.0
Thailand,production,fluorspar,,30487.0,5093.0,9602.0,2432.0,4590.0,15095.0,31948.0,5500.0,16700.0,17747.0
Turkey,production,fluorspar,,25189.0,4524.0,5197.0,3874.0,4271.0,6238.0,10339.0,20150.0,6200.0,14400.0
United Kingdom,production,fluorspar,,26420.0,0.0,0.0,16000.0,25000.0,12000.0,12000.0,11000.0,11000.0,14000.0
Vietnam,production,fluorspar,,4000.0,4000.0,4000.0,4000.0,90940.0,193164.0,217900.0,234905.0,238702.0,238003.0
