Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Argentina,production,gold_mine,,341.0,459.0,632.0,767.0,688.0,882.0,944.0,982.0,962.0,1150.0
Australia,production,gold_mine,,17035.0,18374.0,26961.0,30591.0,40309.0,58521.0,75079.0,110696.0,156950.0,203563.0
Bolivia,production,gold_mine,,1620.0,2064.0,1249.0,1531.0,1270.0,561.0,763.0,2806.0,4891.0,3602.0
Botswana,production,gold_mine,,0.0,10.0,15.0,11.0,18.0,13.0,25.0,32.0,21.0,67.0
Brazil,production,gold_mine,,13752.0,17276.0,25517.0,53684.0,37218.0,29673.0,23361.0,35780.0,56447.0,52378.0
Burkina Faso,production,gold_mine,,,,,0.0,700.0,1600.0,3021.0,2272.0,2761.0,4085.0
Burma,production,gold_mine,,,,,,,,,,31.0,44.0
Burundi,production,gold_mine,,4.0,3.0,3.0,11.0,35.0,25.0,31.0,30.0,30.0,19.0
Cameroon,production,gold_mine,,2.0,10.0,4.0,8.0,8.0,8.0,8.0,,,
Canada,production,gold_mine,,50620.0,52034.0,64735.0,73512.0,83446.0,87561.0,102899.0,117227.0,135889.0,159527.0
Central African Republic,production,gold_mine,,62.0,43.0,47.0,95.0,236.0,249.0,212.0,224.0,382.0,328.0
Chile,production,gold_mine,,6836.0,12456.0,16907.0,17759.0,16829.0,17240.0,17947.0,17035.0,20614.0,22559.0
China,production,gold_mine,,45000.0,50000.0,56000.0,57000.0,59000.0,60600.0,66000.0,72000.0,78000.0,90000.0
Colombia,production,gold_mine,,15877.0,16461.0,14702.0,13642.0,24880.0,35533.0,39996.0,26546.0,29020.0,29506.0
Congo,production,gold_mine,,2.0,4.0,3.0,8.0,3.0,13.0,9.0,,,
Costa Rica,production,gold_mine,,560.0,620.0,985.0,775.0,595.0,1073.0,362.0,336.0,368.0,92.0
Dominican Republic,production,gold_mine,,11496.0,12685.0,12016.0,11012.0,10522.0,10219.0,8879.0,7798.0,6335.0,5355.0
Ecuador,production,gold_mine,,70.0,73.0,1207.0,1200.0,1800.0,2400.0,9870.0,9400.0,8599.0,8155.0
El Salvador,production,gold_mine,,78.0,121.0,103.0,,,,,,,
Ethiopia,production,gold_mine,,373.0,371.0,492.0,463.0,662.0,918.0,923.0,643.0,728.0,746.0
Fiji,production,gold_mine,,774.0,956.0,1423.0,1246.0,1676.0,1888.0,2856.0,2866.0,4274.0,4222.0
Finland,production,gold_mine,,1303.0,1424.0,756.0,872.0,1046.0,996.0,501.0,708.0,594.0,1785.0
France,production,gold_mine,,1163.0,1131.0,2180.0,2744.0,2407.0,2380.0,2360.0,2225.0,2525.0,3303.0
France (French Guiana),production,gold_mine,,92.0,167.0,163.0,250.0,315.0,407.0,326.0,520.0,522.0,544.0
Gabon,production,gold_mine,,17.0,20.0,20.0,37.0,41.0,49.0,55.0,79.0,138.0,81.0
German Democratic Rep,production,gold_mine,,,,,,,2472.0,2500.0,2500.0,2500.0,2500.0
German Federal Republic,production,gold_mine,,92.0,95.0,56.0,60.0,50.0,60.0,60.0,30.0,30.0,15.0
Ghana,production,gold_mine,,10981.0,10595.0,10280.0,8601.0,8923.0,9311.0,8950.0,10228.0,11631.0,13265.0
