Country,Activity,Commodity,Sub-commodity,2020
Algeria,production,gold_mine,,58.0
Argentina,production,gold_mine,,35000.0
Armenia,production,gold_mine,,5317.0
Australia,production,gold_mine,,327889.0
Azerbaijan,production,gold_mine,,3572.0
Benin,production,gold_mine,,5.0
Bolivia,production,gold_mine,,23207.0
Botswana,production,gold_mine,,851.0
Brazil,production,gold_mine,,98922.0
Bulgaria,production,gold_mine,,9349.0
Burkina Faso,production,gold_mine,,62470.0
Burma,production,gold_mine,,230.0
Burundi,production,gold_mine,,1003.0
Cameroon,production,gold_mine,,450.0
Canada,production,gold_mine,,182352.0
Central African Republic,production,gold_mine,,360.0
Chile,production,gold_mine,,33895.0
China,production,gold_mine,,365340.0
Colombia,production,gold_mine,,47635.0
Congo,production,gold_mine,,150.0
"Congo, Democratic Republic",production,gold_mine,,40000.0
Costa Rica,production,gold_mine,,599.0
Cyprus,production,gold_mine,,61.0
Dominican Republic,production,gold_mine,,28117.0
Ecuador,production,gold_mine,,9086.0
Egypt,production,gold_mine,,14069.0
Equatorial Guinea,production,gold_mine,,200.0
Eritrea,production,gold_mine,,3800.0
Eswatini (Swaziland),production,gold_mine,,1.0
Ethiopia,production,gold_mine,,7500.0
Fiji,production,gold_mine,,1090.0
Finland,production,gold_mine,,8668.0
France (French Guiana),production,gold_mine,,10000.0
Gabon,production,gold_mine,,100.0
Georgia,production,gold_mine,,4768.0
Germany,production,gold_mine,,10.0
Ghana,production,gold_mine,,125114.0
Greece,production,gold_mine,,2177.0
Guatemala,production,gold_mine,,0.0
Guinea,production,gold_mine,,91800.0
Guyana,production,gold_mine,,18209.0
Honduras,production,gold_mine,,1790.0
India,production,gold_mine,,1127.0
Indonesia,production,gold_mine,,65900.0
Iran,production,gold_mine,,7000.0
Ivory Coast,production,gold_mine,,29600.0
Japan,production,gold_mine,,7590.0
Kazakhstan,production,gold_mine,,116964.0
Kenya,production,gold_mine,,150.0
Korea (Rep. of),production,gold_mine,,189.0
"Korea, Dem. P.R. of",production,gold_mine,,10000.0
Kyrgyzstan,production,gold_mine,,19300.0
Laos,production,gold_mine,,4251.0
Liberia,production,gold_mine,,4396.0
Madagascar,production,gold_mine,,1500.0
Malaysia,production,gold_mine,,1715.0
Mali,production,gold_mine,,65000.0
Mauritania,production,gold_mine,,14125.0
Mexico,production,gold_mine,,110361.0
Mongolia,production,gold_mine,,20226.0
Morocco,production,gold_mine,,143.0
Mozambique,production,gold_mine,,488.0
Namibia,production,gold_mine,,6254.0
New Zealand,production,gold_mine,,5860.0
Nicaragua,production,gold_mine,,7935.0
Niger,production,gold_mine,,2361.0
Nigeria,production,gold_mine,,4900.0
North Macedonia,production,gold_mine,,448.0
Panama,production,gold_mine,,2733.0
Papua New Guinea,production,gold_mine,,52500.0
Peru,production,gold_mine,,88053.0
Philippines,production,gold_mine,,17564.0
Poland,production,gold_mine,,878.0
Romania,production,gold_mine,,500.0
Russia,production,gold_mine,,308600.0
Rwanda,production,gold_mine,,11800.0
Saudi Arabia,production,gold_mine,,12715.0
Senegal,production,gold_mine,,14600.0
Serbia,production,gold_mine,,1550.0
Sierra Leone,production,gold_mine,,14.0
Slovakia,production,gold_mine,,336.0
South Africa,production,gold_mine,,95883.0
South Sudan,production,gold_mine,,200.0
Spain,production,gold_mine,,1602.0
Sudan,production,gold_mine,,35700.0
Suriname,production,gold_mine,,21215.0
Sweden,production,gold_mine,,8249.0
Taiwan,production,gold_mine,,3.0
Tajikistan,production,gold_mine,,8764.0
Tanzania,production,gold_mine,,55508.0
Thailand,production,gold_mine,,0.0
Togo,production,gold_mine,,10000.0
Turkey,production,gold_mine,,42100.0
USA,production,gold_mine,,190000.0
Uganda,production,gold_mine,,7.0
United Kingdom,production,gold_mine,,28.0
Uruguay,production,gold_mine,,0.0
Uzbekistan,production,gold_mine,,100000.0
Venezuela,production,gold_mine,,9000.0
Vietnam,production,gold_mine,,618.0
Zambia,production,gold_mine,,3994.0
Zimbabwe,production,gold_mine,,20873.0
