Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,production,graphite,,420.0,27450.0,18840.0,17190.0,23240.0,21840.0,23200.0,24400.0,25000.0,20000.0
Bosnia & Herzegovina,production,graphite,,45079.0,,,,,,,,,
Brazil,production,graphite,,92364.0,105188.0,88110.0,91908.0,87026.0,75100.0,61687.0,90000.0,95000.0,96000.0
Canada,production,graphite,,20000.0,20000.0,20000.0,20000.0,20000.0,18000.0,16000.0,14000.0,11000.0,11000.0
China,production,graphite,,1800000.0,1200000.0,800000.0,840000.0,900000.0,725000.0,625000.0,625000.0,693000.0,700000.0
Germany,production,graphite,,0.0,0.0,109.0,269.0,517.0,398.0,502.0,422.0,222.0,207.0
India,production,graphite,,115697.0,153339.0,134735.0,146390.0,116712.0,135528.0,122438.0,33649.0,39030.0,31991.0
Korea (Rep. of),production,graphite,,34.0,,,,,,,,,
"Korea, Dem. P.R. of",production,graphite,,10000.0,10000.0,30000.0,30000.0,60000.0,80000.0,50000.0,140000.0,40000.0,40000.0
Madagascar,production,graphite,,3654.0,3951.0,3629.0,3833.0,699.0,3607.0,5419.0,12852.0,54587.0,53400.0
Mexico,production,graphite,,6628.0,7348.0,7520.0,7024.0,9160.0,6524.0,14200.0,10310.0,4130.0,2342.0
Mozambique,production,graphite,,,,,0.0,0.0,580.0,580.0,802.0,106773.0,113803.0
Namibia,production,graphite,,,,,0.0,0.0,0.0,0.0,2216.0,3456.0,0.0
Norway,production,graphite,,6270.0,7789.0,6992.0,6207.0,8266.0,9185.0,9600.0,9600.0,9600.0,9600.0
Pakistan,production,graphite,,950.0,1268.0,912.0,6188.0,14279.0,2864.0,360.0,0.0,1840.0,0.0
Romania,production,graphite,,6633.0,,,,,,,,,
Russia,production,graphite,,14000.0,14000.0,14000.0,14000.0,14000.0,15900.0,19400.0,25200.0,17800.0,16600.0
Sri Lanka,production,graphite,,3437.0,3357.0,4173.0,3143.0,3361.0,3479.0,3908.0,3769.0,3700.0,3700.0
Sweden,production,graphite,,,0.0,0.0,0.0,0.0,113.0,,,,
Turkey,production,graphite,,0.0,5250.0,31500.0,28740.0,3850.0,0.0,0.0,0.0,16752.0,9990.0
Ukraine,production,graphite,,2800.0,600.0,4600.0,6900.0,13800.0,14500.0,14630.0,14855.0,15000.0,15000.0
Zimbabwe,production,graphite,,741.0,7252.0,7022.0,6934.0,6853.0,6362.0,5622.0,1577.0,174.0,100.0
