Country,Activity,Commodity,Sub-commodity,2020
Austria,production,graphite,,16500.0
Brazil,production,graphite,,95000.0
Canada,production,graphite,,8841.0
China,production,graphite,,650000.0
Germany,production,graphite,,108.0
India,production,graphite,,30168.0
"Korea, Dem. P.R. of",production,graphite,,30000.0
Madagascar,production,graphite,,48500.0
Mexico,production,graphite,,1461.0
Mozambique,production,graphite,,18159.0
Namibia,production,graphite,,0.0
Norway,production,graphite,,9000.0
Pakistan,production,graphite,,0.0
Russia,production,graphite,,16600.0
Sri Lanka,production,graphite,,3700.0
Turkey,production,graphite,,15205.0
Ukraine,production,graphite,,15000.0
Zimbabwe,production,graphite,,150.0
