Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,production,gypsum_and_plaster,,3000.0,3000.0,3000.0,3000.0,,,,,44180.0,42120.0
Albania,production,gypsum_and_plaster,,,,,,,,,,,78000.0
Algeria,production,gypsum_and_plaster,,,646000.0,741000.0,800000.0,467352.0,857502.0,1033107.0,1198303.0,1671651.0,1756781.0
Angola,production,gypsum_and_plaster,,,,,,,,0.0,0.0,0.0,120000.0
Argentina,production,gypsum_and_plaster,,559277.0,371527.0,362556.0,387936.0,674935.0,1073286.0,1202812.0,1226530.0,1257310.0,1356025.0
Armenia,production,gypsum_and_plaster,,9630.0,12811.0,44943.0,57835.0,,44200.0,43700.0,54600.0,45900.0,40100.0
Australia,production,gypsum_and_plaster,,4406000.0,3801900.0,4878900.0,4493400.0,4772500.0,4234000.0,4688300.0,4190700.0,4136300.0,3708700.0
Austria,production,gypsum_and_plaster,Anhydrite                                         ,120967.0,138745.0,122085.0,113823.0,117318.0,106032.0,135380.0,,,
Austria,production,gypsum_and_plaster,,825077.0,790478.0,847117.0,889727.0,920809.0,911162.0,936072.0,1063844.0,1087259.0,910945.0
Azerbaijan,production,gypsum_and_plaster,,,1750.0,1039.0,3848.0,884.0,28242.0,35034.0,22037.0,27898.0,44413.0
Bhutan,production,gypsum_and_plaster,,98671.0,100907.0,105658.0,122829.0,131236.0,150585.0,204198.0,189198.0,248445.0,299735.0
Bosnia & Herzegovina,production,gypsum_and_plaster,,49492.0,59728.0,60000.0,143047.0,139520.0,152939.0,131936.0,154294.0,150039.0,74302.0
Brazil,production,gypsum_and_plaster,,1497790.0,1506619.0,1633311.0,1529015.0,1474911.0,1582248.0,1711671.0,1923119.0,3100000.0,2348390.0
Bulgaria,production,gypsum_and_plaster,,169571.0,166838.0,156400.0,165500.0,175900.0,187700.0,215800.0,234300.0,21200.0,127600.0
Burma,production,gypsum_and_plaster,,52573.0,64609.0,90002.0,66069.0,71155.0,69735.0,72654.0,76401.0,91013.0,84516.0
Canada,production,gypsum_and_plaster,Anhydrite                                         ,178145.0,75753.0,93239.0,,,,,,,
Canada,production,gypsum_and_plaster,,9054000.0,8331000.0,9006000.0,8925000.0,9205000.0,8272000.0,9072000.0,7638000.0,5797000.0,3540000.0
Chile,production,gypsum_and_plaster,,375847.0,516876.0,609550.0,662259.0,630444.0,660753.0,845331.0,773119.0,773749.0,723928.0
China,production,gypsum_and_plaster,,6800000.0,6800000.0,25500000.0,27500000.0,29520000.0,32000000.0,35000000.0,40000000.0,38000000.0,37000000.0
Colombia,production,gypsum_and_plaster,,560000.0,560000.0,560000.0,560000.0,560000.0,700000.0,186000.0,200000.0,200000.0,190000.0
Croatia,production,gypsum_and_plaster,,150765.0,130861.0,145000.0,166340.0,193263.0,196133.0,170351.0,170721.0,250000.0,318139.0
Cuba,production,gypsum_and_plaster,,110000.0,110000.0,77900.0,99500.0,84800.0,73100.0,72500.0,80200.0,110000.0,77800.0
Cyprus,production,gypsum_and_plaster,,260000.0,250000.0,295000.0,300000.0,255000.0,215500.0,270000.0,330000.0,412000.0,317000.0
Czech Republic,production,gypsum_and_plaster,,82000.0,24000.0,108000.0,76000.0,68000.0,24000.0,16000.0,66000.0,35000.0,13000.0
Dominican Republic,production,gypsum_and_plaster,,110044.0,175553.0,178941.0,219311.0,435723.0,352242.0,354241.0,320683.0,369592.0,77201.0
Ecuador,production,gypsum_and_plaster,,1043.0,834.0,4730.0,5203.0,232.0,1310.0,1478.0,,,
Egypt,production,gypsum_and_plaster,,,126615.0,119453.0,792162.0,763400.0,329000.0,330000.0,1307534.0,1035380.0,734983.0
El Salvador,production,gypsum_and_plaster,,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,,,
Eritrea,production,gypsum_and_plaster,,,2077.0,1062.0,2705.0,1054.0,1142.0,634.0,874.0,800.0,900.0
Ethiopia,production,gypsum_and_plaster,,46798.0,50500.0,22500.0,48058.0,51200.0,34729.0,38809.0,29886.0,32989.0,36000.0
France,production,gypsum_and_plaster,,4500000.0,4500000.0,4900000.0,5600000.0,5700000.0,4902498.0,4800000.0,3500000.0,2338910.0,1887260.0
Georgia,production,gypsum_and_plaster,,4082.0,15408.0,8127.0,8507.0,1707.0,238.0,123.0,,,
Germany,production,gypsum_and_plaster,,2344000.0,1966000.0,1761000.0,1748000.0,1579000.0,1644000.0,1771000.0,1898000.0,2112000.0,1898000.0
Greece,production,gypsum_and_plaster,,801025.0,808890.0,890148.0,731785.0,856606.0,865216.0,900000.0,836967.0,1000000.0,730000.0
Guatemala,production,gypsum_and_plaster,,212109.0,96817.0,94411.0,66981.0,106140.0,349589.0,226800.0,495335.0,127387.0,18733.0
Honduras,production,gypsum_and_plaster,,59211.0,59500.0,20000.0,19921.0,5725.0,5700.0,5500.0,5500.0,5500.0,5500.0
Hungary,production,gypsum_and_plaster,,251000.0,231000.0,108000.0,62000.0,55000.0,19000.0,30000.0,26000.0,15940.0,19766.0
India,production,gypsum_and_plaster,,2644415.0,2879344.0,2672244.0,2793553.0,3689927.0,3291478.0,3005572.0,3400050.0,3876671.0,3370322.0
