Country,Activity,Commodity,Sub-commodity,2020
Afghanistan,production,gypsum_and_plaster,,3000.0
Albania,production,gypsum_and_plaster,,111880.0
Algeria,production,gypsum_and_plaster,,2500000.0
Angola,production,gypsum_and_plaster,,190000.0
Argentina,production,gypsum_and_plaster,,499092.0
Armenia,production,gypsum_and_plaster,,29000.0
Australia,production,gypsum_and_plaster,,3734078.0
Austria,production,gypsum_and_plaster,,900619.0
Azerbaijan,production,gypsum_and_plaster,,24198.0
Bhutan,production,gypsum_and_plaster,,331050.0
Bolivia,production,gypsum_and_plaster,,1100.0
Bosnia & Herzegovina,production,gypsum_and_plaster,,140994.0
Brazil,production,gypsum_and_plaster,,3200000.0
Bulgaria,production,gypsum_and_plaster,,88000.0
Burma,production,gypsum_and_plaster,,299000.0
Canada,production,gypsum_and_plaster,,2915270.0
Chile,production,gypsum_and_plaster,,910310.0
China,production,gypsum_and_plaster,,16000000.0
Colombia,production,gypsum_and_plaster,,223800.0
Croatia,production,gypsum_and_plaster,,308214.0
Cuba,production,gypsum_and_plaster,,62300.0
Cyprus,production,gypsum_and_plaster,,646340.0
Czech Republic,production,gypsum_and_plaster,,17000.0
Dominican Republic,production,gypsum_and_plaster,,132575.0
Egypt,production,gypsum_and_plaster,,850000.0
Eritrea,production,gypsum_and_plaster,,18000.0
Ethiopia,production,gypsum_and_plaster,,53900.0
France,production,gypsum_and_plaster,,1891190.0
Georgia,production,gypsum_and_plaster,,87655.0
Germany,production,gypsum_and_plaster,,5200000.0
Greece,production,gypsum_and_plaster,,780000.0
Guatemala,production,gypsum_and_plaster,,423282.0
Guinea,production,gypsum_and_plaster,,200000.0
Honduras,production,gypsum_and_plaster,,60000.0
Hungary,production,gypsum_and_plaster,,1100.0
India,production,gypsum_and_plaster,,2000000.0
Iran,production,gypsum_and_plaster,,16000000.0
Iraq,production,gypsum_and_plaster,,1000000.0
"Ireland, Republic of",production,gypsum_and_plaster,,150000.0
Israel,production,gypsum_and_plaster,,0.0
Italy,production,gypsum_and_plaster,,163749.0
Jamaica,production,gypsum_and_plaster,,65847.0
Japan,production,gypsum_and_plaster,,4700000.0
Jordan,production,gypsum_and_plaster,,200000.0
Kazakhstan,production,gypsum_and_plaster,,94500.0
Kenya,production,gypsum_and_plaster,,5800.0
Laos,production,gypsum_and_plaster,,737749.0
Latvia,production,gypsum_and_plaster,,320000.0
Libya,production,gypsum_and_plaster,,210000.0
Madagascar,production,gypsum_and_plaster,,0.0
Mauritania,production,gypsum_and_plaster,,70000.0
Mexico,production,gypsum_and_plaster,,7500000.0
Moldova,production,gypsum_and_plaster,,300000.0
Mongolia,production,gypsum_and_plaster,,56000.0
Morocco,production,gypsum_and_plaster,,600000.0
Nicaragua,production,gypsum_and_plaster,,64573.0
Niger,production,gypsum_and_plaster,,9083.0
Nigeria,production,gypsum_and_plaster,,30706.0
North Macedonia,production,gypsum_and_plaster,,229322.0
Norway,production,gypsum_and_plaster,,94.0
Oman,production,gypsum_and_plaster,,10213900.0
Pakistan,production,gypsum_and_plaster,,2200000.0
Paraguay,production,gypsum_and_plaster,,4500.0
Peru,production,gypsum_and_plaster,,171093.0
Poland,production,gypsum_and_plaster,,1132368.0
Portugal,production,gypsum_and_plaster,,210231.0
Romania,production,gypsum_and_plaster,,925782.0
Russia,production,gypsum_and_plaster,,3800000.0
Saudi Arabia,production,gypsum_and_plaster,,3470000.0
Slovakia,production,gypsum_and_plaster,,65560.0
South Africa,production,gypsum_and_plaster,,205542.0
Spain,production,gypsum_and_plaster,,13142429.0
Sri Lanka,production,gypsum_and_plaster,,2200.0
Sudan,production,gypsum_and_plaster,,173000.0
Switzerland,production,gypsum_and_plaster,,320000.0
Syria,production,gypsum_and_plaster,,10000.0
Tajikistan,production,gypsum_and_plaster,,8183.0
Tanzania,production,gypsum_and_plaster,,443926.0
Thailand,production,gypsum_and_plaster,Anhydrite                                         ,1266826.0
Thailand,production,gypsum_and_plaster,,8012293.0
Tunisia,production,gypsum_and_plaster,,890000.0
Turkey,production,gypsum_and_plaster,,9280864.0
USA,production,gypsum_and_plaster,,20600000.0
Uganda,production,gypsum_and_plaster,,0.0
Ukraine,production,gypsum_and_plaster,,1529000.0
United Kingdom,production,gypsum_and_plaster,,1300000.0
Uzbekistan,production,gypsum_and_plaster,,288657.0
"Yemen, Republic of",production,gypsum_and_plaster,,11500.0
