Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Belgium,production,indium_refinery,,,,,,,,30.0,30.0,30.0,30.0
Brazil,production,indium_refinery,,,,,,,,,,,5.0
Canada,production,indium_refinery,,,,,,,,50.0,50.0,57.0,50.0
China,production,indium_refinery,,,,,,,,400.0,370.0,340.0,330.0
Germany,production,indium_refinery,,,,,,,,10.0,10.0,10.0,10.0
Italy,production,indium_refinery,,,,,,,,5.0,5.0,5.0,5.0
Japan,production,indium_refinery,,,,,,,,55.0,60.0,65.0,67.0
Kazakhstan,production,indium_refinery,,,,,,,,,,,
Korea (Rep. of),production,indium_refinery,,,,,,,,60.0,100.0,100.0,100.0
Netherlands,production,indium_refinery,,,,,,,,5.0,5.0,5.0,5.0
Peru,production,indium_refinery,,,,,,,,6.0,5.0,6.0,2.0
Russia,production,indium_refinery,,,,,,,4.0,3.0,3.0,4.0,6.0
Ukraine,production,indium_refinery,,,,,,,,,,,
United Kingdom,production,indium_refinery,,,,,,,,5.0,5.0,5.0,5.0
