Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Azerbaijan,production,iodine,,191300.0,200000.0,240400.0,249100.0,221100.0,246700.0,207600.0,198400.0,185100.0,190300.0
Chile,production,iodine,,15793000.0,16000000.0,17494000.0,20656000.0,18989000.0,21179000.0,18444000.0,17976000.0,20216000.0,20826000.0
China,production,iodine,,590000.0,590000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0
Indonesia,production,iodine,,56000.0,61000.0,44000.0,43000.0,56000.0,45000.0,35000.0,34000.0,38000.0,40000.0
Iran,production,iodine,,,300000.0,300000.0,300000.0,300000.0,301000.0,348000.0,400000.0,368000.0,682000.0
Japan,production,iodine,,9216000.0,9277000.0,9315000.0,9334000.0,9814000.0,10610000.0,9993000.0,8839000.0,9136000.0,9122000.0
Russia,production,iodine,,105000.0,105000.0,105000.0,0.0,0.0,13987.0,2952.0,7844.0,7895.0,3112.0
Turkmenistan,production,iodine,,470000.0,470000.0,480000.0,500000.0,500000.0,510000.0,510000.0,544000.0,540000.0,600000.0
USA,production,iodine,,1250000.0,1270000.0,1270000.0,1270000.0,1270000.0,1350000.0,1250000.0,1150000.0,1150000.0,1150000.0
Uzbekistan,production,iodine,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0
