Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Albania,production,iron_ore,,540000.0,567000.0,594000.0,384000.0,400000.0,650000.0,480000.0,510000.0,510000.0,530000.0
Algeria,production,iron_ore,,2863000.0,3147000.0,3669000.0,3135000.0,3820000.0,3188000.0,2789000.0,3183000.0,2750000.0,2864000.0
Angola,production,iron_ore,,6091000.0,6158000.0,4831000.0,6052000.0,5606000.0,5604000.0,5500000.0,5500000.0,,
Argentina,production,iron_ore,,239000.0,282000.0,259000.0,237000.0,415000.0,286000.0,506000.0,1030000.0,909000.0,610507.0
Australia,production,iron_ore,,51189000.0,62063000.0,64401000.0,84828000.0,96950000.0,97651000.0,93255000.0,95923000.0,83134000.0,91717000.0
Austria,production,iron_ore,,3997000.0,4171000.0,4132000.0,4211000.0,4245000.0,3833000.0,3784000.0,3449000.0,2788000.0,3200000.0
Belgium,production,iron_ore,,93000.0,93000.0,113000.0,116000.0,123000.0,93000.0,63000.0,47000.0,,
Brazil,production,iron_ore,,36381000.0,37486000.0,39324000.0,50506000.0,73955000.0,89000000.0,92611000.0,82001000.0,84985000.0,104082736.0
Bulgaria,production,iron_ore,,2409000.0,3001000.0,3207000.0,2773000.0,2684000.0,2337000.0,2316000.0,2270000.0,2453000.0,2103000.0
Canada,production,iron_ore,,47458000.0,42957000.0,38735000.0,47498000.0,46785000.0,44893000.0,55416000.0,53621000.0,42931000.0,59617286.0
Chile,production,iron_ore,,11265000.0,11225000.0,8640000.0,9401000.0,10271000.0,11007000.0,10055000.0,8021000.0,7813000.0,8225089.0
China,production,iron_ore,,44000000.0,55000000.0,60000000.0,56000000.0,60000000.0,65000000.0,65000000.0,60000000.0,70000000.0,75000000.0
Colombia,production,iron_ore,,453000.0,442000.0,416000.0,439000.0,444000.0,537000.0,498000.0,505000.0,497000.0,396900.0
Czechoslovakia,production,iron_ore,,1606000.0,1609000.0,1581000.0,1672000.0,1688000.0,1773000.0,1904000.0,1994000.0,2023000.0,2012000.0
Egypt,production,iron_ore,,451000.0,473000.0,427000.0,656000.0,1032000.0,1087000.0,1242000.0,1409000.0,1456000.0,1435000.0
Eswatini (Swaziland),production,iron_ore,,2552000.0,2886000.0,2566000.0,2145000.0,2077000.0,2240000.0,1936000.0,1441000.0,1266000.0,493528.0
