Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Algeria,production,iron_pig,,750384.0,794715.0,959000.0,1026200.0,692800.0,791400.0,1093000.0,1193000.0,690000.0,680000.0
Argentina,production,iron_pig,,3602566.0,3192800.0,3649700.0,4138600.0,4147500.0,4466500.0,4437400.0,4389100.0,4428000.0,2849000.0
Australia,production,iron_pig,,6673000.0,7252000.0,7430000.0,8557000.0,6428000.0,6212000.0,6433000.0,6369000.0,6057000.0,4370000.0
Austria,production,iron_pig,,4332786.0,4392878.0,4607000.0,4676742.0,4846740.0,5444000.0,5547000.0,5908000.0,5795000.0,4353000.0
Azerbaijan,production,iron_pig,,,,,,,,,,,
Belgium,production,iron_pig,,8471214.0,7732111.0,7988396.0,7812593.0,8224000.0,7254000.0,7516000.0,6577000.0,6977000.0,3087000.0
Bosnia & Herzegovina,production,iron_pig,,100000.0,100000.0,60000.0,60000.0,60000.0,0.0,0.0,0.0,243000.0,482469.0
Brazil,production,iron_pig,,28135000.0,27731000.0,30055000.0,32449000.0,34558000.0,33884000.0,32452000.0,35571000.0,34871000.0,25135000.0
Bulgaria,production,iron_pig,,1220000.0,1211000.0,1072000.0,1386000.0,1158000.0,1115000.0,1147000.0,1069000.0,441000.0,
Burma,production,iron_pig,,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,,
Canada,production,iron_pig,,10030000.0,8302141.0,8849000.0,9058000.0,9919000.0,8865000.0,8751000.0,9490000.0,9474000.0,5615000.0
Chile,production,iron_pig,,1023695.0,897000.0,963900.0,987800.0,1137000.0,1074000.0,1115000.0,1147000.0,1109000.0,923000.0
China,production,iron_pig,,131034200.0,155542500.0,170846000.0,213666800.0,268309900.0,343751900.0,412451900.0,476516300.0,478244200.0,552834600.0
Colombia,production,iron_pig,,272254.0,318953.0,309300.0,283300.0,287900.0,325200.0,352600.0,340900.0,308100.0,342000.0
Czech Republic,production,iron_pig,,4621500.0,4670700.0,4839880.0,5207000.0,5385000.0,4627000.0,5192000.0,5287000.0,4737000.0,3483000.0
Egypt,production,iron_pig,,3100000.0,3530000.0,3630000.0,3950000.0,4000000.0,4000000.0,4200000.0,3786000.0,3543000.0,3851000.0
Finland,production,iron_pig,,2982787.0,2851821.0,2828275.0,3092051.0,3036566.0,3056165.0,3157894.0,2915130.0,2942946.0,2042000.0
France,production,iron_pig,,13506955.0,11884224.0,13093042.0,12615893.0,13087705.0,12595584.0,12873900.0,12425703.0,11371879.0,8104318.0
Germany,production,iron_pig,,31300000.0,29394000.0,29967000.0,30071000.0,30628000.0,29294000.0,30940000.0,31700000.0,29105000.0,20104000.0
Hungary,production,iron_pig,,1340353.0,1225714.0,1334000.0,1332000.0,1350000.0,1329000.0,1340000.0,1393655.0,1288758.0,1050000.0
India,production,iron_pig,,26761000.0,27595000.0,30046000.0,33601000.0,34238000.0,39177000.0,43288000.0,56598000.0,58229000.0,61677000.0
Indonesia,production,iron_pig,,1736000.0,1487000.0,1446000.0,1171000.0,1436000.0,1268000.0,1200000.0,1321000.0,1209000.0,1119000.0
Iran,production,iron_pig,,6679088.0,7142340.0,7182000.0,8328619.0,8533000.0,9178000.0,8970000.0,9609000.0,9600000.0,10760000.0
Italy,production,iron_pig,,11195000.0,10581000.0,9746000.0,10123000.0,10566000.0,11392000.0,11500000.0,11100000.0,10400000.0,5670000.0
Japan,production,iron_pig,,81070748.0,78835836.0,80979161.0,82090744.0,82974493.0,83058130.0,84270419.0,86770755.0,86171136.0,66942610.0
Kazakhstan,production,iron_pig,,4010300.0,3906500.0,4008947.0,4136820.0,4283142.0,3582198.0,3369395.0,3795352.0,3105548.0,2997000.0
Korea (Rep. of),production,iron_pig,,24937000.0,25898000.0,26570000.0,27314000.0,27555998.0,27309000.0,27559407.0,29436783.0,31042782.0,27474604.0
"Korea, Dem. P.R. of",production,iron_pig,,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0
Libya,production,iron_pig,,1490000.0,1060000.0,1161000.0,1336000.0,1586000.0,1700000.0,1633000.0,1660000.0,1569000.0,1077000.0
Malaysia,production,iron_pig,,1240000.0,1020000.0,1060000.0,1600000.0,1710000.0,1350000.0,1277000.0,1872000.0,1958000.0,2388000.0
Mexico,production,iron_pig,,10444728.0,8037183.0,8570500.0,9656634.0,10622823.0,10020339.0,9956777.0,10343007.0,10461858.0,8065305.0
Morocco,production,iron_pig,,15000.0,15000.0,15000.0,15000.0,15000.0,,,,,
Netherlands,production,iron_pig,,4970000.0,5305000.0,5367000.0,5846000.0,6011000.0,6031000.0,5417000.0,6412000.0,6130000.0,4655000.0
New Zealand,production,iron_pig,,603000.0,646000.0,617000.0,700000.0,719000.0,652000.0,664000.0,679000.0,622000.0,608000.0
Norway,production,iron_pig,,70000.0,70000.0,108000.0,110000.0,100000.0,100000.0,100000.0,100000.0,100000.0,83000.0
Pakistan,production,iron_pig,,1132000.0,1071199.0,1042854.0,1140188.0,1179945.0,1137198.0,767956.0,1008778.0,993371.0,791052.0
Paraguay,production,iron_pig,,82018.0,71763.0,87400.0,98000.0,119000.0,123000.0,128000.0,110000.0,95000.0,71000.0
Peru,production,iron_pig,,409185.0,383285.0,267200.0,310400.0,371800.0,385700.0,427100.0,495500.0,466000.0,100000.0
Poland,production,iron_pig,,6491867.0,5440047.0,5296410.0,5585094.0,6292341.0,4476831.0,5332632.0,5804418.0,4933781.0,2983500.0
Portugal,production,iron_pig,,382000.0,82000.0,,,,,,,,
Qatar,production,iron_pig,,620962.0,733549.0,752000.0,776000.0,830000.0,815382.0,876885.0,1296000.0,1637778.0,2096282.0
Romania,production,iron_pig,,3065788.0,3242994.0,3979346.0,4101409.0,4243956.0,4097998.0,3945975.0,3923244.0,2957715.0,1576679.0
Russia,production,iron_pig,,46456000.0,47457000.0,49161000.0,51235000.0,53461000.0,51750000.0,55022000.0,51500000.0,48300000.0,43900000.0
Saudi Arabia,production,iron_pig,,3060000.0,2877000.0,3280000.0,3285000.0,3406000.0,3626000.0,3581000.0,4101000.0,4500000.0,4623000.0
Serbia,production,iron_pig,,,,0.0,0.0,0.0,0.0,1529177.0,1485000.0,1582000.0,964607.0
Serbia and Montenegro,production,iron_pig,,562808.0,460884.0,485391.0,635182.0,959019.0,1115195.0,,,,
Slovakia,production,iron_pig,,3166400.0,3254600.0,3533150.0,3892000.0,3765000.0,3681000.0,4145000.0,4012000.0,3529000.0,3019000.0
South Africa,production,iron_pig,,7818000.0,7376000.0,7525000.0,7776000.0,7644000.0,7900000.0,7913000.0,7094000.0,6540000.0,5784000.0
Spain,production,iron_pig,,4059000.0,4094000.0,3973000.0,3645000.0,4036000.0,4160000.0,3432000.0,3976000.0,3784000.0,2920000.0
Sweden,production,iron_pig,,3270000.0,3725000.0,3815000.0,3816000.0,3992000.0,3844000.0,3701000.0,3947000.0,3708000.0,1966000.0
Switzerland,production,iron_pig,,80000.0,80000.0,80000.0,80000.0,1000000.0,,,,,
Taiwan,production,iron_pig,,9618000.0,10001000.0,10169000.0,10260000.0,10354000.0,9447000.0,10407000.0,10518000.0,9823000.0,7939000.0
Trinidad & Tobago,production,iron_pig,,1524800.0,2187400.0,2316300.0,2275000.0,2336500.0,2055300.0,2071500.0,2062800.0,1601000.0,1181700.0
Tunisia,production,iron_pig,,195400.0,191600.0,151900.0,35800.0,0.0,,,,,
