Country,Activity,Commodity,Sub-commodity,2020
Algeria,production,iron_pig,,300000.0
Argentina,production,iron_pig,,2455000.0
Australia,production,iron_pig,,3700000.0
Austria,production,iron_pig,,5300000.0
Azerbaijan,production,iron_pig,,362.0
Bahrain,production,iron_pig,,1500000.0
Belgium,production,iron_pig,,3600000.0
Bosnia & Herzegovina,production,iron_pig,,739058.0
Brazil,production,iron_pig,,29655000.0
Canada,production,iron_pig,,6400000.0
Chile,production,iron_pig,,681000.0
China,production,iron_pig,,893100000.0
Colombia,production,iron_pig,,164000.0
Czech Republic,production,iron_pig,,3500000.0
Egypt,production,iron_pig,,4800000.0
Finland,production,iron_pig,,2300000.0
France,production,iron_pig,,7695671.0
Germany,production,iron_pig,,23000000.0
Hungary,production,iron_pig,,1000000.0
India,production,iron_pig,,101400000.0
Indonesia,production,iron_pig,,3100000.0
Iran,production,iron_pig,,32700000.0
Italy,production,iron_pig,,3405000.0
Japan,production,iron_pig,,61600469.0
Kazakhstan,production,iron_pig,,3212375.0
Korea (Rep. of),production,iron_pig,,45359000.0
"Korea, Dem. P.R. of",production,iron_pig,,100000.0
Libya,production,iron_pig,,834550.0
Malaysia,production,iron_pig,,4000000.0
Mexico,production,iron_pig,,7780000.0
Netherlands,production,iron_pig,,5400000.0
New Zealand,production,iron_pig,,600000.0
Norway,production,iron_pig,,70000.0
Oman,production,iron_pig,,1800000.0
Paraguay,production,iron_pig,,35000.0
Peru,production,iron_pig,,0.0
Poland,production,iron_pig,,3502468.0
Qatar,production,iron_pig,,752569.0
Romania,production,iron_pig,,1800000.0
Russia,production,iron_pig,,52000000.0
Saudi Arabia,production,iron_pig,,5200000.0
Serbia,production,iron_pig,,1500000.0
Slovakia,production,iron_pig,,3000000.0
South Africa,production,iron_pig,,2300000.0
Spain,production,iron_pig,,2900000.0
Sweden,production,iron_pig,,2854000.0
Taiwan,production,iron_pig,,13400000.0
Turkey,production,iron_pig,,10000000.0
USA,production,iron_pig,,18300000.0
Ukraine,production,iron_pig,,20238000.0
United Arab Emirates,production,iron_pig,,3000000.0
United Kingdom,production,iron_pig,,5235500.0
Venezuela,production,iron_pig,,300000.0
Vietnam,production,iron_pig,,10000000.0
