Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Albania,production,kaolin,,8256.0,2000.0,,,,,,,,
Algeria,production,kaolin,,17993.0,21460.0,20844.0,12600.0,16900.0,24068.0,23332.0,18533.0,13640.0,16833.0
Argentina,production,kaolin,,33684.0,47115.0,43722.0,42052.0,50471.0,39860.0,64241.0,47365.0,46832.0,52665.0
Australia,production,kaolin,,363000.0,376000.0,180000.0,180000.0,280000.0,231000.0,239000.0,217000.0,182000.0,201000.0
Austria,production,kaolin,,81265.0,72361.0,64733.0,64381.0,65837.0,56789.0,31833.0,42654.0,39666.0,30759.0
Bangladesh,production,kaolin,,7223.0,7338.0,2317.0,1637.0,2753.0,6597.0,6855.0,8849.0,7731.0,
Belgium,production,kaolin,,175000.0,260000.0,325000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0
Bosnia & Herzegovina,production,kaolin,,,,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
Brazil,production,kaolin,,765826.0,850000.0,900000.0,1174151.0,1323443.0,1269468.0,1251603.0,1348562.0,1499381.0,1652997.0
Bulgaria,production,kaolin,,186467.0,106000.0,104000.0,111000.0,115000.0,168000.0,189000.0,158000.0,154760.0,144341.0
Burundi,production,kaolin,,5281.0,6567.0,9668.0,5318.0,2331.0,4766.0,3979.0,3539.0,3500.0,1597.0
Chile,production,kaolin,,32416.0,63083.0,59083.0,66939.0,73081.0,10845.0,13452.0,14238.0,11530.0,4361.0
China,production,kaolin,,600000.0,700000.0,700000.0,800000.0,850000.0,900000.0,950000.0,950000.0,1000000.0,1332000.0
Colombia,production,kaolin,,540000.0,900000.0,900000.0,900000.0,,,,,,
Cuba,production,kaolin,,,,,,,,,11500.0,11000.0,10400.0
Czech Republic,production,kaolin,,,,0.0,702000.0,651790.0,757949.0,724053.0,822394.0,537000.0,520000.0
Czechoslovakia,production,kaolin,,533000.0,526000.0,598000.0,,,,,,,
Denmark,production,kaolin,,17423.0,17057.0,3503.0,3500.0,,,,,,
Ecuador,production,kaolin,,7883.0,12015.0,6381.0,4230.0,6623.0,45054.0,86541.0,7348.0,5600.0,20652.0
Egypt,production,kaolin,,149000.0,151548.0,95693.0,78107.0,54175.0,70597.0,115409.0,112657.0,285497.0,290000.0
Eritrea,production,kaolin,,,,,0.0,5231.0,3200.0,2620.0,4670.0,3809.0,1138.0
Ethiopia,production,kaolin,,,,,,185.0,701.0,1428.0,3512.0,378.0,681.0
Finland,production,kaolin,,7026.0,6879.0,6700.0,8156.0,8165.0,12392.0,14204.0,,,
France,production,kaolin,,370130.0,343800.0,334000.0,295000.0,330000.0,345000.0,326000.0,332000.0,333000.0,328000.0
German Democratic Rep,production,kaolin,,115000.0,,,,,,,,,
German Federal Republic,production,kaolin,,601000.0,,,,,,,,,
Germany,production,kaolin,,,598000.0,578000.0,544000.0,600000.0,570000.0,700000.0,721000.0,669500.0,691195.0
Greece,production,kaolin,,169986.0,189235.0,201705.0,89473.0,117254.0,66682.0,60453.0,56459.0,46388.0,64931.0
Hungary,production,kaolin,,22000.0,19000.0,7000.0,15000.0,12000.0,5000.0,,,,
India,production,kaolin,,104000.0,113000.0,136236.0,139436.0,180350.0,160689.0,183072.0,166453.0,159493.0,168618.0
Indonesia,production,kaolin,,160098.0,139915.0,230550.0,42365.0,53236.0,14373.0,15000.0,1956.0,8567.0,21389.0
Iran,production,kaolin,,150000.0,150473.0,264083.0,254413.0,227650.0,265591.0,364506.0,484785.0,451807.0,529767.0
Israel,production,kaolin,,42212.0,53000.0,45000.0,45000.0,45000.0,15000.0,14000.0,16000.0,27000.0,20000.0
Italy,production,kaolin,,67321.0,57871.0,33017.0,76000.0,74608.0,87920.0,126000.0,180570.0,247970.0,295871.0
Japan,production,kaolin,,164802.0,129942.0,122948.0,110318.0,138412.0,182122.0,141230.0,110915.0,83257.0,53092.0
Jordan,production,kaolin,,38800.0,46200.0,34446.0,47174.0,47200.0,65998.0,37832.0,34550.0,50531.0,34040.0
Kazakhstan,production,kaolin,,,,50000.0,40000.0,30000.0,20000.0,20000.0,20000.0,20000.0,20000.0
Kenya,production,kaolin,,,,,,,,,,,192.0
Korea (Rep. of),production,kaolin,,1446598.0,1755225.0,1856157.0,919387.0,887752.0,897360.0,852457.0,898347.0,627360.0,672824.0
Madagascar,production,kaolin,,485.0,496.0,756.0,1000.0,1200.0,1545.0,1500.0,1500.0,,
Malaysia,production,kaolin,,152972.0,186699.0,306404.0,254345.0,312628.0,404336.0,324578.0,221769.0,198930.0,213973.0
Mexico,production,kaolin,,156140.0,167238.0,144121.0,215510.0,193034.0,221685.0,253602.0,235278.0,339013.0,489993.0
New Zealand,production,kaolin,,25435.0,21338.0,27520.0,26543.0,40720.0,13662.0,26325.0,21874.0,16965.0,16686.0
Nigeria,production,kaolin,,,,68532.0,719.0,242.0,11950.0,102078.0,125219.0,120000.0,138000.0
Pakistan,production,kaolin,,46947.0,44738.0,37444.0,69510.0,47503.0,33039.0,45446.0,66235.0,66672.0,64692.0
Paraguay,production,kaolin,,74000.0,74000.0,74000.0,74000.0,74000.0,66300.0,66500.0,66700.0,66700.0,66500.0
