Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Algeria,production,lead_mine,,1100.0,1100.0,900.0,900.0,700.0,900.0,600.0,840.0,730.0,760.0
Argentina,production,lead_mine,,23365.0,23697.0,17956.0,11826.0,9981.0,10521.0,11272.0,13760.0,15004.0,14256.0
Australia,production,lead_mine,,565000.0,579000.0,580000.0,510000.0,505000.0,455000.0,527000.0,526000.0,618000.0,677000.0
Austria,production,lead_mine,,2187.0,1915.0,1715.0,2047.0,,,,,,
Bolivia,production,lead_mine,,19913.0,20810.0,20002.0,21220.0,19678.0,20387.0,16538.0,18608.0,13848.0,10153.0
Bosnia & Herzegovina,production,lead_mine,,,,800.0,200.0,200.0,,,,,
Brazil,production,lead_mine,,8809.0,7273.0,2517.0,117.0,806.0,5689.0,7894.0,8729.0,7567.0,10281.0
Bulgaria,production,lead_mine,,45200.0,40600.0,39600.0,34400.0,32000.0,32500.0,28500.0,28000.0,24200.0,13800.0
Burma,production,lead_mine,,2300.0,4800.0,2700.0,1900.0,2300.0,4800.0,2200.0,2800.0,2200.0,1800.0
Canada,production,lead_mine,,241277.0,276528.0,343808.0,183155.0,170909.0,210286.0,257253.0,186234.0,189752.0,162180.0
Chile,production,lead_mine,,1120.0,1050.0,298.0,344.0,1008.0,944.0,1374.0,1264.0,337.0,608.0
China,production,lead_mine,,315300.0,352000.0,330200.0,346300.0,461900.0,514200.0,643400.0,711900.0,580500.0,548900.0
Czechoslovakia,production,lead_mine,,2997.0,3375.0,2000.0,,,,,,,
Finland,production,lead_mine,,2424.0,2531.0,923.0,0.0,0.0,0.0,1200.0,2200.0,1800.0,130.0
France,production,lead_mine,,1141.0,1745.0,,,,,,,,
Georgia,production,lead_mine,,,,800.0,500.0,400.0,,,,,
German Federal Republic,production,lead_mine,,8600.0,,,,,,,,,
Germany,production,lead_mine,,,7300.0,2100.0,,,,,,,
Greece,production,lead_mine,,26200.0,31700.0,28300.0,26400.0,19740.0,14283.0,8383.0,19335.0,22632.0,19699.0
Greenland,production,lead_mine,,16000.0,,,,,,,,,
Honduras,production,lead_mine,,4237.0,8719.0,9561.0,3838.0,2777.0,2461.0,4669.0,5930.0,4329.0,5226.0
India,production,lead_mine,,25500.0,25000.0,30500.0,26000.0,23900.0,34000.0,35000.0,32900.0,37700.0,37700.0
Iran,production,lead_mine,,9200.0,16900.0,12400.0,14700.0,18300.0,15900.0,15700.0,9300.0,12500.0,14400.0
"Ireland, Republic of",production,lead_mine,,35300.0,39900.0,42900.0,48300.0,53700.0,46100.0,45300.0,45000.0,35900.0,39200.0
Italy,production,lead_mine,,15600.0,14000.0,18000.0,7404.0,13902.0,15400.0,13900.0,11800.0,6800.0,6500.0
Japan,production,lead_mine,,18727.0,18329.0,18839.0,16470.0,9946.0,9659.0,7753.0,5227.0,6198.0,6064.0
Kazakhstan,production,lead_mine,,,,130000.0,183837.0,69000.0,30500.0,29000.0,28400.0,30200.0,34200.0
Kenya,production,lead_mine,,700.0,600.0,0.0,396.0,350.0,4.0,,,,
Korea (Rep. of),production,lead_mine,,14857.0,12633.0,13628.0,7409.0,2173.0,4064.0,5131.0,3632.0,3559.0,1800.0
"Korea, Dem. P.R. of",production,lead_mine,,60000.0,80000.0,70000.0,70000.0,55000.0,50000.0,40000.0,35000.0,30000.0,26000.0
Mexico,production,lead_mine,,177279.0,160406.0,172563.0,181741.0,163836.0,164348.0,173831.0,174661.0,166060.0,125656.0
Morocco,production,lead_mine,,71822.0,77531.0,59600.0,81680.0,73160.0,68870.0,75253.0,78228.0,81000.0,80000.0
Namibia,production,lead_mine,,19386.0,16058.0,20000.0,18000.0,21100.0,22100.0,20300.0,18300.0,13500.0,9886.0
North Macedonia,production,lead_mine,,,46500.0,31600.0,32700.0,28600.0,24700.0,26900.0,28000.0,30000.0,27000.0
Norway,production,lead_mine,,3241.0,3945.0,4170.0,2245.0,3160.0,1462.0,2083.0,2231.0,,
Peru,production,lead_mine,,187827.0,199811.0,194225.0,218507.0,235042.0,237597.0,248929.0,262466.0,257713.0,271782.0
Poland,production,lead_mine,,61300.0,65300.0,51000.0,49100.0,51600.0,58100.0,58700.0,54729.0,59533.0,62900.0
Romania,production,lead_mine,,25100.0,16200.0,16700.0,16929.0,23838.0,23194.0,21356.0,19447.0,15128.0,17489.0
Russia,production,lead_mine,,,,43500.0,44400.0,25000.0,22800.0,23000.0,16000.0,13000.0,14000.0
Serbia and Montenegro,production,lead_mine,,,,22661.0,9229.0,2667.0,3342.0,16005.0,14029.0,16700.0,8631.0
Slovakia,production,lead_mine,,,,0.0,1800.0,,,,,,
Slovenia,production,lead_mine,,,,1000.0,1000.0,,,,,,
South Africa,production,lead_mine,,69417.0,76262.0,75806.0,100171.0,95824.0,88501.0,88613.0,83114.0,84128.0,80191.0
Soviet Union,production,lead_mine,,238900.0,205600.0,,,,,,,,
