Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Algeria,production,lead_refined,,5000.0,5000.0,5500.0,5000.0,5000.0,4000.0,4000.0,4000.0,4000.0,4000.0
Argentina,production,lead_refined,,41700.0,34600.0,30600.0,31340.0,28000.0,28663.0,30657.0,32173.0,28840.0,24500.0
Australia,production,lead_refined,,233654.0,239169.0,247112.0,223335.0,220347.0,215747.0,171039.0,216660.0,204000.0,210000.0
Austria,production,lead_refined,,18062.0,16640.0,18706.0,18241.0,20066.0,19696.0,18807.0,22841.0,25047.0,24042.0
Belgium,production,lead_refined,,127908.0,109932.0,99720.0,134152.0,127711.0,114293.0,98313.0,108030.0,126561.0,109442.0
Brazil,production,lead_refined,,84950.0,63644.0,48265.0,63066.0,71621.0,81575.0,71642.0,71720.0,71092.0,64516.0
Bulgaria,production,lead_refined,,118000.0,123000.0,118000.0,116000.0,114000.0,116000.0,96000.0,100600.0,101000.0,101500.0
Burma,production,lead_refined,,6014.0,4068.0,7829.0,7636.0,6995.0,9400.0,5948.0,4093.0,3198.0,2717.0
Canada,production,lead_refined,,234580.0,238108.0,238882.0,241957.0,254380.0,240011.0,257680.0,230661.0,268076.0,242845.0
China,production,lead_refined,,175000.0,175000.0,175000.0,195000.0,200000.0,222500.0,239600.0,246400.0,241400.0,341400.0
Colombia,production,lead_refined,,3000.0,3000.0,3000.0,3000.0,3400.0,3700.0,4000.0,4500.0,5000.0,4800.0
Czechoslovakia,production,lead_refined,,20014.0,20663.0,21071.0,21030.0,21134.0,21437.0,23602.0,26008.0,26045.0,26008.0
Denmark,production,lead_refined,,23018.0,24030.0,15927.0,10052.0,13128.0,4503.0,500.0,,,
Finland,production,lead_refined,,5751.0,5535.0,5124.0,3430.0,2074.0,4600.0,1200.0,,,
France,production,lead_refined,,218831.0,227998.0,208559.0,198388.0,205701.0,223637.0,230403.0,245924.0,257916.0,267300.0
German Democratic Rep,production,lead_refined,,42000.0,45000.0,40700.0,38700.0,44700.0,41000.0,66500.0,62100.0,39600.0,40100.0
