Country,Activity,Commodity,Sub-commodity,2020
Algeria,production,lead_refined,,8000.0
Argentina,production,lead_refined,,19200.0
Australia,production,lead_refined,,161897.0
Austria,production,lead_refined,,27000.0
Belgium,production,lead_refined,,122748.0
Bolivia,production,lead_refined,,3000.0
Bosnia & Herzegovina,production,lead_refined,,0.0
Brazil,production,lead_refined,,257500.0
Bulgaria,production,lead_refined,,100600.0
Burma,production,lead_refined,,10500.0
Canada,production,lead_refined,,53536.0
Chile,production,lead_refined,,12000.0
China,production,lead_refined,,5800000.0
Colombia,production,lead_refined,,41000.0
Costa Rica,production,lead_refined,,8000.0
Croatia,production,lead_refined,,4800.0
Cuba,production,lead_refined,,5.0
Czech Republic,production,lead_refined,,42000.0
Dominican Republic,production,lead_refined,,6000.0
Egypt,production,lead_refined,,26000.0
Estonia,production,lead_refined,,9925.0
France,production,lead_refined,,60000.0
Germany,production,lead_refined,,335000.0
Ghana,production,lead_refined,,1000.0
Greece,production,lead_refined,,26000.0
Guatemala,production,lead_refined,,11000.0
Honduras,production,lead_refined,,5000.0
India,production,lead_refined,,818000.0
Indonesia,production,lead_refined,,53000.0
Iran,production,lead_refined,,117000.0
"Ireland, Republic of",production,lead_refined,,12000.0
Israel,production,lead_refined,,23946.0
Italy,production,lead_refined,,152700.0
Japan,production,lead_refined,,237600.0
Kazakhstan,production,lead_refined,,123371.0
Kenya,production,lead_refined,,1000.0
Korea (Rep. of),production,lead_refined,,770000.0
"Korea, Dem. P.R. of",production,lead_refined,,3000.0
Lebanon,production,lead_refined,,22000.0
Malaysia,production,lead_refined,,33000.0
Mexico,production,lead_refined,,410000.0
Morocco,production,lead_refined,,7000.0
Mozambique,production,lead_refined,,4200.0
Netherlands,production,lead_refined,,34000.0
Nigeria,production,lead_refined,,12000.0
Pakistan,production,lead_refined,,32000.0
Peru,production,lead_refined,,10200.0
Philippines,production,lead_refined,,10000.0
Poland,production,lead_refined,,162600.0
Portugal,production,lead_refined,,9000.0
Romania,production,lead_refined,,19000.0
Russia,production,lead_refined,,142000.0
Saudi Arabia,production,lead_refined,,66000.0
Senegal,production,lead_refined,,4223.0
Serbia,production,lead_refined,,14000.0
Slovakia,production,lead_refined,,63.0
Slovenia,production,lead_refined,,11000.0
South Africa,production,lead_refined,,55000.0
Spain,production,lead_refined,,174600.0
Sri Lanka,production,lead_refined,,3503.0
Sweden,production,lead_refined,,74370.0
Taiwan,production,lead_refined,,55000.0
Tanzania,production,lead_refined,,2800.0
Thailand,production,lead_refined,,80000.0
Turkey,production,lead_refined,,56400.0
USA,production,lead_refined,,1150000.0
Uganda,production,lead_refined,,800.0
Ukraine,production,lead_refined,,24968.0
United Arab Emirates,production,lead_refined,,24000.0
United Kingdom,production,lead_refined,,315000.0
Venezuela,production,lead_refined,,7000.0
Vietnam,production,lead_refined,,34000.0
Zambia,production,lead_refined,,4000.0
