Country,Activity,Commodity,Sub-commodity,2020
Argentina,production,lithium_minerals,,31747.0
Australia,production,lithium_minerals,Spodumene                                         ,1479872.0
Bolivia,production,lithium_minerals,,191.0
Brazil,production,lithium_minerals,Spodumene                                         ,9000.0
Canada,production,lithium_minerals,Spodumene                                         ,0.0
Chile,production,lithium_minerals,,124602.0
China,production,lithium_minerals,,14000.0
Namibia,production,lithium_minerals,Lepidolite                                        ,0.0
Nigeria,production,lithium_minerals,,130.0
Portugal,production,lithium_minerals,Lepidolite                                        ,23185.0
USA,production,lithium_minerals,,900.0
Zimbabwe,production,lithium_minerals,,20859.0
