Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Argentina,production,magnesite,,,,,,,,,,,43509.0
Australia,production,magnesite,,65000.0,100000.0,270053.0,263907.0,288501.0,262932.0,237707.0,245192.0,360113.0,280363.0
Austria,production,magnesite,,1179162.0,960589.0,995347.0,648864.0,681335.0,783497.0,710620.0,790297.0,722876.0,748635.0
Bosnia & Herzegovina,production,magnesite,,,,2000.0,2000.0,2000.0,,,,,
Brazil,production,magnesite,,345415.0,350000.0,284357.0,243809.0,293678.0,334000.0,326538.0,294629.0,342485.0,282145.0
Canada,production,magnesite,,190000.0,190000.0,170000.0,164922.0,165000.0,165000.0,165000.0,165000.0,165000.0,165000.0
China,production,magnesite,,2400000.0,1650000.0,1510000.0,1229200.0,8000000.0,8000000.0,8000000.0,8000000.0,8500000.0,9500000.0
Colombia,production,magnesite,,19300.0,18768.0,18840.0,9816.0,10747.0,10500.0,12634.0,10500.0,10500.0,10500.0
Czechoslovakia,production,magnesite,,561000.0,328000.0,1267000.0,,,,,,,
Egypt,production,magnesite,,,,,590.0,282.0,11258.0,12627.0,7536.0,2806.0,
Greece,production,magnesite,,701096.0,560373.0,471220.0,479999.0,575472.0,565720.0,682346.0,623030.0,698049.0,495144.0
India,production,magnesite,,544000.0,539000.0,540904.0,374597.0,334487.0,345077.0,377510.0,373520.0,349852.0,325764.0
Iran,production,magnesite,,1405.0,29291.0,36165.0,49424.0,46782.0,78654.0,110554.0,115758.0,121529.0,154631.0
"Korea, Dem. P.R. of",production,magnesite,,1500000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,800000.0,800000.0
Nepal,production,magnesite,,0.0,0.0,,,,,,,,
Netherlands,production,magnesite,,,,,,,200000.0,185000.0,198000.0,216000.0,220000.0
Pakistan,production,magnesite,,4274.0,5191.0,6484.0,4997.0,6005.0,4733.0,13876.0,4057.0,3157.0,2175.0
Philippines,production,magnesite,,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0
Poland,production,magnesite,,23300.0,8100.0,12900.0,13000.0,16400.0,21523.0,20800.0,29600.0,33700.0,38800.0
Russia,production,magnesite,,,,4500000.0,3900000.0,3300000.0,3687000.0,3181000.0,2700000.0,2200000.0,2400000.0
Serbia and Montenegro,production,magnesite,,,,185000.0,55000.0,67635.0,75000.0,88696.0,98384.0,80923.0,30642.0
Slovakia,production,magnesite,,,,0.0,693200.0,616900.0,814000.0,824800.0,863600.0,877842.0,826902.0
South Africa,production,magnesite,,114182.0,98782.0,60085.0,67403.0,71726.0,84639.0,71358.0,76699.0,74375.0,63700.0
Soviet Union,production,magnesite,,1600000.0,1400000.0,,,,,,,,
Spain,production,magnesite,,460000.0,420000.0,418184.0,594460.0,424085.0,607048.0,483726.0,409835.0,482295.0,505209.0
Turkey,production,magnesite,,845124.0,1324229.0,1124475.0,629000.0,1365527.0,1928064.0,2341922.0,2063975.0,2703720.0,1724744.0
Yugoslavia,production,magnesite,,268000.0,228000.0,,,,,,,,
Zimbabwe,production,magnesite,,32639.0,23295.0,8973.0,6276.0,1588.0,5597.0,10659.0,13050.0,4321.0,5356.0
