Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Canada,production,magnesium_metal_primary,,,,,,5956.0,3826.0,6092.0,7633.0,8309.0,9015.0
China,production,magnesium_metal_primary,,,,,,1000.0,1000.0,5000.0,5000.0,6000.0,6000.0
France,production,magnesium_metal_primary,,,,,,6939.0,7532.0,8035.0,8683.0,8500.0,9043.0
India,production,magnesium_metal_primary,,,,,,0.0,0.0,30.0,,,
Italy,production,magnesium_metal_primary,,,,,,7431.0,6344.0,7033.0,8766.0,9678.0,8757.0
Japan,production,magnesium_metal_primary,,,,,,8659.0,8700.0,11200.0,9400.0,11200.0,11400.0
Norway,production,magnesium_metal_primary,,,,,,39795.0,38337.0,38808.0,38165.0,39160.0,44177.0
Soviet Union,production,magnesium_metal_primary,,,,,,60000.0,60000.0,63000.0,65000.0,70000.0,72000.0
USA,production,magnesium_metal_primary,,,,,,123000.0,109000.0,108823.0,114267.0,135591.0,147385.0
Yugoslavia,production,magnesium_metal_primary,,,,,,0.0,0.0,0.0,0.0,0.0,500.0
