Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Argentina,production,manganese_ore,,6146.0,2706.0,3900.0,6926.0,5888.0,7276.0,9886.0,6393.0,9339.0,5884.0
Australia,production,manganese_ore,,2019511.0,1448977.0,1127085.0,1370233.0,1848889.0,2002960.0,1648921.0,1853279.0,1986000.0,2119000.0
Austria,production,manganese_ore,,58141.0,55876.0,61549.0,65284.0,67037.0,60074.0,58945.0,57486.0,44273.0,46483.0
Brazil,production,manganese_ore,,2281450.0,2042144.0,2340974.0,2091631.0,2693131.0,2523194.0,2696799.0,2067385.0,1990646.0,2225413.0
Bulgaria,production,manganese_ore,,49000.0,45000.0,45000.0,45000.0,45000.0,38000.0,37000.0,38000.0,35000.0,32000.0
Chile,production,manganese_ore,,27701.0,25557.0,16111.0,26050.0,26172.0,35635.0,31631.0,31803.0,43655.0,43806.0
China,production,manganese_ore,,1600000.0,1600000.0,1600000.0,1600000.0,2900000.0,2600000.0,2700000.0,2600000.0,3200000.0,3330000.0
Czechoslovakia,production,manganese_ore,,900.0,900.0,900.0,900.0,900.0,950.0,900.0,900.0,900.0,900.0
Gabon,production,manganese_ore,,2146752.0,1487783.0,1511000.0,1762000.0,2021000.0,2349000.0,2440000.0,2403174.0,2254135.0,2592407.0
Ghana,production,manganese_ore,,249900.0,223100.0,159900.0,173100.0,286700.0,315600.0,259300.0,253600.0,230900.0,334200.0
Greece,production,manganese_ore,,5555.0,5800.0,5600.0,4636.0,5447.0,5058.0,4560.0,4024.0,3725.0,3034.0
Hungary,production,manganese_ore,,82564.0,70833.0,82855.0,58606.0,67000.0,62294.0,62172.0,69964.0,80983.0,84247.0
India,production,manganese_ore,,1692000.0,1528000.0,1480952.0,1277236.0,1130109.0,1258903.0,1284081.0,1275111.0,1332629.0,1334214.0
Indonesia,production,manganese_ore,,4299.0,2587.0,17894.0,8318.0,12267.0,33295.0,7985.0,9360.0,10278.0,9076.0
Iran,production,manganese_ore,,,,,,66000.0,55000.0,34000.0,62784.0,74630.0,80953.0
Italy,production,manganese_ore,,9165.0,8756.0,8727.0,7205.0,9528.0,8621.0,6396.0,3802.0,9701.0,5899.0
Japan,production,manganese_ore,,79579.0,86178.0,78160.0,75199.0,61635.0,21140.0,5905.0,,,
Malaysia,production,manganese_ore,,4003.0,,,,,,,,,
Mexico,production,manganese_ore,,447128.0,578314.0,508700.0,350000.0,476200.0,396400.0,459000.0,385300.0,443600.0,394400.0
Morocco,production,manganese_ore,,130662.0,109647.0,96529.0,73515.0,59127.0,43690.0,40334.0,42500.0,30000.0,33680.0
Philippines,production,manganese_ore,,2556.0,3113.0,1556.0,2242.0,615.0,387.0,780.0,445.0,2251.0,3002.0
Romania,production,manganese_ore,,81600.0,57000.0,55000.0,78000.0,66000.0,68000.0,67000.0,65000.0,65000.0,60000.0
South Africa,production,manganese_ore,Chemical                                          ,366689.0,340856.0,337820.0,259291.0,191750.0,158464.0,190647.0,146310.0,125717.0,78680.0
South Africa,production,manganese_ore,Metallurgical                                     ,5695426.0,5039687.0,4878697.0,2627672.0,2857619.0,3442544.0,4091305.0,3148002.0,3896810.0,4805343.0
Soviet Union,production,manganese_ore,,9750000.0,9150000.0,9821000.0,9876000.0,10089000.0,9900000.0,9300000.0,9400000.0,9100000.0,9100000.0
Thailand,production,manganese_ore,,54310.0,10917.0,7758.0,6710.0,8695.0,4412.0,4888.0,9148.0,7947.0,11044.0
Turkey,production,manganese_ore,,41634.0,14932.0,7310.0,3200.0,42796.0,10750.0,7770.0,800.0,8900.0,8900.0
USA,production,manganese_ore,,157748.0,158540.0,28584.0,30412.0,80216.0,18037.0,12991.0,17315.0,8000.0,8000.0
Yugoslavia,production,manganese_ore,,30250.0,31149.0,27494.0,31643.0,21079.0,31800.0,41280.0,41297.0,40100.0,38770.0
Zaire,production,manganese_ore,,6350.0,17610.0,,1803.0,30776.0,37240.0,913.0,,,
Zambia,production,manganese_ore,,,,,,,1870.0,554.0,0.0,502.0,351.0
