Country,Activity,Commodity,Sub-commodity,2020
Australia,production,manganese_ore,,4752200.0
Bolivia,production,manganese_ore,,17000.0
Brazil,production,manganese_ore,,2385000.0
Bulgaria,production,manganese_ore,,0.0
Burma,production,manganese_ore,,634000.0
China,production,manganese_ore,,6500000.0
Colombia,production,manganese_ore,,0.0
"Congo, Democratic Republic",production,manganese_ore,,5000.0
Egypt,production,manganese_ore,,100000.0
Gabon,production,manganese_ore,,8147000.0
Georgia,production,manganese_ore,,302200.0
Ghana,production,manganese_ore,,2357515.0
Hungary,production,manganese_ore,,0.0
India,production,manganese_ore,,2457000.0
Iran,production,manganese_ore,,130000.0
Ivory Coast,production,manganese_ore,,1280000.0
Kazakhstan,production,manganese_ore,,813500.0
Malaysia,production,manganese_ore,,869864.0
Mexico,production,manganese_ore,,565619.0
Morocco,production,manganese_ore,,70000.0
Namibia,production,manganese_ore,,37072.0
Oman,production,manganese_ore,,8700.0
Peru,production,manganese_ore,,22500.0
Romania,production,manganese_ore,,45000.0
South Africa,production,manganese_ore,,16020435.0
Sudan,production,manganese_ore,,1000.0
Thailand,production,manganese_ore,,1400.0
Turkey,production,manganese_ore,,101766.0
Ukraine,production,manganese_ore,,1850000.0
Vietnam,production,manganese_ore,,80000.0
Zambia,production,manganese_ore,,30000.0
