Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Algeria,production,mercury,,637000.0,431000.0,476000.0,459195.0,448569.0,295148.0,368081.0,490383.0,224077.0,240327.0
Chile,production,mercury,,,,59000.0,127000.0,70000.0,9000.0,5000.0,4000.0,5000.0,25000.0
China,production,mercury,,930000.0,800000.0,600000.0,554000.0,467000.0,779000.0,508000.0,835000.0,225000.0,195000.0
Czechoslovakia,production,mercury,,126000.0,75000.0,60000.0,,,,,,,
Finland,production,mercury,,109176.0,110435.0,74596.0,100824.0,83065.0,90245.0,88120.0,63000.0,54000.0,55000.0
Kyrgyzstan,production,mercury,,,,350000.0,350000.0,379000.0,380000.0,642000.0,611000.0,637600.0,645900.0
Mexico,production,mercury,,735000.0,340000.0,21000.0,12000.0,11000.0,15000.0,15000.0,15000.0,15000.0,15000.0
Morocco,production,mercury,,,,,,,,,,,10000.0
Russia,production,mercury,,,,70000.0,,,,,,,
Slovakia,production,mercury,,,,0.0,,,,0.0,,,
Slovenia,production,mercury,,,,12000.0,,500.0,5000.0,5000.0,5000.0,5000.0,
Soviet Union,production,mercury,,800000.0,750000.0,,,,,,,,
Spain,production,mercury,,713300.0,52100.0,36363.0,660882.0,391575.0,1503648.0,861825.0,389229.0,672681.0,433000.0
Tajikistan,production,mercury,,,,100000.0,80000.0,55000.0,50000.0,45000.0,40000.0,35000.0,35000.0
Turkey,production,mercury,,66000.0,25000.0,5000.0,,,,,,,
USA,production,mercury,,562000.0,58000.0,64000.0,29000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
Ukraine,production,mercury,,,,100000.0,40000.0,50000.0,40000.0,30000.0,,,
Yugoslavia,production,mercury,,37000.0,35000.0,,,,,,,,
