Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,production,mica,,9638.0,10226.0,5785.0,871.0,575.0,583.0,564.0,189.0,120.0,0.0
Brazil,production,mica,,4709.0,6193.0,5220.0,9728.0,427341.0,11000.0,10800.0,10100.0,11000.0,11000.0
Canada,production,mica,,19000.0,21000.0,22000.0,22000.0,22000.0,22000.0,22000.0,22000.0,21000.0,21000.0
China,production,mica,,126000.0,71800.0,56000.0,41000.0,95000.0,85000.0,95000.0,100000.0,100000.0,100000.0
Colombia,production,mica,,,,,240.0,162.0,240.0,247.0,159.0,239.0,252.0
Egypt,production,mica,,50.0,,,,,,,,,
Finland,production,mica,,13809.0,12896.0,12112.0,11244.0,11973.0,11836.0,10843.0,10740.0,12122.0,9440.0
France,production,mica,,19000.0,19000.0,18000.0,19700.0,20200.0,20700.0,19600.0,19200.0,15000.0,19000.0
India,production,mica,,1333.0,1899.0,1256.0,1660.0,636.0,2600.0,4500.0,1700.0,1000.0,1000.0
Iran,production,mica,,2860.0,7130.0,7000.0,5635.0,5600.0,5600.0,1500.0,4500.0,1500.0,1120.0
Korea (Rep. of),production,mica,,36486.0,31260.0,25594.0,25143.0,24205.0,17405.0,12934.0,14576.0,16559.0,23433.0
Madagascar,production,mica,,2069.0,3411.0,12532.0,9782.0,12000.0,16634.0,22311.0,34817.0,48763.0,50000.0
Malaysia,production,mica,,4515.0,4245.0,3967.0,4363.0,5659.0,4788.0,4716.0,4787.0,5165.0,4358.0
Mexico,production,mica,,160.0,0.0,160.0,160.0,160.0,145.0,145.0,145.0,408.0,595.0
Russia,production,mica,,9000.0,9000.0,9000.0,7000.0,6000.0,4823.0,4823.0,5219.0,4465.0,4500.0
South Africa,production,mica,,904.0,633.0,400.0,309.0,383.0,29.0,8.0,0.0,32.0,9.0
Spain,production,mica,,4034.0,3609.0,3518.0,3462.0,4049.0,4355.0,5521.0,6333.0,6932.0,7769.0
Sri Lanka,production,mica,,2095.0,2927.0,1260.0,1493.0,2033.0,1711.0,1449.0,1422.0,1500.0,1500.0
Sudan,production,mica,,10.0,378.0,324.0,500.0,1000.0,,,,,
Taiwan,production,mica,,0.0,1455.0,6844.0,8931.0,5016.0,8287.0,1879.0,750.0,2970.0,3312.0
Turkey,production,mica,,36009.0,17542.0,6077.0,1076.0,17440.0,44637.0,14531.0,204.0,5732.0,454.0
USA,production,mica,,56100.0,52000.0,47500.0,48100.0,48200.0,32600.0,28000.0,40000.0,44000.0,40100.0
