Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Bulgaria,production,molybdenum_mine,,150.0,150.0,170.0,190.0,190.0,190.0,190.0,200.0,200.0,190.0
Canada,production,molybdenum_mine,,11889.0,12850.0,13961.0,10194.0,11557.0,6950.0,11251.0,12509.0,12494.0,14073.0
Chile,production,molybdenum_mine,,13668.0,15360.0,20048.0,15264.0,16861.0,18391.0,16581.0,16941.0,15515.0,16550.0
China,production,molybdenum_mine,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,12000.0,14400.0,15700.0
Iran,production,molybdenum_mine,,,,,,500.0,500.0,900.0,874.0,1181.0,1305.0
Japan,production,molybdenum_mine,,60.0,79.0,103.0,102.0,157.0,100.0,100.0,100.0,100.0,100.0
Korea (Rep. of),production,molybdenum_mine,,302.0,467.0,363.0,143.0,159.0,335.0,317.0,327.0,144.0,132.0
Mexico,production,molybdenum_mine,,74.0,451.0,5190.0,5866.0,4054.0,3761.0,3350.0,4400.0,4456.0,4189.0
Mongolia,production,molybdenum_mine,,487.0,660.0,800.0,950.0,1000.0,1000.0,1519.0,1526.0,1547.0,1574.0
Niger,production,molybdenum_mine,,122.0,116.0,42.0,83.0,57.0,32.0,20.0,8.0,15.0,13.0
Peru,production,molybdenum_mine,,2407.0,3054.0,2899.0,2633.0,3085.0,3833.0,3491.0,3352.0,2382.0,3013.0
Philippines,production,molybdenum_mine,,91.0,94.0,80.0,40.0,0.0,0.0,0.0,,,
Soviet Union,production,molybdenum_mine,,10400.0,10700.0,11000.0,11100.0,11200.0,11300.0,11400.0,11500.0,17000.0,17000.0
Turkey,production,molybdenum_mine,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0
USA,production,molybdenum_mine,,68350.0,63458.0,38275.0,15238.0,47021.0,49173.0,42627.0,34073.0,43051.0,63105.0
