Country,Activity,Commodity,Sub-commodity,2020
Argentina,production,molybdenum_mine,,0.0
Armenia,production,molybdenum_mine,,12691.0
Brazil,production,molybdenum_mine,,200.0
Canada,production,molybdenum_mine,,2671.0
Chile,production,molybdenum_mine,,59319.0
China,production,molybdenum_mine,,105000.0
Iran,production,molybdenum_mine,,8700.0
Kazakhstan,production,molybdenum_mine,,400.0
Mexico,production,molybdenum_mine,,18562.0
Mongolia,production,molybdenum_mine,,2889.0
Norway,production,molybdenum_mine,,2.0
Peru,production,molybdenum_mine,,32185.0
Poland,production,molybdenum_mine,,1210.0
Russia,production,molybdenum_mine,,1707.0
USA,production,molybdenum_mine,,51100.0
Uzbekistan,production,molybdenum_mine,,725.0
