Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Afghanistan,production,natural_gas,,,,2894.0,2800.0,2946.0,2959.0,2546.0,2582.0,2317.0,2327.0
Albania,production,natural_gas,,,,,,,,,350.0,350.0,370.0
Algeria,production,natural_gas,,2998.0,2976.0,3390.0,4740.0,5978.0,7817.0,8501.0,7945.0,13880.0,14600.0
Angola,production,natural_gas,,,,,,,,2000.0,2500.0,70.0,70.0
Argentina,production,natural_gas,,6183.0,6382.0,6183.0,6729.0,7242.0,7871.0,8234.0,7787.0,11504.0,9270.0
Australia,production,natural_gas,,1502.0,2238.0,3188.0,4099.0,4677.0,5026.0,5929.0,6766.0,7324.0,8381.0
Austria,production,natural_gas,,1897.0,1891.0,1963.0,2270.0,2207.0,2359.0,2144.0,2393.0,2414.0,2312.0
Bahrain,production,natural_gas,,0.0,506.0,1132.0,1602.0,1975.0,2079.0,2178.0,2364.0,2600.0,4025.0
Bangladesh,production,natural_gas,,,,502.0,693.0,648.0,666.0,887.0,916.0,971.0,1112.0
Barbados,production,natural_gas,,3.0,4.0,2.0,4.0,2.0,2.0,,,,
Belgium,production,natural_gas,,53.0,50.0,52.0,55.0,61.0,50.0,33.0,40.0,44.0,39.0
Bolivia,production,natural_gas,,866.0,2296.0,1190.0,1757.0,1714.0,1728.0,1769.0,1846.0,1819.0,1962.0
Brazil,production,natural_gas,,1264.0,1177.0,240.0,254.0,498.0,700.0,738.0,1056.0,1016.0,858.0
Brunei,production,natural_gas,,,220.0,453.0,2500.0,4296.0,6000.0,7910.0,9070.0,8890.0,9360.0
Bulgaria,production,natural_gas,,474.0,327.0,220.0,226.0,180.0,111.0,31.0,10.0,32.0,137.0
Burma,production,natural_gas,,,,,,157.0,217.0,240.0,249.0,280.0,341.0
Canada,production,natural_gas,,64481.0,70764.0,82520.0,88368.0,86273.0,87520.0,87684.0,91147.0,88324.0,94426.0
Chile,production,natural_gas,,7628.0,7986.0,1200.0,1253.0,3610.0,3406.0,4017.0,3791.0,3500.0,3910.0
China,production,natural_gas,,1700.0,2265.0,25500.0,27000.0,35000.0,40000.0,9900.0,12000.0,13700.0,14500.0
Colombia,production,natural_gas,,1323.0,1449.0,1727.0,1842.0,1863.0,1797.0,1711.0,2102.0,2756.0,3063.0
Czechoslovakia,production,natural_gas,,885.0,875.0,813.0,845.0,827.0,811.0,801.0,940.0,740.0,851.0
Egypt,production,natural_gas,,,,,,,,,529.0,873.0,3400.0
France,production,natural_gas,,6800.0,7149.0,7372.0,7410.0,7330.0,7394.0,6938.0,7598.0,7610.0,7769.0
Gabon,production,natural_gas,,28.0,32.0,35.0,40.0,46.0,47.0,50.0,60.0,56.0,61.0
German Democratic Rep,production,natural_gas,,1233.0,2853.0,5055.0,7012.0,7732.0,7300.0,8600.0,8500.0,8600.0,8800.0
German Federal Republic,production,natural_gas,,12463.0,15071.0,13132.0,19248.0,19732.0,18248.0,18659.0,19104.0,20450.0,20685.0
Hungary,production,natural_gas,,3469.0,3705.0,4110.0,4821.0,5101.0,5182.0,6082.0,6611.0,7346.0,6521.0
India,production,natural_gas,,676.0,754.0,925.0,913.0,1010.0,1253.0,1514.0,1631.0,1731.0,1925.0
Indonesia,production,natural_gas,,3071.0,3432.0,4128.0,5031.0,5727.0,6293.0,8839.0,15370.0,23223.0,28272.0
Iran,production,natural_gas,,11223.0,15612.0,17830.0,19869.0,22296.0,21830.0,22477.0,22000.0,19465.0,19990.0
Iraq,production,natural_gas,,785.0,870.0,934.0,1210.0,1162.0,1654.0,2107.0,1580.0,1609.0,2230.0
"Ireland, Republic of",production,natural_gas,,,,,,,,,,,0.0
Israel,production,natural_gas,,134.0,124.0,124.0,54.0,66.0,60.0,58.0,57.0,51.0,68.0
Italy,production,natural_gas,,13134.0,13380.0,14062.0,15242.0,15228.0,14562.0,15640.0,13717.0,13701.0,13466.0
