Country,Activity,Commodity,Sub-commodity,2020
Afghanistan,production,natural_gas,,80.0
Albania,production,natural_gas,,57.0
Algeria,production,natural_gas,,81500.0
Angola,production,natural_gas,,6000.0
Argentina,production,natural_gas,,41560.0
Australia,production,natural_gas,,154263.0
Austria,production,natural_gas,,743.0
Azerbaijan,production,natural_gas,,26065.0
Bahrain,production,natural_gas,,25000.0
Bangladesh,production,natural_gas,,24993.0
Barbados,production,natural_gas,,11.0
Belarus,production,natural_gas,,219.0
Bolivia,production,natural_gas,,14400.0
Brazil,production,natural_gas,,25403.0
Brunei,production,natural_gas,,11795.0
Bulgaria,production,natural_gas,,65.0
Burma,production,natural_gas,,18800.0
Cameroon,production,natural_gas,,2130.0
Canada,production,natural_gas,,158325.0
Chile,production,natural_gas,,1316.0
China,production,natural_gas,,176000.0
Colombia,production,natural_gas,,13300.0
Congo,production,natural_gas,,1400.0
Croatia,production,natural_gas,,888.0
Cuba,production,natural_gas,,895.0
Czech Republic,production,natural_gas,,138.0
Denmark,production,natural_gas,,1351.0
East Timor,production,natural_gas,,6770.0
Ecuador,production,natural_gas,,300.0
Egypt,production,natural_gas,,58500.0
Equatorial Guinea,production,natural_gas,,6000.0
France,production,natural_gas,,0.0
Gabon,production,natural_gas,,300.0
Georgia,production,natural_gas,,9.0
Germany,production,natural_gas,,5692.0
Ghana,production,natural_gas,,5000.0
Greece,production,natural_gas,,6.0
Hungary,production,natural_gas,,1237.0
India,production,natural_gas,,28670.0
Indonesia,production,natural_gas,,59206.0
Iran,production,natural_gas,,250800.0
Iraq,production,natural_gas,,10500.0
"Ireland, Republic of",production,natural_gas,,1838.0
Israel,production,natural_gas,,15000.0
Italy,production,natural_gas,,4420.0
Ivory Coast,production,natural_gas,,2400.0
Japan,production,natural_gas,,2295.0
Jordan,production,natural_gas,,110.0
Kazakhstan,production,natural_gas,,55379.0
Kuwait,production,natural_gas,,15000.0
Kyrgyzstan,production,natural_gas,,22.0
Libya,production,natural_gas,,13300.0
Malaysia,production,natural_gas,,63330.0
Mexico,production,natural_gas,,38600.0
Morocco,production,natural_gas,,100.0
Mozambique,production,natural_gas,,4802.0
Netherlands,production,natural_gas,,22831.0
New Zealand,production,natural_gas,,4436.0
Nigeria,production,natural_gas,,49400.0
Norway,production,natural_gas,,112300.0
Oman,production,natural_gas,,35146.0
Pakistan,production,natural_gas,,40000.0
Papua New Guinea,production,natural_gas,,11000.0
Peru,production,natural_gas,,11993.0
Philippines,production,natural_gas,,4000.0
Poland,production,natural_gas,,5302.0
Qatar,production,natural_gas,,171300.0
Romania,production,natural_gas,,9357.0
Russia,production,natural_gas,,694000.0
Saudi Arabia,production,natural_gas,,112100.0
Senegal,production,natural_gas,,14.0
Serbia,production,natural_gas,,448.0
Slovakia,production,natural_gas,,65.0
Slovenia,production,natural_gas,,5.0
South Africa,production,natural_gas,,563.0
Spain,production,natural_gas,,47.0
Syria,production,natural_gas,,3000.0
Taiwan,production,natural_gas,,105.0
Tajikistan,production,natural_gas,,1.0
Tanzania,production,natural_gas,,60000.0
Thailand,production,natural_gas,,32700.0
Trinidad & Tobago,production,natural_gas,,31177.0
Tunisia,production,natural_gas,,1864.0
Turkey,production,natural_gas,,480.0
Turkmenistan,production,natural_gas,,59000.0
USA,production,natural_gas,,947633.0
Ukraine,production,natural_gas,,20171.0
United Arab Emirates,production,natural_gas,,55400.0
United Kingdom,production,natural_gas,,39342.0
Uzbekistan,production,natural_gas,,47100.0
Venezuela,production,natural_gas,,18800.0
Vietnam,production,natural_gas,,9160.0
"Yemen, Republic of",production,natural_gas,,100.0
