Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Albania,production,nickel_mine,,8500.0,8800.0,9000.0,7200.0,7200.0,7200.0,7876.0,9238.0,10139.0,11204.0
Australia,production,nickel_mine,,74323.0,74355.0,87552.0,76625.0,76923.0,85757.0,76739.0,74554.0,58000.0,62000.0
Botswana,production,nickel_mine,,15442.0,18279.0,17763.0,18214.0,18604.0,19567.0,18972.0,16528.0,22539.0,21309.0
Brazil,production,nickel_mine,,5838.0,6567.0,14451.0,15561.0,23532.0,20300.0,21240.0,22092.0,18667.0,18826.0
Burma,production,nickel_mine,,14.0,20.0,20.0,20.0,20.0,55.0,50.0,50.0,100.0,100.0
Canada,production,nickel_mine,,184802.0,160247.0,88581.0,125022.0,173725.0,169971.0,163639.0,193391.0,216589.0,200899.0
China,production,nickel_mine,,11000.0,11000.0,13500.0,13700.0,18300.0,25800.0,24000.0,26000.0,26000.0,29500.0
Colombia,production,nickel_mine,,0.0,0.0,6764.0,17307.0,20799.0,14608.0,20980.0,22800.0,19200.0,21200.0
Cuba,production,nickel_mine,,38207.0,40260.0,37603.0,37636.0,31835.0,32064.0,33523.0,35221.0,42145.0,44765.0
Dominican Republic,production,nickel_mine,,16350.0,19020.0,5958.0,19017.0,24805.0,25400.0,21900.0,32500.0,42187.0,50736.0
Finland,production,nickel_mine,,6550.0,7557.0,4746.0,5214.0,6323.0,7993.0,11403.0,10038.0,11070.0,9958.0
German Democratic Rep,production,nickel_mine,,2700.0,2700.0,2500.0,2200.0,2000.0,1600.0,1700.0,1689.0,1367.0,1479.0
Greece,production,nickel_mine,,13900.0,10900.0,5000.0,12900.0,15800.0,15952.0,10324.0,9202.0,13131.0,10719.0
Guatemala,production,nickel_mine,,6744.0,,,,,,,,,
Indonesia,production,nickel_mine,,40600.0,49400.0,48500.0,41200.0,47800.0,48200.0,67300.0,57200.0,59800.0,64184.0
Morocco,production,nickel_mine,,500.0,500.0,500.0,,,,,,,
New Caledonia,production,nickel_mine,,86592.0,78090.0,60101.0,46162.0,58326.0,72361.0,64518.0,57470.0,71242.0,96150.0
Norway,production,nickel_mine,,508.0,489.0,405.0,359.0,326.0,425.0,467.0,386.0,382.0,445.0
Philippines,production,nickel_mine,,47114.0,29247.0,19634.0,13900.0,13601.0,28158.0,12745.0,8510.0,10349.0,15380.0
Poland,production,nickel_mine,,1100.0,1000.0,700.0,300.0,0.0,0.0,0.0,,,
South Africa,production,nickel_mine,,25700.0,25000.0,20500.0,20500.0,22500.0,29000.0,28762.0,29248.0,29217.0,28100.0
Soviet Union,production,nickel_mine,,143000.0,150000.0,170000.0,172000.0,180000.0,190000.0,185000.0,195000.0,205000.0,205000.0
USA,production,nickel_mine,,13293.0,10976.0,2906.0,0.0,13190.0,5558.0,1066.0,0.0,0.0,0.0
Yugoslavia,production,nickel_mine,,500.0,2000.0,3500.0,1600.0,2200.0,2800.0,3200.0,3500.0,5600.0,6300.0
Zimbabwe,production,nickel_mine,,15075.0,13018.0,13309.0,10147.0,10251.0,9897.0,9732.0,10393.0,11489.0,11634.0
