Country,Activity,Commodity,Sub-commodity,2020
Albania,production,nickel_mine,,3764.0
Australia,production,nickel_mine,,169344.0
Botswana,production,nickel_mine,,0.0
Brazil,production,nickel_mine,,77100.0
Burma,production,nickel_mine,,22200.0
Canada,production,nickel_mine,,167243.0
China,production,nickel_mine,,105000.0
Colombia,production,nickel_mine,,36094.0
Cuba,production,nickel_mine,,50000.0
Dominican Republic,production,nickel_mine,,22005.0
Finland,production,nickel_mine,,41429.0
Greece,production,nickel_mine,,7100.0
Guatemala,production,nickel_mine,,68363.0
Indonesia,production,nickel_mine,,816700.0
Ivory Coast,production,nickel_mine,,18600.0
Kosovo,production,nickel_mine,,3958.0
Madagascar,production,nickel_mine,,9900.0
Morocco,production,nickel_mine,,100.0
New Caledonia,production,nickel_mine,,199485.0
Norway,production,nickel_mine,,300.0
Papua New Guinea,production,nickel_mine,,33650.0
Philippines,production,nickel_mine,,328372.0
Poland,production,nickel_mine,,710.0
Russia,production,nickel_mine,,237300.0
South Africa,production,nickel_mine,,34908.0
Turkey,production,nickel_mine,,20201.0
USA,production,nickel_mine,,16718.0
Vietnam,production,nickel_mine,,0.0
Zambia,production,nickel_mine,,3251.0
Zimbabwe,production,nickel_mine,,16336.0
