Country,Activity,Commodity,Sub-commodity,2020
Australia,production,nickel_smelter_refinery,,115800.0
Austria,production,nickel_smelter_refinery,,700.0
Brazil,production,nickel_smelter_refinery,,59600.0
Burma,production,nickel_smelter_refinery,,22200.0
Canada,production,nickel_smelter_refinery,,124043.0
China,production,nickel_smelter_refinery,,750000.0
Colombia,production,nickel_smelter_refinery,,36094.0
Cuba,production,nickel_smelter_refinery,,14800.0
Dominican Republic,production,nickel_smelter_refinery,,20724.0
Finland,production,nickel_smelter_refinery,,90837.0
France,production,nickel_smelter_refinery,,6700.0
Greece,production,nickel_smelter_refinery,,6000.0
Guatemala,production,nickel_smelter_refinery,,22894.0
India,production,nickel_smelter_refinery,,0.0
Indonesia,production,nickel_smelter_refinery,,632000.0
Japan,production,nickel_smelter_refinery,,170014.0
Korea (Rep. of),production,nickel_smelter_refinery,,45600.0
Kosovo,production,nickel_smelter_refinery,,6900.0
Madagascar,production,nickel_smelter_refinery,,9900.0
New Caledonia,production,nickel_smelter_refinery,,72455.0
North Macedonia,production,nickel_smelter_refinery,,17700.0
Norway,production,nickel_smelter_refinery,,91120.0
Poland,production,nickel_smelter_refinery,,700.0
Russia,production,nickel_smelter_refinery,,172400.0
South Africa,production,nickel_smelter_refinery,,29100.0
Ukraine,production,nickel_smelter_refinery,,14719.0
United Kingdom,production,nickel_smelter_refinery,,35177.0
