Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Argentina,production,perlite,,22502.0,25211.0,16514.0,9367.0,21201.0,20058.0,21547.0,27578.0,21495.0,21008.0
Armenia,production,perlite,,,,400000.0,90000.0,45000.0,45000.0,350000.0,160000.0,220000.0,90000.0
Australia,production,perlite,,5000.0,5000.0,5000.0,5000.0,6000.0,4098.0,6234.0,6304.0,6068.0,3886.0
Bulgaria,production,perlite,,,,,,25000.0,32500.0,25500.0,20000.0,12100.0,12700.0
China,production,perlite,,,,,,300000.0,,,370000.0,400000.0,450000.0
Czechoslovakia,production,perlite,,41702.0,40719.0,40000.0,,,,,,,
Georgia,production,perlite,,,,12000.0,12000.0,7000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Greece,production,perlite,,600000.0,655899.0,505348.0,548574.0,468699.0,565479.0,598640.0,695917.0,658332.0,777898.0
Hungary,production,perlite,,95572.0,87750.0,40290.0,65801.0,72239.0,109913.0,104263.0,151785.0,148455.0,140787.0
India,production,perlite,,,,215.0,254.0,274.0,452.0,310.0,80.0,207.0,383.0
Iran,production,perlite,,2266.0,6275.0,5000.0,5000.0,443.0,1300.0,2300.0,4200.0,13320.0,15069.0
Italy,production,perlite,,71000.0,70000.0,65000.0,65000.0,65000.0,60000.0,60000.0,60000.0,60000.0,60000.0
Japan,production,perlite,,203000.0,203000.0,203000.0,262950.0,268800.0,275600.0,304300.0,288010.0,250000.0,260000.0
Mexico,production,perlite,,42439.0,48860.0,42637.0,34568.0,31918.0,33529.0,37417.0,51758.0,54840.0,61596.0
Morocco,production,perlite,,,,,,,,,51195.0,,
New Zealand,production,perlite,,1972.0,1674.0,2000.0,814.0,0.0,1800.0,1880.0,4960.0,2000.0,2000.0
Philippines,production,perlite,,3150.0,2894.0,,43500.0,34900.0,37700.0,43200.0,57100.0,14000.0,22500.0
Russia,production,perlite,,,,240000.0,150000.0,80000.0,60000.0,45000.0,45000.0,45000.0,45000.0
Slovakia,production,perlite,,,,,,28270.0,21850.0,25160.0,25019.0,24238.0,19460.0
South Africa,production,perlite,,,,,328.0,914.0,1338.0,682.0,403.0,400.0,1200.0
Soviet Union,production,perlite,,150000.0,80000.0,,,,,,,,
Thailand,production,perlite,,,,,0.0,100.0,1100.0,1200.0,550.0,3600.0,6050.0
Turkey,production,perlite,,138510.0,133942.0,192500.0,147864.0,164582.0,171058.0,157580.0,103416.0,124312.0,147818.0
USA,production,perlite,,659000.0,711000.0,762000.0,691000.0,664000.0,813000.0,811000.0,656000.0,832000.0,711000.0
Ukraine,production,perlite,,,,90000.0,45000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
