Country,Activity,Commodity,Sub-commodity,2020
Argentina,production,perlite,,19000.0
Armenia,production,perlite,,0.0
Australia,production,perlite,,2185.0
Bulgaria,production,perlite,,5000.0
Chile,production,perlite,,0.0
China,production,perlite,,1300000.0
Georgia,production,perlite,,21736.0
Greece,production,perlite,,718000.0
Hungary,production,perlite,,70000.0
Iran,production,perlite,,700000.0
Italy,production,perlite,,60000.0
Mexico,production,perlite,,20000.0
Philippines,production,perlite,,10000.0
Russia,production,perlite,,45000.0
Slovakia,production,perlite,,37310.0
South Africa,production,perlite,,1000.0
Thailand,production,perlite,,15000.0
Turkey,production,perlite,,1200000.0
USA,production,perlite,,520000.0
Ukraine,production,perlite,,17000.0
