Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,production,petroleum_crude,,,,,,,,,3000.0,3000.0,3000.0
Albania,production,petroleum_crude,,314000.0,308000.0,355817.0,359253.0,399740.0,448040.0,518686.0,563189.0,577301.0,576739.0
Algeria,production,petroleum_crude,,58585000.0,57147000.0,61487000.0,76841000.0,81760000.0,84821000.0,85036000.0,86500000.0,85600000.0,77200000.0
Angola,production,petroleum_crude,,36825000.0,36469000.0,44600000.0,42500000.0,48200000.0,61200000.0,69700000.0,82500000.0,93100000.0,87600000.0
Argentina,production,petroleum_crude,,40994335.0,41445316.0,40242083.0,38097086.0,35912065.0,34117773.0,33807649.0,32958800.0,32374752.0,32027302.0
Australia,production,petroleum_crude,,37000000.0,34000000.0,33000000.0,27000000.0,20748000.0,25606556.0,23814501.0,24694639.0,24234027.0,22863526.0
Austria,production,petroleum_crude,,1056183.0,1050355.0,1032204.0,1014716.0,981588.0,933040.0,856270.0,853548.0,861639.0,905031.0
Azerbaijan,production,petroleum_crude,,14000000.0,14909100.0,15333500.0,15251300.0,15348800.0,22214200.0,32185900.0,42523200.0,42074700.0,48353700.0
Bahrain,production,petroleum_crude,,1870000.0,1860000.0,1870000.0,1870000.0,1867000.0,1822000.0,1790000.0,2294000.0,2228000.0,2191000.0
Barbados,production,petroleum_crude,,76895.0,63642.0,53612.0,50899.0,51696.0,47861.0,47133.0,40253.0,39760.0,38030.0
Belarus,production,petroleum_crude,,1851000.0,1852000.0,1846000.0,1820400.0,1804040.0,1785020.0,1780040.0,1760020.0,1740020.0,1720010.0
Bolivia,production,petroleum_crude,,1282403.0,1449570.0,1438604.0,1551000.0,1891000.0,1957000.0,1888000.0,1907000.0,1806400.0,1565000.0
Brazil,production,petroleum_crude,,65720000.0,68950000.0,77600000.0,80300000.0,79820000.0,88600000.0,93600000.0,94800000.0,98500000.0,105000000.0
Brunei,production,petroleum_crude,,10300000.0,10100000.0,10096000.0,10306000.0,10300000.0,10100000.0,10903000.0,9639000.0,8680000.0,8291000.0
