Country,Activity,Commodity,Sub-commodity,2020
Afghanistan,production,petroleum_crude,,900.0
Albania,production,petroleum_crude,,757393.0
Algeria,production,petroleum_crude,,57600000.0
Angola,production,petroleum_crude,,64500000.0
Argentina,production,petroleum_crude,,25603785.0
Australia,production,petroleum_crude,,20442600.0
Austria,production,petroleum_crude,,594789.0
Azerbaijan,production,petroleum_crude,,34585400.0
Bahrain,production,petroleum_crude,,3000000.0
Bangladesh,production,petroleum_crude,,600000.0
Barbados,production,petroleum_crude,,23736.0
Belarus,production,petroleum_crude,,1710000.0
Bolivia,production,petroleum_crude,,3500000.0
Brazil,production,petroleum_crude,,157682321.0
Brunei,production,petroleum_crude,,5435513.0
Bulgaria,production,petroleum_crude,,20500.0
Burma,production,petroleum_crude,,430000.0
Cameroon,production,petroleum_crude,,3717800.0
Canada,production,petroleum_crude,,222600000.0
Chad,production,petroleum_crude,,6600000.0
Chile,production,petroleum_crude,,101658.0
China,production,petroleum_crude,,190000000.0
Colombia,production,petroleum_crude,,41300000.0
Congo,production,petroleum_crude,,14050000.0
"Congo, Democratic Republic",production,petroleum_crude,,1352643.0
Croatia,production,petroleum_crude,,585567.0
Cuba,production,petroleum_crude,,2300000.0
Czech Republic,production,petroleum_crude,,91000.0
Denmark,production,petroleum_crude,,3522230.0
East Timor,production,petroleum_crude,,826007.0
Ecuador,production,petroleum_crude,,25800000.0
Egypt,production,petroleum_crude,,30000000.0
Equatorial Guinea,production,petroleum_crude,,7500000.0
Estonia,production,petroleum_crude,,1283064.0
France,production,petroleum_crude,,5634302.0
Gabon,production,petroleum_crude,,10400000.0
Georgia,production,petroleum_crude,,31293.0
Germany,production,petroleum_crude,,1895942.0
Ghana,production,petroleum_crude,,10132270.0
Greece,production,petroleum_crude,,261000.0
Guatemala,production,petroleum_crude,,395591.0
Hungary,production,petroleum_crude,,1000000.0
India,production,petroleum_crude,,30491000.0
Indonesia,production,petroleum_crude,,35513000.0
Iran,production,petroleum_crude,,142700000.0
Iraq,production,petroleum_crude,,202000000.0
Israel,production,petroleum_crude,,132820.0
Italy,production,petroleum_crude,,5380000.0
Ivory Coast,production,petroleum_crude,,1841985.0
Japan,production,petroleum_crude,,467540.0
Jordan,production,petroleum_crude,,1000.0
Kazakhstan,production,petroleum_crude,,85656100.0
Kuwait,production,petroleum_crude,,130100000.0
Kyrgyzstan,production,petroleum_crude,,240200.0
Libya,production,petroleum_crude,,18300000.0
Lithuania,production,petroleum_crude,,31631.0
Malaysia,production,petroleum_crude,,2655900.0
Mauritania,production,petroleum_crude,,0.0
Mexico,production,petroleum_crude,,98850000.0
Mongolia,production,petroleum_crude,,564773.0
Morocco,production,petroleum_crude,,5000.0
Netherlands,production,petroleum_crude,,1035000.0
New Zealand,production,petroleum_crude,,963870.0
Niger,production,petroleum_crude,,472967.0
Nigeria,production,petroleum_crude,,86900000.0
Norway,production,petroleum_crude,,98686000.0
Oman,production,petroleum_crude,,47340450.0
Pakistan,production,petroleum_crude,,4300000.0
Papua New Guinea,production,petroleum_crude,,365000.0
Peru,production,petroleum_crude,,6159700.0
Philippines,production,petroleum_crude,,572350.0
Poland,production,petroleum_crude,,937462.0
Qatar,production,petroleum_crude,,75900000.0
Romania,production,petroleum_crude,,3334019.0
Russia,production,petroleum_crude,,512000000.0
Saudi Arabia,production,petroleum_crude,,519600000.0
Senegal,production,petroleum_crude,,3300.0
Serbia,production,petroleum_crude,,831000.0
Slovakia,production,petroleum_crude,,3000.0
Slovenia,production,petroleum_crude,,247.0
South Africa,production,petroleum_crude,,0.0
South Sudan,production,petroleum_crude,,8400000.0
Spain,production,petroleum_crude,,26819.0
Sudan,production,petroleum_crude,,4200000.0
Suriname,production,petroleum_crude,,967898.0
Syria,production,petroleum_crude,,2000000.0
Taiwan,production,petroleum_crude,,2170.0
Tajikistan,production,petroleum_crude,,24466.0
Thailand,production,petroleum_crude,,10532857.0
Trinidad & Tobago,production,petroleum_crude,,2917631.0
Tunisia,production,petroleum_crude,,1557600.0
Turkey,production,petroleum_crude,,3722646.0
Turkmenistan,production,petroleum_crude,,10300000.0
USA,production,petroleum_crude,,747021029.0
Ukraine,production,petroleum_crude,,2429700.0
United Arab Emirates,production,petroleum_crude,,165600000.0
United Kingdom,production,petroleum_crude,,48985000.0
Uzbekistan,production,petroleum_crude,,2100000.0
Venezuela,production,petroleum_crude,,27400000.0
Vietnam,production,petroleum_crude,,11470000.0
"Yemen, Republic of",production,petroleum_crude,,4100000.0
