Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Algeria,production,phosphate_rock,,1025400.0,916000.0,947000.0,892800.0,1000200.0,1221200.0,1203300.0,1209000.0,1331000.0,1253000.0
Australia,production,phosphate_rock,,6621.0,21997.0,211463.0,4868.0,15345.0,33116.0,33659.0,11294.0,13000.0,8000.0
Brazil,production,phosphate_rock,,2611641.0,2710604.0,2800000.0,3240603.0,3827223.0,4170680.0,4544000.0,5433175.0,4647875.0,3699131.0
Cambodia,production,phosphate_rock,,,5000.0,5000.0,5000.0,5000.0,5000.0,,,,
Chile,production,phosphate_rock,Guano                                             ,,,,129.0,0.0,3150.0,7546.0,5685.0,4052.0,3127.0
Chile,production,phosphate_rock,,,,,935.0,4606.0,7110.0,6684.0,10389.0,9161.0,14354.0
China,production,phosphate_rock,,10726000.0,10862000.0,11728000.0,11630000.0,14210000.0,6974000.0,9790000.0,14866000.0,16600000.0,21760000.0
Christmas Island,production,phosphate_rock,,1638315.0,1357838.0,1345462.0,1036081.0,1257576.0,1187225.0,880115.0,836000.0,0.0,0.0
Colombia,production,phosphate_rock,,6370.0,17329.0,20393.0,16944.0,11480.0,24249.0,28624.0,29800.0,30000.0,30000.0
Egypt,production,phosphate_rock,,658300.0,737000.0,509578.0,584446.0,710342.0,748126.0,769160.0,580061.0,207698.0,216107.0
Finland,production,phosphate_rock,,139837.0,227964.0,233053.0,381216.0,477300.0,511500.0,527495.0,553279.0,583542.0,563934.0
France,production,phosphate_rock,,25400.0,28700.0,24400.0,,,,,,,
India,production,phosphate_rock,,543004.0,565277.0,631082.0,790804.0,883258.0,925061.0,667070.0,679419.0,738877.0,703716.0
Indonesia,production,phosphate_rock,,5000.0,5000.0,5000.0,5573.0,1917.0,525.0,601.0,2592.0,411.0,11000.0
Iraq,production,phosphate_rock,,,,363000.0,1199000.0,1000000.0,1000000.0,1000000.0,1100000.0,1270000.0,1140000.0
Israel,production,phosphate_rock,,2307100.0,1918700.0,2147800.0,1965700.0,2064500.0,2195300.0,2518000.0,2731000.0,2648000.0,2761000.0
Jordan,production,phosphate_rock,,3911166.0,4243643.0,4390343.0,4745931.0,6213100.0,6067139.0,6249223.0,6845400.0,5628200.0,6635600.0
"Korea, Dem. P.R. of",production,phosphate_rock,,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0
Mexico,production,phosphate_rock,,396646.0,503252.0,653050.0,785038.0,652651.0,786500.0,746863.0,688973.0,835093.0,655477.0
Morocco,production,phosphate_rock,,18824243.0,20150000.0,17834900.0,19842300.0,21351000.0,20779000.0,21427000.0,21270000.0,25015000.0,18067000.0
Nauru,production,phosphate_rock,,2086676.0,1479900.0,1333300.0,1684000.0,1358520.0,1508200.0,1493581.0,1375496.0,1540379.0,1186820.0
Netherlands Antilles,production,phosphate_rock,,14634.0,8208.0,8848.0,3525.0,20219.0,27992.0,22702.0,22291.0,21931.0,15738.0
Pakistan,production,phosphate_rock,,,,2235.0,610.0,142.0,8783.0,31094.0,72782.0,40880.0,12285.0
Peru,production,phosphate_rock,,13900.0,11938.0,29101.0,2510.0,12694.0,12216.0,5167.0,60713.0,13465.0,14804.0
Philippines,production,phosphate_rock,Guano                                             ,24836.0,2055.0,15259.0,610.0,552.0,1318.0,3466.0,935.0,1470.0,48347.0
Philippines,production,phosphate_rock,,17679.0,8413.0,5944.0,4135.0,7488.0,8848.0,1656.0,5824.0,8103.0,4139.0
Senegal,production,phosphate_rock,Aluminium phosphate                               ,83060.0,199218.0,279181.0,251274.0,279000.0,355266.0,131300.0,79136.0,417090.0,157600.0
Senegal,production,phosphate_rock,,1289543.0,1878090.0,901400.0,1255209.0,1932000.0,1813280.0,1875628.0,1780836.0,2327262.0,2272600.0
Seychelles,production,phosphate_rock,Guano                                             ,4285.0,1440.0,,,,,,,,
South Africa,production,phosphate_rock,,3283184.0,3036273.0,3161141.0,2887034.0,2496038.0,2433375.0,2922500.0,2623100.0,2850200.0,2962900.0
Soviet Union,production,phosphate_rock,,30300000.0,30700000.0,31300000.0,33100000.0,33300000.0,33755000.0,32400000.0,33200000.0,34000000.0,34514000.0
Sri Lanka,production,phosphate_rock,,,15294.0,13993.0,15726.0,13685.0,17295.0,14977.0,21305.0,23104.0,29257.0
Sweden,production,phosphate_rock,,88000.0,113000.0,128017.0,106636.0,132700.0,193445.0,186676.0,227844.0,73713.0,70962.0
Syria,production,phosphate_rock,,1319000.0,1319000.0,1461000.0,1231000.0,1515000.0,1224000.0,1606000.0,1986000.0,2186000.0,2256000.0
Tanzania,production,phosphate_rock,,,,0.0,20100.0,14500.0,21039.0,10028.0,18348.0,14741.0,10556.0
Thailand,production,phosphate_rock,,5570.0,2610.0,4265.0,5158.0,3075.0,4072.0,4940.0,4502.0,8348.0,6584.0
Togo,production,phosphate_rock,,2932845.0,2215363.0,2035400.0,2080674.0,2695600.0,2444666.0,2313900.0,2968635.0,3312773.0,3484237.0
Tunisia,production,phosphate_rock,,4501907.0,4924000.0,4729391.0,5924000.0,5319000.0,4505000.0,5800000.0,6215000.0,6027000.0,6610360.0
Turkey,production,phosphate_rock,,21300.0,43000.0,26345.0,50350.0,99608.0,38525.0,2700.0,19197.0,74230.0,84810.0
USA,production,phosphate_rock,,54415000.0,53624000.0,37414000.0,42573000.0,49197000.0,50835000.0,40320000.0,40954000.0,45389000.0,49817000.0
Venezuela,production,phosphate_rock,,38000.0,52000.0,6000.0,8216.0,3265.0,8567.0,172766.0,98265.0,83604.0,174198.0
Vietnam,production,phosphate_rock,,90000.0,181000.0,110000.0,200000.0,200000.0,300000.0,400000.0,225000.0,221000.0,232000.0
Zimbabwe,production,phosphate_rock,,130337.0,122235.0,121608.0,132911.0,134447.0,135061.0,135592.0,154827.0,125156.0,133791.0
