Country,Activity,Commodity,Sub-commodity,2020
Algeria,production,phosphate_rock,,1300000.0
Australia,production,phosphate_rock,,936043.0
Brazil,production,phosphate_rock,,5500000.0
Burkina Faso,production,phosphate_rock,,1600.0
Chile,production,phosphate_rock,Guano                                             ,2091.0
Chile,production,phosphate_rock,,0.0
China,production,phosphate_rock,,93000000.0
Christmas Island,production,phosphate_rock,,387000.0
Colombia,production,phosphate_rock,,21997.0
Cuba,production,phosphate_rock,,1600.0
Egypt,production,phosphate_rock,,2100000.0
Finland,production,phosphate_rock,,995066.0
India,production,phosphate_rock,,1455627.0
Iran,production,phosphate_rock,,120000.0
Iraq,production,phosphate_rock,,300000.0
Israel,production,phosphate_rock,,2505200.0
Jordan,production,phosphate_rock,,8937752.0
Kazakhstan,production,phosphate_rock,,1830000.0
Laos,production,phosphate_rock,Guano                                             ,230.0
Malawi,production,phosphate_rock,,0.0
Mali,production,phosphate_rock,,46000.0
Mexico,production,phosphate_rock,,577152.0
Morocco,production,phosphate_rock,,35000000.0
Nauru,production,phosphate_rock,,119498.0
Pakistan,production,phosphate_rock,,80000.0
Peru,production,phosphate_rock,,8594180.0
Philippines,production,phosphate_rock,Guano                                             ,1500.0
Philippines,production,phosphate_rock,,1500.0
Russia,production,phosphate_rock,,13800000.0
Saudi Arabia,production,phosphate_rock,,5700000.0
Senegal,production,phosphate_rock,Aluminium phosphate                               ,1427500.0
Senegal,production,phosphate_rock,,1511000.0
South Africa,production,phosphate_rock,,581392.0
Sri Lanka,production,phosphate_rock,,52103.0
Syria,production,phosphate_rock,,360000.0
Tanzania,production,phosphate_rock,,28376.0
Thailand,production,phosphate_rock,,0.0
Togo,production,phosphate_rock,,1300000.0
Tunisia,production,phosphate_rock,,3194100.0
Turkey,production,phosphate_rock,,872894.0
USA,production,phosphate_rock,,23400000.0
Uzbekistan,production,phosphate_rock,,646000.0
Venezuela,production,phosphate_rock,,70000.0
Vietnam,production,phosphate_rock,,4389500.0
Zimbabwe,production,phosphate_rock,,19000.0
