Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belarus,production,potash,,5222600.0,5305800.0,4830700.0,4178500.0,6339990.0,6467878.0,6180050.0,7101799.0,7346096.0,7348293.0
Brazil,production,potash,Chloride                                          ,417990.0,423850.0,346509.0,492151.0,492355.0,481270.0,500917.0,306000.0,201200.0,200000.0
Canada,production,potash,Chloride                                          ,9788000.0,11005000.0,8962717.0,10140000.0,11345000.0,11506000.0,10208000.0,12624000.0,13944000.0,12851000.0
Chile,production,potash,Chloride                                          ,961000.0,864000.0,996172.0,1158403.0,1108478.0,1118864.0,1237447.0,1197105.0,988512.0,681697.0
China,production,potash,,2344500.0,3800000.0,3770000.0,5300000.0,6110000.0,5710000.0,5780000.0,5510000.0,5450000.0,5450000.0
Germany,production,potash,Potassic salts                                    ,3023941.0,3214696.0,3149386.0,3075201.0,3178103.0,3109903.0,2694126.0,2963561.0,2754085.0,2615284.0
Israel,production,potash,Chloride                                          ,2041342.0,1789721.0,2115468.0,2155414.0,2212923.0,950077.0,2306675.0,2479000.0,2344600.0,2057078.0
Jordan,production,potash,,1284791.0,1355160.0,1110200.0,1064000.0,1275500.0,1436600.0,1222100.0,1415200.0,1486000.0,1516500.0
Laos,production,potash,,,,,,,411452.0,320257.0,469172.0,554103.0,462738.0
Russia,production,potash,Chloride                                          ,3087210.0,6604470.0,5563200.0,6104270.0,7402350.0,6954000.0,6588000.0,7320000.0,7015000.0,6771000.0
Spain,production,potash,Chloride                                          ,513222.0,520555.0,421652.0,711272.0,706664.0,667959.0,667224.0,557469.0,603812.0,519644.0
USA,production,potash,Potassic salts                                    ,930000.0,1000000.0,900000.0,960000.0,850000.0,740000.0,510000.0,480000.0,520000.0,510000.0
United Kingdom,production,potash,Chloride                                          ,403800.0,462000.0,540000.0,540000.0,576000.0,594000.0,432000.0,216000.0,210000.0,0.0
United Kingdom,production,potash,Polyhalite,,,,0.0,0.0,200000.0,200000.0,500000.0,400000.0,635000.0
