Country,Activity,Commodity,Sub-commodity,2020
Belarus,production,potash,,7562153.0
Brazil,production,potash,Chloride                                          ,200000.0
Canada,production,potash,Chloride                                          ,13783530.0
Chile,production,potash,Chloride                                          ,951125.0
China,production,potash,,5450000.0
Germany,production,potash,Potassic salts                                    ,2874026.0
Israel,production,potash,Chloride                                          ,2375450.0
Jordan,production,potash,,1598200.0
Laos,production,potash,,713718.0
Russia,production,potash,Chloride                                          ,6893000.0
Spain,production,potash,Chloride                                          ,351918.0
USA,production,potash,Potassic salts                                    ,470000.0
United Kingdom,production,potash,Chloride                                          ,0.0
United Kingdom,production,potash,Polyhalite,709000.0
